"DeckId","DeckName","SourceEntryCount","KeptEntryCount","DroppedEntryCount","ContainsUnsupportedLegacyOption","Options"
"1001","Four Holy Beasts","1","1","0","False","3"
"1002","Fusion to evolve into the higher","1","1","0","False","4"
"1004","Three Archangels","1","1","0","False","1"
"1008","Main characters of the adventure","1","1","0","False","6"
"1009","Burst Ultimate Wings","1","1","0","False","6"
"1010","Seafood Stew","1","1","0","False","5"
"1011","Sharp Blue Sword Wave","1","1","0","False","1"
"1012","Instant Red Gun Fire","1","1","0","False","2"
"1013","So cute♥","1","1","0","False","3"
"1016","Four Dark Masters","1","1","0","False","2"
"1017","Ego of the Darkness","2","2","0","False","1;5"
"1019","Hyper Spirit Evolution","3","3","0","False","1;5;3"
"1020","Ancient Spirit Evolution","3","3","0","False","1;5;3"
"1021","Legendary Knights of Vaccine","3","3","0","False","6;5;1"
"1022","OMEGA","1","1","0","False","2"
"1023","MEGA-OMEGA","3","3","0","False","2;3;6"
"1024","Royal Knights","2","2","0","False","6;5"
"1025","Burst Ultimate Wings II","2","2","0","False","6;1"
"1026","Royal Knights X","3","3","0","False","6;3;5"
"1027","D5 and Ultimate DigiXros","3","3","0","False","2;3;6"
"1028","Never Give Up","2","2","0","False","2;1"
"1029","Knights of Vaccine","2","2","0","False","6;2"
"1030","White Wings : Gurei Tou of Courage","3","3","0","False","6;3;1"
"1031","White Wings : Garuru Hou of Friendship","3","3","0","False","2;3;2"
"1032","The Sovereign of the Awakened Four Holy Beasts","2","2","0","False","5;6"
"1033","I'm the future Digimon king!","3","3","0","False","6;2;5"
"1034","Divine Will","3","3","0","False","6;3;2"
"1035","Holy Spear and Holy Sword of Light","3","3","0","False","6;2;2"
"1036","Guardian of the Digital World","4","3","1","False","6;5;2;3"
"1037","The Goddess of the False Neverland","3","3","0","False","6;2;4"
"1038","Stop The Black Dragon of Destruction!","3","3","0","False","6;2;3"
"1039","Nature, and Fairies","3","3","0","False","6;5;3"
"1040","The End, The Ultimate Holy War!","3","3","0","True","6;5;10"
"1041","Ancient Rise  ","3","3","0","True","6;7;3"
"1042","Diablomon Revenge  ","3","3","0","True","6;9;10"
"1043","White Wings: Sorrow and Determination","3","3","0","False","6;3;2"
"1044","Justice Veiled in Darkness  ","4","3","1","True","6;9;3;8"
"1045","Savior Who Protects Peace  ","4","3","1","True","6;5;2;10"
"1046","Corrupted Purification Ritual  ","3","3","0","True","6;5;9"
"1047","Reunion","3","3","0","True","6;6;7"
"1048","Invasion of the Real World!","3","3","0","True","6;9;7"
"1049","Last Evolution : Kizuna","3","3","0","True","6;2;8"
"1050","Our hope, our light","3","3","0","False","6;5;2"
"1051","Transcending Time, The Beginning of a Legend!","3","3","0","False","6;3;2"
"1052","Guardians of the Digital World","4","3","1","False","6;5;2;3"
"1053","Saviors Who Protect Peace","4","3","1","True","6;5;2;10"
"1054","Wings of Temptation and Wings of Justice","3","3","0","True","6;5;9"
"1055","Demon of the Final Phase","3","3","0","False","6;2;3"
"1056","Abnormal Status Occurred: Virus","4","3","1","True","6;5;9;2"
"1057","Fight against the Virus!","4","3","1","True","6;5;9;2"
"1058","The Crisis of Great Destruction","3","3","0","False","6;2;2"
"1059","Abyssal Fear","3","3","0","False","6;2;3"
"1060","Perfect data,
and data of unknown origin","4","3","1","True","6;9;11;2"
"1061","The True Form of the Destroyer","3","3","0","False","6;2;2"
"1062","Wings of Justice","3","3","0","True","6;9;8"
"1063","Tempting Wings of Justice","3","3","0","True","6;2;9"
"1064","The Nullifiers","4","3","1","True","6;7;9;2"
