"DeckId","DeckName","EntryIndex","IsKeptInLegacyBin","Condition","AttackType","Option","OptionName","Value","Probability","Time","Note"
"1040","The End, The Ultimate Holy War!","2","True","1","0","10","Attack Increase","45","0","0","Client/server legacy effect code must support this option id."
"1041","Ancient Rise  ","1","True","1","0","7","Increase Hit Rate","10","0","0","Client/server legacy effect code must support this option id."
"1042","Diablomon Revenge  ","1","True","1","0","9","Attribute Damage Increase","5","0","0","Client/server legacy effect code must support this option id."
"1042","Diablomon Revenge  ","2","True","1","0","10","Attack Increase","30","0","0","Client/server legacy effect code must support this option id."
"1044","Justice Veiled in Darkness  ","1","True","1","0","9","Attribute Damage Increase","5","0","0","Client/server legacy effect code must support this option id."
"1044","Justice Veiled in Darkness  ","3","False","1","0","8","Attack Amplification","15","0","0","Client/server legacy effect code must support this option id."
"1045","Savior Who Protects Peace  ","3","False","1","0","10","Attack Increase","45","0","0","Client/server legacy effect code must support this option id."
"1046","Corrupted Purification Ritual  ","2","True","1","0","9","Attribute Damage Increase","5","0","0","Client/server legacy effect code must support this option id."
"1047","Reunion","2","True","1","0","7","Increase Hit Rate","7","0","0","Client/server legacy effect code must support this option id."
"1048","Invasion of the Real World!","1","True","1","0","9","Attribute Damage Increase","7","0","0","Client/server legacy effect code must support this option id."
"1048","Invasion of the Real World!","2","True","1","0","7","Increase Hit Rate","10","0","0","Client/server legacy effect code must support this option id."
"1049","Last Evolution : Kizuna","2","True","1","0","8","Attack Amplification","45","0","0","Client/server legacy effect code must support this option id."
"1053","Saviors Who Protect Peace","3","False","1","0","10","Attack Increase","60","0","0","Client/server legacy effect code must support this option id."
"1054","Wings of Temptation and Wings of Justice","2","True","1","0","9","Attribute Damage Increase","7","0","0","Client/server legacy effect code must support this option id."
"1056","Abnormal Status Occurred: Virus","2","True","1","0","9","Attribute Damage Increase","8","0","0","Client/server legacy effect code must support this option id."
"1057","Fight against the Virus!","2","True","1","0","9","Attribute Damage Increase","8","0","0","Client/server legacy effect code must support this option id."
"1060","Perfect data,
and data of unknown origin","1","True","1","0","9","Attribute Damage Increase","12","0","0","Client/server legacy effect code must support this option id."
"1060","Perfect data,
and data of unknown origin","2","True","1","0","11","Final Damage Increase","25","0","0","Client/server legacy effect code must support this option id."
"1062","Wings of Justice","1","True","1","0","9","Attribute Damage Increase","4","0","0","Client/server legacy effect code must support this option id."
"1062","Wings of Justice","2","True","1","0","8","Attack Amplification","15","0","0","Client/server legacy effect code must support this option id."
"1063","Tempting Wings of Justice","2","True","1","0","9","Attribute Damage Increase","3","0","0","Client/server legacy effect code must support this option id."
"1064","The Nullifiers","1","True","1","0","7","Increase Hit Rate","20","0","0","Client/server legacy effect code must support this option id."
"1064","The Nullifiers","2","True","1","0","9","Attribute Damage Increase","10","0","0","Client/server legacy effect code must support this option id."
