"address","symbol","value"
"01acafe0","","GS2C_RES_OTHER_TAMER_DETAIL_INFO"
"01acb0a8","","C2GS_REQ_OTHER_TAMER_DETAIL_INFO"
"01ae9d30","s_TamerStatusUI_01ae9d30","TamerStatusUI"
"01ae9d40","s_DigimonStatusUI_Help_01ae9d40","DigimonStatusUI_Help"
"01ae9d58","s_DigimonStatusUI_01ae9d58","DigimonStatusUI"
"01bc543c","",".?AUsChipsetInfo@cTamerStatusUI_Digivice@@"
"01bc5470","",".?AUsTacticsInfo@cTamerStatusUI_Digivice@@"
"01bc54a4","",".?AUsTabInfo@cTamerStatusUI@@"
"01bc54cc","",".?AUsSkillInfo@cTamerStatusUI_Skill@@"
"01bc54fc","",".?AUsAbilInfo@cTamerStatusUI_Tamer@@"
"01bc552c","",".?AUsEquipInfo@cTamerStatusUI_Tamer@@"
"01bc6244","",".?AUsTabInfo@cDetailInfo_AdditionalStat@@"
"01bc6278","",".?AUsBreakThroughInfo@cDetailInfo_Digimon@@"
"01bc62ac","",".?AUsEnchantInfo@cDetailInfo_Digimon@@"
"01bc62dc","",".?AUsEquipInfo@cDetailInfo_Equip@@"
"01bc6308","",".?AUsEquipInfo@cDetailInfo_Tamer@@"
"01bc75dc","",".?AUsTabInfo@cDigimonStatusUI_Help@@"
"01bc760c","",".?AUsEvoBtnInfo@cDigimonStatusUI@@"
"01bc7638","",".?AUsSkillInfo@cDigimonStatusUI@@"
"01bc7664","",".?AUsButtonInfo@cDigimonStatusUI@@"
"01bc7690","",".?AUsSkillTabInfo@cDigimonStatusUI@@"
"01bc76c0","",".?AUsAbilInfo@cDigimonStatusUI@@"
"01bd29fc","",".?AVGS2C_RES_OTHER_TAMER_DETAIL_INFO@@"
"01bd2a2c","",".?AUstTamer@nsOtherTamerDetailInfo@@"
"01bd2a5c","",".?AUstDigimon@nsOtherTamerDetailInfo@@"
"01bd2ae8","",".?AVC2GS_REQ_OTHER_TAMER_DETAIL_INFO@@"
"01bd38b8","",".?AV?$EventHandler@VcDetailInfoContents@@@@"
"01bd38ec","",".?AVcDetailInfoContents@@"
"01bd3938","",".?AV?$IUIContentSubject@VcDetailInfoContents@@@@"
"01bd3978","",".?AV?$TEventRouter@HV?$IUIContentObserver@VcDetailInfoContents@@@@@@"
"01bd8208","",".?AV?$UIEventHandler@VcTamerStatusUI_Digivice@@@@"
"01bd8244","",".?AVcTamerStatusUI_SubViewer@@"
"01bd82a8","",".?AVcTamerStatusUI_Digivice@@"
"01bd82d0","",".?AV?$UIEventHandler@VcTamerStatusUI@@@@"
"01bd8304","",".?AVcTamerStatusUI@@"
"01bd8324","",".?AV?$UIEventHandler@VcTamerStatusUI_Skill@@@@"
"01bd835c","",".?AVcTamerStatusUI_Skill@@"
"01bd8380","",".?AV?$UIEventHandler@VcTamerStatusUI_Tamer@@@@"
"01bd83b8","",".?AVcTamerStatusUI_Tamer@@"
"01bdb098","",".?AV?$UIEventHandler@VcDetailInfo_AdditionalStat@@@@"
"01bdb0d8","",".?AVcDetailInfo_PopupUI@@"
"01bdb0fc","",".?AV?$IUIContentObserver@VcDetailInfoContents@@@@"
"01bdb138","",".?AVcDetailInfo_AdditionalStat@@"
"01bdb164","",".?AVcDetailInfo_SubUI@@"
"01bdb184","",".?AVcDetailInfo_AttributeStat@@"
"01bdb1ac","",".?AV?$UIEventHandler@VcDetailInfo_Digimon@@@@"
"01bdb1e4","",".?AUsSkillInfo@cDetailInfo_Digimon@@"
"01bdb214","",".?AVcDetailInfo_Digimon@@"
"01bdb238","",".?AV?$UIEventHandler@VcDetailInfo_Equip@@@@"
"01bdb26c","",".?AVcDetailInfo_Equip@@"
"01bdb28c","",".?AV?$UIEventHandler@VcDetailInfoMainUI@@@@"
"01bdb2c0","",".?AVcDetailInfoMainUI@@"
"01bdb2e0","",".?AV?$UIEventHandler@VcDetailInfoMainUI_Other@@@@"
"01bdb31c","",".?AVcDetailInfoMainUI_Other@@"
"01bdb344","",".?AV?$UIEventHandler@VcDetailInfo_Seal@@@@"
"01bdb378","",".?AVcDetailInfo_Seal@@"
"01bdb398","",".?AV?$UIEventHandler@VcDetailInfo_Tamer@@@@"
"01bdb3cc","",".?AUsPopupIndex@cDetailInfo_Tamer@@"
"01bdb3f8","",".?AVcDetailInfo_Tamer@@"
"01bdc3bc","",".?AVAdaptDetailInfo@@"
"01be0514","",".?AVcDigimonStatusUI_Help@@"
"01be0538","",".?AV?$UIEventHandler@VcDigimonStatusUI_Help@@@@"
"01be0570","",".?AVcDigimonStatusUI@@"
"01be0590","",".?AV?$UIEventHandler@VcDigimonStatusUI@@@@"
