"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","s_DETAIL_INFO_ADDITION_01ae2a24","01ae2a24","DETAIL_INFO_ADDITION","copied-c-symbol"
"decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","s_DetailInfo_skin_bg_a_tga_01ae2a3c","01ae2a3c","DetailInfo\skin_bg_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","s_COMMON_ATTRIBUTE_STAT_01ae2a58","01ae2a58","COMMON_ATTRIBUTE_STAT","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonAdvancePanel.original.c","s_Breakthrough_Title_01ad2a7c","01ad2a7c","Breakthrough_Title","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonAdvancePanel.original.c","s_TacticsHouse_CheckOnline_tga_01ae2c60","01ae2c60","TacticsHouse\CheckOnline.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","s_DetailInfo_Digimon_Status_Win_tg_01ae2b44","01ae2b44","DetailInfo\Digimon_Status_Win.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","s_DetailInfo_TamerStatus_Win_03_bg_01ae2b68","01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","s_DetailInfo_zoom_in_aa_tga_01ae2cc8","01ae2cc8","DetailInfo\zoom_in_aa.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonEnchantPanel.original.c","s_ENCHANTTACTICS_TITLE_DIGIMON_ENC_01ae2c18","01ae2c18","ENCHANTTACTICS_TITLE_DIGIMON_ENCHANT","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonEnchantPanel.original.c","s_TacticsHouse_CheckOnline_tga_01ae2c60","01ae2c60","TacticsHouse\CheckOnline.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonEnchantPanel.original.c","s_DigimonStatus_New_Digimon_Status_01ae2c80","01ae2c80","DigimonStatus_New\Digimon_Status_Enchant_01.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoBox.original.c","s_DIGIMONSTATUS_BASEINFO_HATCHLV_01ace938","01ace938","DIGIMONSTATUS_BASEINFO_HATCHLV","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoBox.original.c","s_EVOLUTION_ADVICE_TITLE_INFO_01ad9800","01ad9800","EVOLUTION_ADVICE_TITLE_INFO","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoBox.original.c","s_DetailInfo_RemainTimerBG_tga_01ae2bf8","01ae2bf8","DetailInfo\RemainTimerBG.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoPanel.original.c","s_TacticsHouse_Storage_M_field_tga_01ad8e18","01ad8e18","TacticsHouse\Storage_M_field.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoPanel.original.c","s_DetailInfo_TamerStatus_Digimon_T_01ae2b90","01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonInfoPanel.original.c","s_DetailInfo_Storage_M_field_a_tga_01ae2bbc","01ae2bbc","DetailInfo\Storage_M_field_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","s_ENCY_SKILL_INFO_01adda60","01adda60","ENCY_SKILL_INFO","copied-c-symbol"
"decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","s_EquipSystem_Upgrade_Slot_tga_01ae2c40","01ae2c40","EquipSystem\Upgrade_Slot.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","s_INVENTORY_FILTER_TEXT_EQUIP_01ae2e58","01ae2e58","INVENTORY_FILTER_TEXT_EQUIP","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","s_DETAIL_INFO_EQUIP_LV_01ae2e74","01ae2e74","DETAIL_INFO_EQUIP_LV","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","s_DETAIL_INFO_EQUIP_NAME_01ae2eb8","01ae2eb8","DETAIL_INFO_EQUIP_NAME","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquipmentPanel.original.c","s_DETAIL_INFO_EQUIP_TOP_01ae2e08","01ae2e08","DETAIL_INFO_EQUIP_TOP","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquipmentPanel.original.c","s_DetailInfo_DetailInfo_bg_b_tga_01ae2e20","01ae2e20","DetailInfo\DetailInfo_bg_b.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","s_DETAIL_INFO_NONE_01ace904","01ace904","DETAIL_INFO_NONE","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","s_TacticsHouse_Storage_M_field_tga_01ad8e18","01ad8e18","TacticsHouse\Storage_M_field.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","s_DETAIL_INFO_ACHIEVE_01ae3474","01ae3474","DETAIL_INFO_ACHIEVE","copied-c-symbol"
"decompiled\DetailInfoUI\BuildSealMasterCloseButton.original.c","s_CommonUI_CommonUI_close_tga_01ad3144","01ad3144","CommonUI\CommonUI_close.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildSealMasterPanel.original.c","s_DetailInfo_Detailinfo_bg_a_tga_01ae32c4","01ae32c4","DetailInfo\Detailinfo_bg_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildSealMasterPanel.original.c","s_MAINBAR_MEMU_SEAL_MASTER_01ae32f8","01ae32f8","MAINBAR_MEMU_SEAL_MASTER","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","s_Icon_Mask_Over_dds_01ad4b4c","01ad4b4c","Icon\Mask_Over.dds","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","s_DetailInfo_TamerStatus_win_02_bg_01ae3438","01ae3438","DetailInfo\TamerStatus_win_02_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","s_DetailInfo_TamerStatus_Win_03_bg_01ae2b68","01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","s_DetailInfo_TamerStatus_Win_04_bg_01ae33fc","01ae33fc","DetailInfo\TamerStatus_Win_04_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_COMMON_TXT_SHORT_LEVEL_01ac5990","01ac5990","COMMON_TXT_SHORT_LEVEL","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_DetailInfo_TamerStatus_Digimon_T_01ae2b90","01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_DetailInfo_Storage_M_field_a_tga_01ae2bbc","01ae2bbc","DetailInfo\Storage_M_field_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_DMG_SKINS_Mini_Out_btn_a_tga_01ad83b4","01ad83b4","DMG_SKINS\Mini_Out_btn_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_MAINBAR_MEMU_SEAL_MASTER_01ae32f8","01ae32f8","MAINBAR_MEMU_SEAL_MASTER","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_DETAIL_INFO_EQUIP_01ae3460","01ae3460","DETAIL_INFO_EQUIP","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerObtainedAttributes.original.c","s_DETAIL_INFO_DATA_01ae3424","01ae3424","DETAIL_INFO_DATA","copied-c-symbol"
