"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011d12b0","011d12b0","decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","011d1316","01ae2a24","s_DETAIL_INFO_ADDITION_01ae2a24","DETAIL_INFO_ADDITION"
"FUN_011d12b0","011d12b0","decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","011d12f8","01ae2a3c","s_DetailInfo\skin_bg_a.tga_01ae2a3c","DetailInfo\skin_bg_a.tga"
"FUN_011d12b0","011d12b0","decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c","011d13a3","01ae2a58","s_COMMON_ATTRIBUTE_STAT_01ae2a58","COMMON_ATTRIBUTE_STAT"
"FUN_011d4bd0","011d4bd0","decompiled\DetailInfoUI\BuildDigimonAdvancePanel.original.c","011d4c8b","01ad2a7c","s_Breakthrough_Title_01ad2a7c","Breakthrough_Title"
"FUN_011d4bd0","011d4bd0","decompiled\DetailInfoUI\BuildDigimonAdvancePanel.original.c","011d4e3b","01ae2c60","s_TacticsHouse\CheckOnline.tga_01ae2c60","TacticsHouse\CheckOnline.tga"
"FUN_011d2a20","011d2a20","decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","011d2aad","01ae2b44","s_DetailInfo\Digimon_Status_Win.tg_01ae2b44","DetailInfo\Digimon_Status_Win.tga"
"FUN_011d2a20","011d2a20","decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","011d2a74","01ae2b68","s_DetailInfo\TamerStatus_Win_03_bg_01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga"
"FUN_011d2a20","011d2a20","decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c","011d2afe","01ae2cc8","s_DetailInfo\zoom_in_aa.tga_01ae2cc8","DetailInfo\zoom_in_aa.tga"
"FUN_011d4320","011d4320","decompiled\DetailInfoUI\BuildDigimonEnchantPanel.original.c","011d451c","01ace96c","u_%d/%d_01ace96c","%d/%d"
"FUN_011d4320","011d4320","decompiled\DetailInfoUI\BuildDigimonEnchantPanel.original.c","011d43ee","01ae2c18","s_ENCHANTTACTICS_TITLE_DIGIMON_ENC_01ae2c18","ENCHANTTACTICS_TITLE_DIGIMON_ENCHANT"
