"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_00f206a0","00f206a0","00f20c58","01ac58e4","DETAIL_INFO_ELEDMENT_DAMAGE","NO"
"FUN_00ffec40","00ffec40","00ffed21","01ace088","Autocrop\%s.nif","NO"
"FUN_010d9a90","010d9a90","010d9b50","01ad5ccc","TOOLTIP_AUTOCROP_OFF","NO"
"FUN_010d9a90","010d9a90","010d9af7","01ad5ce4","Autocrop\Autocrop_OFF_Btn.tga","NO"
"FUN_010d9a90","010d9a90","010d9b89","01ad5ce4","Autocrop\Autocrop_OFF_Btn.tga","NO"
"FUN_010d9a90","010d9a90","010d9c44","01ad5d04","Autocrop\Autocrop_ON_Btn.tga","NO"
"FUN_010d9a90","010d9a90","010d9c0b","01ad5d24","TOOLTIP_AUTOCROP_ON","NO"
"FUN_010d9e50","010d9e50","010da123","01ad5d38","OPTION_MACRO_TOGGLE_AUTOCROP","NO"
"FUN_010f2380","010f2380","010f270e","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_010f2380","010f2380","010f27c3","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_010f2380","010f2380","010f2767","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_010f2380","010f2380","010f2880","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_010f2380","010f2380","010f2823","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_01140a00","01140a00","01140c29","01adb468","TamerStatus_New\TamerStatus_Win_01.tga","NO"
"FUN_01140a00","01140a00","01140b89","01adb528","TamerStatus_New\TamerStatus_Win_02.tga","NO"
"FUN_01140a00","01140a00","01140ae9","01adb56c","TamerStatus_New\TamerStatus_Win_03.tga","NO"
"FUN_011ae540","011ae540","011ae8e7","01ae13ac","SEALMASTER_STATE_COMBO_ALL","NO"
"FUN_011ae540","011ae540","011aea17","01ae13e4","SEALMASTER_STATE_COMBO_DS","NO"
"FUN_011ae540","011ae540","011ae984","01ae1400","SEALMASTER_STATE_COMBO_HP","NO"
"FUN_011ae540","011ae540","011aeb3d","01ae141c","SEALMASTER_STATE_COMBO_AS","NO"
"FUN_011ae540","011ae540","011aeaaa","01ae1438","SEALMASTER_STATE_COMBO_AT","NO"
"FUN_011ae540","011ae540","011aec63","01ae1454","SEALMASTER_STATE_COMBO_HT","NO"
"FUN_011ae540","011ae540","011aebd0","01ae1470","SEALMASTER_STATE_COMBO_CT","NO"
"FUN_011ae540","011ae540","011aed89","01ae148c","SEALMASTER_STATE_COMBO_BL","NO"
"FUN_011ae540","011ae540","011aecf6","01ae14a8","SEALMASTER_STATE_COMBO_DE","NO"
"FUN_011ae540","011ae540","011aee1c","01ae14f4","SEALMASTER_STATE_COMBO_EV","NO"
"FUN_011d12b0","011d12b0","011d1316","01ae2a24","DETAIL_INFO_ADDITION","decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c"
"FUN_011d12b0","011d12b0","011d12f8","01ae2a3c","DetailInfo\skin_bg_a.tga","decompiled\DetailInfoUI\BuildAdditionalStatPanel.original.c"
"FUN_011d2a20","011d2a20","011d2aad","01ae2b44","DetailInfo\Digimon_Status_Win.tga","decompiled\DetailInfoUI\BuildDigimonDetailRoot.original.c"
