"Kind","Name","Length"
"bin","AccEnchant.bin","292"
"bin","AttributeBase.bin","154"
"bin","AttributeNature.bin","796"
"bin","AttributeReward.bin","84"
"bin","DigimonStats.bin","23068"
"bin","DM_Breakthrough-Cost.bin","484"
"bin","DM_Breakthrough-EtcValue.bin","68"
"bin","DM_Breakthrough-Rate.bin","100"
"bin","DM_Breakthrough-SlotInfo.bin","64"
"bin","DM_Breakthrough-Stat.bin","5230"
"bin","EnchantItemInfo.bin","524"
"bin","EnchantStatInfo.bin","729"
"bin","EquipEnchant.bin","676"
"bin","SealBaseImage.bin","319"
"bin","SealCard.bin","48388"
"bin","SealDigimonImage.bin","26389"
"bin","SealFilter.bin","3178"
"bin","SealLeader.bin","3028"
"bin","SealNatureImage.bin","786"
"bin","SealPlateImage.bin","1060"
"bin","TamerStats.bin","106012"
"xml","AccEnchant.xml","12845"
"xml","AttributeBase.xml","8845"
"xml","AttributeNature.xml","36646"
"xml","AttributeReward.xml","4594"
"xml","DigimonStats.xml","608076"
"xml","DM_Breakthrough-Cost.xml","14008"
"xml","DM_Breakthrough-EtcValue.xml","2169"
"xml","DM_Breakthrough-Rate.xml","2813"
"xml","DM_Breakthrough-SlotInfo.xml","1964"
"xml","DM_Breakthrough-Stat.xml","153571"
"xml","EnchantItemInfo.xml","11897"
"xml","EnchantStatInfo.xml","22602"
"xml","EquipEnchant.xml","19310"
"xml","SealBaseImage.xml","1812"
"xml","SealCard.xml","2745469"
"xml","SealDigimonImage.xml","126124"
"xml","SealFilter.xml","95713"
"xml","SealLeader.xml","131878"
"xml","SealNatureImage.xml","3821"
"xml","SealPlateImage.xml","3858"
"xml","TamerStats.xml","2854458"
