asset_path,address,pack,status,function_files
Cash\NewCashShop\Store_btn_G1.tga,01ada978,Pack01,decompiled-ui-ref,011b8650.original.c;011c39f0.original.c;011fdd70.original.c
CommonUI\arrow_Right.tga,01ad6e94,Pack01,decompiled-ui-ref,011c2a30.original.c;011fced0.original.c
CommonUI\digimon_rank.dds,01ad8c38,Pack01,decompiled-ui-ref,011c3270.original.c;011c4af0.original.c;011c55f0.original.c
CommonUI\Digimon_rank_new.dds,01ae49e4,Pack01,decompiled-ui-ref,011fd5f0.original.c;011fea60.original.c;011ff560.original.c
CommonUI\Slot\Windows_Scroll2.tga,01adc924,Pack01,decompiled-ui-ref,011c4af0.original.c;011c55f0.original.c;011fea60.original.c;011ff560.original.c
CommonUI\Unionmon_rank.dds,01ae4a20,Pack01,decompiled-ui-ref,011fea60.original.c
Control_G\Popup\N2Dlg5.tga,01ae0f00,Pack01,decompiled-ui-ref,011c4af0.original.c;011c55f0.original.c;011fea60.original.c;011ff560.original.c
DigiCombine\DigiCombine_CardBack.dds,01ae1a84,Pack01,decompiled-ui-ref,011b8e70.original.c;011ba450.original.c;011ba730.original.c;011c2a30.original.c;011c7b10.original.c;011c8b10.original.c;011c8df0.original.c;011fced0.original.c;012012e0.original.c;012022e0.original.c;012025c0.original.c
DigiCombine\DigiCombine_CardFront.dds,01ae106c,Pack01,decompiled-ui-ref,011a7b60.original.c;011ba870.original.c;011ba9b0.original.c;011c8f30.original.c;011c9070.original.c
DigiCombine\DigiCombine_Gacha_Bg_A.dds,01ae1aac,Pack01,decompiled-ui-ref,011b8e70.original.c;011bac80.original.c;011c7b10.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_Aplus.dds,01ae1dc4,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_N.dds,01ae1d48,Pack01,decompiled-ui-ref,011bac80.original.c;012012e0.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_S.dds,01ae1d9c,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_Splus.dds,01ae1e18,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_SS.dds,01ae1df0,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSplus.dds,01ae1e70,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSS.dds,01ae1e44,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSSplus.dds,01ae1ec4,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_U.dds,01ae1e9c,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Bg_Uplus.dds,01ae1ef4,Pack01,decompiled-ui-ref,011bac80.original.c;011c9340.original.c;01202880.original.c
DigiCombine\DigiCombine_Gacha_Change.dds,01ae1ad4,Pack01,decompiled-ui-ref,011b8e70.original.c;011c7b10.original.c;012012e0.original.c
DigiCombine\DigiCombine_Gacha_End_A.dds,01ae1b28,Pack01,decompiled-ui-ref,011b8e70.original.c;011bab00.original.c;011c7b10.original.c;011c91c0.original.c;012012e0.original.c;01202700.original.c
DigiCombine\DigiCombine_Gacha_End_Aplus.dds,01ae1c10,Pack01,decompiled-ui-ref,011bab00.original.c;011c91c0.original.c;01202700.original.c
DigiCombine\DigiCombine_Gacha_End_N.dds,01ae1b98,Pack01,decompiled-ui-ref,011bab00.original.c;01202700.original.c
