asset_path,address,pack,status,function_files
Cash\NewCashShop\Store_btn_G1.tga,01ada978,Pack01,decompiled-ui-ref,011b4710.original.c;011b8650.original.c;011bc4e0.original.c
CommonUI\digimon_rank_new.dds,01ae1a14,Pack01,decompiled-ui-ref,011bd690.original.c
DigiCombine\DigiCombine_CardBack.dds,01ae1a84,Pack01,decompiled-ui-ref,011b8e70.original.c;011ba450.original.c;011ba730.original.c
DigiCombine\DigiCombine_CardFront.dds,01ae106c,Pack01,decompiled-ui-ref,011a7b60.original.c;011ba870.original.c;011ba9b0.original.c
DigiCombine\DigiCombine_Gacha_Bg_A.dds,01ae1aac,Pack01,decompiled-ui-ref,011b8e70.original.c;011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_Aplus.dds,01ae1dc4,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_N.dds,01ae1d48,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_S.dds,01ae1d9c,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_Splus.dds,01ae1e18,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_SS.dds,01ae1df0,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSplus.dds,01ae1e70,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSS.dds,01ae1e44,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_SSSplus.dds,01ae1ec4,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_U.dds,01ae1e9c,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Bg_Uplus.dds,01ae1ef4,Pack01,decompiled-ui-ref,011bac80.original.c
DigiCombine\DigiCombine_Gacha_Change.dds,01ae1ad4,Pack01,decompiled-ui-ref,011b8e70.original.c
DigiCombine\DigiCombine_Gacha_End_A.dds,01ae1b28,Pack01,decompiled-ui-ref,011b8e70.original.c;011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_Aplus.dds,01ae1c10,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_N.dds,01ae1b98,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_S.dds,01ae1be8,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_Splus.dds,01ae1c68,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_SS.dds,01ae1c3c,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_SSplus.dds,01ae1cc0,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_SSS.dds,01ae1c94,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_SSSplus.dds,01ae1d18,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_U.dds,01ae1cf0,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_End_Uplus.dds,01ae1d70,Pack01,decompiled-ui-ref,011bab00.original.c
DigiCombine\DigiCombine_Gacha_Start.dds,01ae1a5c,Pack01,decompiled-ui-ref,011b8e70.original.c
Random_box\bg.png,01adb0b4,Pack01,decompiled-ui-ref,011b6020.original.c
Random_box\bg_big.png,01adae60,Pack01,decompiled-ui-ref,011bbb20.original.c
Random_box\button\arrow_l.tga,01adae40,Pack01,decompiled-ui-ref,011bb4b0.original.c
Random_box\button\arrow_r.tga,01adae20,Pack01,decompiled-ui-ref,011bb4b0.original.c
Random_box\button\definite_information.tga,01adaee8,Pack01,decompiled-ui-ref,011bbb20.original.c
Random_box\button\done.tga,01adac0c,Pack01,decompiled-ui-ref,011b8650.original.c
Random_box\button\Purchase_1.tga,01adaf28,Pack01,decompiled-ui-ref,011bc4e0.original.c
Random_box\button\Repurchase.tga,01adac48,Pack01,decompiled-ui-ref,011b8650.original.c
Random_box\button\Tap.tga,01adaa80,Pack01,decompiled-ui-ref,011b71a0.original.c
Random_box\loding.png,01adaebc,Pack01,decompiled-ui-ref,011bbb20.original.c
Random_box\over_frame.png,01adae78,Pack01,decompiled-ui-ref,011bb4b0.original.c
Random_box\sub_title_line.png,01ada99c,Pack01,decompiled-ui-ref,011bba60.original.c
SealMaster\sealmaster_bg_01.tga,01ae104c,Pack01,decompiled-ui-ref,011a7b60.original.c
System\DigiCombine_Gacha_Change.wav,01ae1b74,Pack01,decompiled-ui-ref,011ba730.original.c
System\DigiCombine_Gacha_Default.wav,01ae1bc0,Pack01,decompiled-ui-ref,011baa40.original.c
System\DigiCombine_Gacha_Progress.wav,01ae1b00,Pack01,decompiled-ui-ref,011b9f70.original.c;011ba1e0.original.c;011ba600.original.c
System\DigiCombine_Gacha_Rare.wav,01ae1b50,Pack01,decompiled-ui-ref,011baa40.original.c
