"Classification","Value","FromEntry","FromFunction","Note"
"AdjacentAccessoryEnchantAsset","Accessory\Enchant\Enchant_BG.tga","0125ed60","FUN_0125ed60","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Enchant\Enchant_EnchantBtn.tga","0125ed60","FUN_0125ed60","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Enchant\Enchant_EnchantBtn.tga","01267bd0","FUN_01267bd0","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_Bar.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_BarBG.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_BarMask.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentSharedClassAsset","Encyclopedia\NewEncyclopedia\Icon\Encyclopedia_512.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Encyclopedia\NewEncyclopedia\rate_frame\Attribute_Bar.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","EventPopup\Event_popup_Background.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Mail\Mail_Item_Icon.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Random_box\bar_arrow.png","01267bd0","FUN_01267bd0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","SeasonPass\Pass_ExpPopup_bg.png","01267bd0","FUN_01267bd0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Digivice.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Earring.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Necklace.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Ring.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","System\JewelSuccess.wav","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","System\System_return_01.wav","0125ea10","FUN_0125ea10","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Union\Unlock_bg.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Union\Unlock_frame.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"CoreEnchantLevelEffect","system\LevelEffect\Enchant_K45.nif","014484b0","FUN_014484b0","Specific enchant level effect."
"CoreEnchantLevelEffect","system\LevelEffect\Enchant_K60.nif","014484b0","FUN_014484b0","Specific enchant level effect."
"CoreEnchantTacticsAsset","EnchantTactics\card_base.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\card_base2.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardAni\Card_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardFail\Fail_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardFail\Fail_R_20.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardSuccess\Succes_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardSuccess\Succes_R_20.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\FailAni\Fail_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\NO.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\SelectAni\Card_C_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\SuccessAni\Succes_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreSceneObject","Data/etcobject/DatsCenter/C_Gradation_0001.nif","00f808f0","FUN_00f808f0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/D_Gradation_0001.nif","00f808f0","FUN_00f808f0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/D_Gradation_0001.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/D_Gradation_0001.nif","011ee3c0","FUN_011ee3c0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/E_Gradation_0001.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/E_Gradation_0001.nif","011ee3c0","FUN_011ee3c0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/E_Gradation_0002.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/F_DATS_base.nif","00f808f0","FUN_00f808f0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/F_DATS_base.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/F_DATS_base.nif","011ee3c0","FUN_011ee3c0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSoundOrEffect","Enchant_Room.mp3","00f808f0","FUN_00f808f0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","Enchant_Room.mp3","01087760","FUN_01087760","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","Enchant_Room.mp3","010ed3b0","FUN_010ed3b0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","Enchant_Room.mp3","011ee3c0","FUN_011ee3c0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","Enchant_Room.mp3","013121c0","FUN_013121c0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","game\Enchant_Fail.mp3","011ee3c0","FUN_011ee3c0","Direct sound/effect reference for enchant/transcend scene."
