"Classification","Value","FromEntry","FromFunction","Note"
"CoreEnchantLevelEffect","system\LevelEffect\Enchant_K45.nif","014484b0","FUN_014484b0","Specific enchant level effect."
"CoreEnchantLevelEffect","system\LevelEffect\Enchant_K60.nif","014484b0","FUN_014484b0","Specific enchant level effect."
"CoreEnchantTacticsAsset","EnchantTactics\card_base.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\card_base2.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardAni\Card_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardFail\Fail_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardFail\Fail_R_20.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardSuccess\Succes_R_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\CardSuccess\Succes_R_20.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\FailAni\Fail_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\NO.tga","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\SelectAni\Card_C_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreEnchantTacticsAsset","EnchantTactics\SuccessAni\Succes_","00f81940","FUN_00f81940","Direct EnchantTactics card/result animation asset."
"CoreSceneObject","Data/etcobject/DatsCenter/C_Gradation_0001.nif","00f808f0","FUN_00f808f0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/D_Gradation_0001.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/E_Gradation_0001.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/E_Gradation_0002.nif","010ed3b0","FUN_010ed3b0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSceneObject","Data/etcobject/DatsCenter/F_DATS_base.nif","00f808f0","FUN_00f808f0","DATS/tactics-house scene object reference in the scene/music chain."
"CoreSoundOrEffect","Enchant_Room.mp3","010ed3b0","FUN_010ed3b0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","game\Enchant_Fail.mp3","011ee3c0","FUN_011ee3c0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\interface_person_01.wav","0125df00","FUN_0125df00","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\Tactics_enchant_fail.nif","011ee3c0","FUN_011ee3c0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\transcendental.wav","0111c800","FUN_0111c800","Direct sound/effect reference for enchant/transcend scene."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Digimon_Status_Win.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_AT.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_bl.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_ct.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_ev.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_HP.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\TamerStatus_Win_03_bg.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\zoom_in_aa.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DigimonStatus_New\Digimon_Status_Enchant_01.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DigimonStatus_New\Digimon_Status_help_btn.tga","01119160","FUN_01119160","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","TacticsHouse\CheckOnline.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreTableBin","EnchantItemInfo.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","EnchantStatInfo.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","EvoDigitama.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendCorrect.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendCorrectEx.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendMaterial.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendNeed.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTranscendenceUiAsset","Breakthrough\Breakthrough_Digimon_info_BG.tga","011f0c90","FUN_011f0c90","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Breakthrough\Breakthrough_Main_BG.tga","011f51b0","FUN_011f51b0","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Breakthrough\Data_Exchange_Button.tga","011f6890","FUN_011f6890","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Data\Interface\Breakthrough\Breakthrough_Digimon_info_B.tga","011f0d50","FUN_011f0d50","Breakthrough/transcendence UI asset referenced by the copied flow."
"SharedControlAsset","Control_G\ComboBox\Combo2.tga","0125f9f0","FUN_0125f9f0","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","System\Btn_Radio5.tga","01371450","FUN_01371450","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","System\Ch_Close.tga","0125ed60","FUN_0125ed60","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","Talk\Common_Seletbar.tga","0125f9f0","FUN_0125f9f0","Shared UI control used by copied popup/selector classes."
