"FromFunction","FromEntry","FromAddress","ToAddress","ToSymbol","RefType","DataType","Value"
"FUN_00f808f0","00f808f0","00f8090d","ffdff000","ExceptionList","READ","void *","00000000"
"FUN_00f808f0","00f808f0","00f8091b","01bbb1c0","DAT_01bbb1c0","READ","undefined4","-0x44bf19b2"
"FUN_00f808f0","00f808f0","00f8092b","ffdff000","ExceptionList","WRITE","void *","00000000"
"FUN_00f808f0","00f808f0","00f80939","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f8093e","01bfb2c4","DAT_01bfb2c4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80950","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80974","01bfb2a0","DAT_01bfb2a0","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80983","01bfb2a0","DAT_01bfb2a0","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80989","01bfb2d8","DAT_01bfb2d8","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f8098e","01bb97a0","DAT_01bb97a0","WRITE","undefined1","0x1"
"FUN_00f808f0","00f808f0","00f809a0","01b027a8","DAT_01b027a8","READ","undefined4","0x3fc00000"
"FUN_00f808f0","00f808f0","00f809a8","01ac8de8","s_Enchant_Room.mp3_01ac8de8","DATA","string","Enchant_Room.mp3"
"FUN_00f808f0","00f808f0","00f809b2","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f809f3","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80a06","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80a46","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80a59","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80ab6","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80ac9","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80b26","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80b41","01bfe464","DAT_01bfe464","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80bbf","01bfe464","DAT_01bfe464","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80bd3","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80bea","01bfb8cc","DAT_01bfb8cc","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80c05","01bfb2a8","DAT_01bfb2a8","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80c2a","01bfb2a8","DAT_01bfb2a8","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80c37","01b02b3c","DAT_01b02b3c","READ","undefined4","-0x383cb000"
"FUN_00f808f0","00f808f0","00f80c73","01ac8dfc","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","DATA","string","Data/etcobject/DatsCenter/F_DATS_base.nif"
"FUN_00f808f0","00f808f0","00f80c8b","01ac8dfc","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","DATA","string","Data/etcobject/DatsCenter/F_DATS_base.nif"
"FUN_00f808f0","00f808f0","00f80d0d","01bee678","DAT_01bee678","READ","undefined8","0x0"
"FUN_00f808f0","00f808f0","00f80d53","01ac8e54","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","DATA","string","Data/etcobject/DatsCenter/C_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80d67","01ac8e54","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","DATA","string","Data/etcobject/DatsCenter/C_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80dfd","01bee678","DAT_01bee678","READ","undefined8","0x0"
"FUN_00f808f0","00f808f0","00f80e19","01b02768","DAT_01b02768","READ","undefined4","0x3f800000"
"FUN_00f808f0","00f808f0","00f80e53","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80e61","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80e66","01ac8e54","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","DATA","string","Data/etcobject/DatsCenter/C_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80e66","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80ef7","01bee678","DAT_01bee678","READ","undefined8","0x0"
"FUN_00f808f0","00f808f0","00f80f39","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80f42","01b02b34","DAT_01b02b34","READ","undefined4","-0x3b510000"
"FUN_00f808f0","00f808f0","00f80f4a","01b02b30","DAT_01b02b30","READ","undefined4","-0x3cb80000"
"FUN_00f808f0","00f808f0","00f80f74","01b02b30","DAT_01b02b30","READ","undefined4","-0x3cb80000"
"FUN_00f808f0","00f808f0","00f80fad","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80fb3","01b02ad4","DAT_01b02ad4","READ","undefined4","-0x435c28f6"
"FUN_00f808f0","00f808f0","00f80fbd","01b025b8","DAT_01b025b8","READ","undefined4","0x3e8a3d71"
"FUN_00f808f0","00f808f0","00f80fca","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f80fd0","01b029d4","DAT_01b029d4","READ","undefined4","0x43960000"
"FUN_00f808f0","00f808f0","00f81000","01b02a54","DAT_01b02a54","READ","undefined4","0x44fa0052"
"FUN_00f808f0","00f808f0","00f8100e","01b03420","DAT_01b03420","READ","undefined4","-0x80000000"
"FUN_00f808f0","00f808f0","00f8103e","01b02a50","DAT_01b02a50","READ","undefined4","0x44fa0000"
"FUN_00f808f0","00f808f0","00f81058","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f81067","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f810b4","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f810cb","01b02a50","DAT_01b02a50","READ","undefined4","0x44fa0000"
"FUN_00f808f0","00f808f0","00f810e8","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f810f7","01bfc3b4","DAT_01bfc3b4","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f8114c","01ac8eb4","s_Digimon_Box01_01ac8eb4","DATA","string","Digimon_Box01"
"FUN_00f808f0","00f808f0","00f81181","01a1e870","DAT_01a1e870","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f8119e","01beee98","DAT_01beee98","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f811b4","01b029e8","DAT_01b029e8","READ","undefined4","0x43a50000"
"FUN_00f808f0","00f808f0","00f811d9","01bfb2a8","DAT_01bfb2a8","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f81208","01b029a0","DAT_01b029a0","READ","undefined4","0x43160000"
"FUN_00f808f0","00f808f0","00f812c6","01ac8ec4","s_Digimon_Box02_01ac8ec4","DATA","string","Digimon_Box02"
"FUN_00f808f0","00f808f0","00f812fd","01a1e870","DAT_01a1e870","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f8131a","01beee98","DAT_01beee98","READ","undefined4","0x0"
"FUN_00f808f0","00f808f0","00f81360","01b029a0","DAT_01b029a0","READ","undefined4","0x43160000"
"FUN_00f808f0","00f808f0","00f813f9","ffdff000","ExceptionList","WRITE","void *","00000000"
"FUN_00f81940","00f81940","00f8195d","ffdff000","ExceptionList","READ","void *","00000000"
"FUN_00f81940","00f81940","00f81968","01bbb1c0","DAT_01bbb1c0","READ","undefined4","-0x44bf19b2"
"FUN_00f81940","00f81940","00f81978","ffdff000","ExceptionList","WRITE","void *","00000000"
"FUN_00f81940","00f81940","00f8197e","01bfb2b8","DAT_01bfb2b8","READ","undefined4","0x0"
"FUN_00f81940","00f81940","00f8198e","01bc07f0","DAT_01bc07f0","READ","undefined4","0x300"
"FUN_00f81940","00f81940","00f819f3","01bb9b2c","DAT_01bb9b2c","READ","undefined8","0x3f8000003f800000"
"FUN_00f81940","00f81940","00f819fb","01bc07ec","DAT_01bc07ec","READ","undefined4","0x400"
"FUN_00f81940","00f81940","00f81a01","01bb9b34","DAT_01bb9b34","READ","undefined4","0x3f800000"
"FUN_00f81940","00f81940","00f81a09","01ac8ed4","s_EnchantTactics\card_base.tga_01ac8ed4","DATA","string","EnchantTactics\card_base.tga"
"FUN_00f81940","00f81940","00f81a31","01ac8ed4","s_EnchantTactics\card_base.tga_01ac8ed4","DATA","string","EnchantTactics\card_base.tga"
