"FromFunction","FromEntry","FromAddress","ToAddress","ToSymbol","RefType","DataType","Value"
"FUN_0125ed60","0125ed60","0125ee57","01ae839c","s_Accessory\Enchant\Enchant_BG.tga_01ae839c","DATA","string","Accessory\Enchant\Enchant_BG.tga"
"FUN_0125ed60","0125ed60","0125f02d","01ae83e0","s_Accessory\Enchant\Enchant_Enchan_01ae83e0","DATA","string","Accessory\Enchant\Enchant_EnchantBtn.tga"
"FUN_01267bd0","01267bd0","01267d9f","01ae83e0","s_Accessory\Enchant\Enchant_Enchan_01ae83e0","DATA","string","Accessory\Enchant\Enchant_EnchantBtn.tga"
"FUN_0125ea10","0125ea10","0125ec22","01ae82ec","s_Accessory\Identify\Identify_Bar._01ae82ec","DATA","string","Accessory\Identify\Identify_Bar.tga"
"FUN_0125ea10","0125ea10","0125ec12","01ae8310","s_Accessory\Identify\Identify_BarB_01ae8310","DATA","string","Accessory\Identify\Identify_BarBG.tga"
"FUN_0125ea10","0125ea10","0125ec32","01ae8354","s_Accessory\Identify\Identify_BarM_01ae8354","DATA","string","Accessory\Identify\Identify_BarMask.tga"
"FUN_011f0c90","011f0c90","011f0cdb","01ae4040","s_Breakthrough\Breakthrough_Digimo_01ae4040","DATA","string","Breakthrough\Breakthrough_Digimon_info_BG.tga"
"FUN_011f51b0","011f51b0","011f5202","01ae4508","s_Breakthrough\Breakthrough_Main_B_01ae4508","DATA","string","Breakthrough\Breakthrough_Main_BG.tga"
"FUN_011f6890","011f6890","011f6a3e","01ae44e0","s_Breakthrough\Data_Exchange_Butto_01ae44e0","DATA","string","Breakthrough\Data_Exchange_Button.tga"
"FUN_0125f9f0","0125f9f0","0125fa90","01ae65dc","s_Control_G\ComboBox\Combo2.tga_01ae65dc","DATA","string","Control_G\ComboBox\Combo2.tga"
"FUN_00f808f0","00f808f0","00f80d67","01ac8e54","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","DATA","string","Data/etcobject/DatsCenter/C_Gradation_0001.nif"
"FUN_00f808f0","00f808f0","00f80e66","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_010ed3b0","010ed3b0","010ed7b6","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_011ee3c0","011ee3c0","011ee6b3","01ac8e84","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","DATA","string","Data/etcobject/DatsCenter/D_Gradation_0001.nif"
"FUN_010ed3b0","010ed3b0","010ed5bb","01ad7020","s_Data/etcobject/DatsCenter/E_Grad_01ad7020","DATA","string","Data/etcobject/DatsCenter/E_Gradation_0001.nif"
"FUN_011ee3c0","011ee3c0","011ee5b8","01ad7020","s_Data/etcobject/DatsCenter/E_Grad_01ad7020","DATA","string","Data/etcobject/DatsCenter/E_Gradation_0001.nif"
"FUN_010ed3b0","010ed3b0","010ed6c4","01ad706c","s_Data/etcobject/DatsCenter/E_Grad_01ad706c","DATA","string","Data/etcobject/DatsCenter/E_Gradation_0002.nif"
"FUN_00f808f0","00f808f0","00f80c8b","01ac8dfc","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","DATA","string","Data/etcobject/DatsCenter/F_DATS_base.nif"
"FUN_010ed3b0","010ed3b0","010ed506","01ac8dfc","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","DATA","string","Data/etcobject/DatsCenter/F_DATS_base.nif"
"FUN_011ee3c0","011ee3c0","011ee4e8","01ac8dfc","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","DATA","string","Data/etcobject/DatsCenter/F_DATS_base.nif"
"FUN_011f0d50","011f0d50","011f11a2","01ae4094","s_Data\Interface\Breakthrough\Brea_01ae4094","DATA","string","Data\Interface\Breakthrough\Breakthrough_Digimon_info_B.tga"
"FUN_011d2a20","011d2a20","011d2aad","01ae2b44","s_DetailInfo\Digimon_Status_Win.tg_01ae2b44","DATA","string","DetailInfo\Digimon_Status_Win.tga"
"FUN_011d4320","011d4320","011d4923","01ae2ce4","s_DetailInfo\Enchant_AT.tga_01ae2ce4","DATA","string","DetailInfo\Enchant_AT.tga"
"FUN_011d4320","011d4320","011d492c","01ae2d3c","s_DetailInfo\Enchant_bl.tga_01ae2d3c","DATA","string","DetailInfo\Enchant_bl.tga"
"FUN_011d4320","011d4320","011d4935","01ae2d20","s_DetailInfo\Enchant_ct.tga_01ae2d20","DATA","string","DetailInfo\Enchant_ct.tga"
"FUN_011d4320","011d4320","011d493e","01ae2d74","s_DetailInfo\Enchant_ev.tga_01ae2d74","DATA","string","DetailInfo\Enchant_ev.tga"
"FUN_011d4320","011d4320","011d4947","01ae2d58","s_DetailInfo\Enchant_HP.tga_01ae2d58","DATA","string","DetailInfo\Enchant_HP.tga"
