"FromFunction","FromEntry","FromAddress","ToAddress","ToSymbol","RefType","DataType","Value"
"FUN_0125ed60","0125ed60","0125f0b8","01ae837c","s_ACCESSORY_ENCHANT_ENCHANTMENT_01ae837c","DATA","string","ACCESSORY_ENCHANT_ENCHANTMENT"
"FUN_01267bd0","01267bd0","01267cfe","01ae8958","s_ACCESSORY_ENCHANT_RESULT_01ae8958","DATA","string","ACCESSORY_ENCHANT_RESULT"
"FUN_01147380","01147380","01147398","01adba18","s_DigimonEnchantPage_01adba18","DATA","string","DigimonEnchantPage"
"FUN_011e3360","011e3360","011e3a68","01ad8ee8","s_DIGIMONTRANSCEND_TRANS_BTN_TEXT_01ad8ee8","DATA","string","DIGIMONTRANSCEND_TRANS_BTN_TEXT"
"FUN_011f0d50","011f0d50","011f0fb6","01ad8ee8","s_DIGIMONTRANSCEND_TRANS_BTN_TEXT_01ad8ee8","DATA","string","DIGIMONTRANSCEND_TRANS_BTN_TEXT"
"FUN_0128bfa0","0128bfa0","0128c097","01ae9d7c","s_DigimonTranscendenceHelp_01ae9d7c","DATA","string","DigimonTranscendenceHelp"
"FUN_01119590","01119590","01119769","01ad93e0","s_DIGIMONTRANSCENDHELP_EXPLAIN_CHA_01ad93e0","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_CHARGE"
"FUN_01119590","01119590","011196f7","01ad9404","s_DIGIMONTRANSCENDHELP_EXPLAIN_PRO_01ad9404","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_PROGRESS"
"FUN_01119590","01119590","0111960d","01ad93bc","s_DIGIMONTRANSCENDHELP_EXPLAIN_SYS_01ad93bc","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_SYSTEM"
"FUN_01119160","01119160","011193a0","01ad9344","s_DIGIMONTRANSCENDHELP_EXPLAIN_TAB_01ad9344","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_CHARGE"
"FUN_01119160","01119160","0111934f","01ad936c","s_DIGIMONTRANSCENDHELP_EXPLAIN_TAB_01ad936c","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_PROGRESS"
"FUN_01119160","01119160","01119221","01ad931c","s_DIGIMONTRANSCENDHELP_EXPLAIN_TAB_01ad931c","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_SYSTEM"
"FUN_01119160","01119160","01119301","01ad92f4","s_DIGIMONTRANSCENDHELP_EXPLAIN_TAB_01ad92f4","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_TERMS"
"FUN_01119590","01119590","01119682","01ad9398","s_DIGIMONTRANSCENDHELP_EXPLAIN_TER_01ad9398","DATA","string","DIGIMONTRANSCENDHELP_EXPLAIN_TERMS"
"FUN_0128c990","0128c990","0128ca9f","01ae9de4","s_DigiPowerEnchant_01ae9de4","DATA","string","DigiPowerEnchant"
"FUN_0128c5d0","0128c5d0","0128c7a7","01ae9dc0","s_EnchantOption_01ae9dc0","DATA","string","EnchantOption"
"FUN_0128c7f0","0128c7f0","0128c93b","01ae9df8","s_EnchantOptionResultUI_01ae9df8","DATA","string","EnchantOptionResultUI"
"FUN_01283910","01283910","01285945","01ae9914","s_EnchantTactics_01ae9914","DATA","string","EnchantTactics"
"FUN_012ce6a0","012ce6a0","012ce7a4","01aebc28","s_ENCHANTTACTICS_BTN_BACKUP_DISK_01aebc28","DATA","string","ENCHANTTACTICS_BTN_BACKUP_DISK"
"FUN_012ce6a0","012ce6a0","012ce782","01aebbcc","s_ENCHANTTACTICS_BTN_DIGICLONE_01aebbcc","DATA","string","ENCHANTTACTICS_BTN_DIGICLONE"
"FUN_011f0d50","011f0d50","011f0eed","01ae4078","s_ENCHANTTACTICS_BTN_ENCHANT_01ae4078","DATA","string","ENCHANTTACTICS_BTN_ENCHANT"
"FUN_011f6890","011f6890","011f696b","01ae45b8","s_ENCHANTTACTICS_BTN_RESET_01ae45b8","DATA","string","ENCHANTTACTICS_BTN_RESET"
"FUN_012ce6a0","012ce6a0","012ce70e","01aebc78","s_ENCHANTTACTICS_BTN_RESET_ITEM_01aebc78","DATA","string","ENCHANTTACTICS_BTN_RESET_ITEM"
