"Address","CleanName","Area","Reason","SourcePath","CopiedTo","Exists"
"00f808f0","LoadEnchantRoomMusic","SceneAndEffects","References Enchant_Room.mp3","C:\0-NewDmo\unpacked_exe_all\functions\00f808f0_FUN_00f808f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\LoadEnchantRoomMusic.00f808f0.original.c","True"
"00f81940","LoadEnchantTacticsCardAndAnimationAssets","SceneAndEffects","Loads card_base card_base2 NO card success fail and animation prefixes","C:\0-NewDmo\unpacked_exe_all\functions\00f81940_FUN_00f81940.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\LoadEnchantTacticsCardAndAnimationAssets.00f81940.original.c","True"
"01087760","PlayEnchantRoomMusicVariantA","SceneAndEffects","References Enchant_Room.mp3","C:\0-NewDmo\unpacked_exe_all\functions\01087760_FUN_01087760.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\PlayEnchantRoomMusicVariantA.01087760.original.c","True"
"010ed3b0","PlayEnchantRoomMusicVariantB","SceneAndEffects","References Enchant_Room.mp3","C:\0-NewDmo\unpacked_exe_all\functions\010ed3b0_FUN_010ed3b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\PlayEnchantRoomMusicVariantB.010ed3b0.original.c","True"
"0111c800","PlayTranscendenceSoundEffect","SceneAndEffects","References System transcendental wav","C:\0-NewDmo\unpacked_exe_all\functions\0111c800_FUN_0111c800.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\PlayTranscendenceSoundEffect.0111c800.original.c","True"
"01147380","ResolveDigimonEnchantPageName","EnchantTacticsUI","References DigimonEnchantPage runtime page","C:\0-NewDmo\unpacked_exe_all\functions\01147380_FUN_01147380.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\ResolveDigimonEnchantPageName.01147380.original.c","True"
"01180930","BuildEnchantTooltipTitle","EnchantTacticsUI","Tooltip/title support around enchant UI","C:\0-NewDmo\unpacked_exe_all\functions\01180930_FUN_01180930.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildEnchantTooltipTitle.01180930.original.c","True"
"011d2a20","OpenDigimonEnchantStatusPanel","EnchantTacticsUI","Caller for title/status panel","C:\0-NewDmo\unpacked_exe_all\functions\011d2a20_FUN_011d2a20.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\OpenDigimonEnchantStatusPanel.011d2a20.original.c","True"
"011d4320","BuildDigimonEnchantStatusPanel","EnchantTacticsUI","Uses ENCHANTTACTICS_TITLE_DIGIMON_ENCHANT and status enchant assets","C:\0-NewDmo\unpacked_exe_all\functions\011d4320_FUN_011d4320.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildDigimonEnchantStatusPanel.011d4320.original.c","True"
"011dd050","BuildDigimonEnchantTooltipText","EnchantTacticsUI","Tooltip text around enchant/transcend","C:\0-NewDmo\unpacked_exe_all\functions\011dd050_FUN_011dd050.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildDigimonEnchantTooltipText.011dd050.original.c","True"
"011e3360","BuildDigimonTranscendButtonText","EnchantTacticsUI","References DIGIMONTRANSCEND_TRANS_BTN_TEXT","C:\0-NewDmo\unpacked_exe_all\functions\011e3360_FUN_011e3360.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildDigimonTranscendButtonText.011e3360.original.c","True"
"011ee3c0","PlayEnchantRoomMusicVariantC","SceneAndEffects","References Enchant_Room.mp3","C:\0-NewDmo\unpacked_exe_all\functions\011ee3c0_FUN_011ee3c0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\PlayEnchantRoomMusicVariantC.011ee3c0.original.c","True"
"011f0c90","HandleEnchantTacticsActionDispatch","EnchantTacticsUI","Caller for enchant/transcend action labels","C:\0-NewDmo\unpacked_exe_all\functions\011f0c90_FUN_011f0c90.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\HandleEnchantTacticsActionDispatch.011f0c90.original.c","True"
"011f0d50","BuildEnchantAndTranscendActionButtons","EnchantTacticsUI","References ENCHANTTACTICS_BTN_ENCHANT and transcend text","C:\0-NewDmo\unpacked_exe_all\functions\011f0d50_FUN_011f0d50.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildEnchantAndTranscendActionButtons.011f0d50.original.c","True"
"011f51b0","HandleEnchantResetFlow","EnchantOptionUI","Caller for reset option popup flow","C:\0-NewDmo\unpacked_exe_all\functions\011f51b0_FUN_011f51b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\HandleEnchantResetFlow.011f51b0.original.c","True"
"011f6890","BuildEnchantResetButton","EnchantOptionUI","References ENCHANTTACTICS_BTN_RESET","C:\0-NewDmo\unpacked_exe_all\functions\011f6890_FUN_011f6890.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\BuildEnchantResetButton.011f6890.original.c","True"
"011f9450","EnchantResetFlowResultHandler","EnchantOptionResultUI","Called by reset flow","C:\0-NewDmo\unpacked_exe_all\functions\011f9450_FUN_011f9450.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantResetFlowResultHandler.011f9450.original.c","True"
"01283910","CreateEnchantTacticsWindowFactory","EnchantTacticsUI","Global UI factory case for EnchantTactics","C:\0-NewDmo\unpacked_exe_all\functions\01283910_FUN_01283910.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\CreateEnchantTacticsWindowFactory.01283910.original.c","True"
"0128bfa0","CreateDigimonTranscendenceHelpWindow","DigimonTranscendenceHelpUI","Factory for DigimonTranscendenceHelp popup","C:\0-NewDmo\unpacked_exe_all\functions\0128bfa0_FUN_0128bfa0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\CreateDigimonTranscendenceHelpWindow.0128bfa0.original.c","True"
"0128c5d0","CreateEnchantOptionWindow","EnchantOptionUI","Factory for EnchantOption popup","C:\0-NewDmo\unpacked_exe_all\functions\0128c5d0_FUN_0128c5d0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\CreateEnchantOptionWindow.0128c5d0.original.c","True"
"0128c7f0","CreateEnchantOptionResultWindow","EnchantOptionResultUI","Factory for EnchantOptionResultUI popup","C:\0-NewDmo\unpacked_exe_all\functions\0128c7f0_FUN_0128c7f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\CreateEnchantOptionResultWindow.0128c7f0.original.c","True"
"0128c990","CreateDigiPowerEnchantWindow","DigiPowerEnchantUI","Factory for top compact DigiPowerEnchant selector","C:\0-NewDmo\unpacked_exe_all\functions\0128c990_FUN_0128c990.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\CreateDigiPowerEnchantWindow.0128c990.original.c","True"
"012ce0b0","EnchantTacticsShared_012ce0b0","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012ce0b0_FUN_012ce0b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012ce0b0.012ce0b0.original.c","True"
"012ce170","EnchantTacticsShared_012ce170","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012ce170_FUN_012ce170.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012ce170.012ce170.original.c","True"
"012ce210","EnchantTacticsShared_012ce210","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012ce210_FUN_012ce210.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012ce210.012ce210.original.c","True"
"012ce2b0","EnchantTacticsShared_012ce2b0","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012ce2b0_FUN_012ce2b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012ce2b0.012ce2b0.original.c","True"
"012ce390","ValidateEnchantTacticsMaterialState","EnchantTacticsUI","Called by cannot-enchant flow","C:\0-NewDmo\unpacked_exe_all\functions\012ce390_FUN_012ce390.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\ValidateEnchantTacticsMaterialState.012ce390.original.c","True"
"012ce4f0","ResolveEnchantTacticsButtonState","EnchantTacticsUI","Called by cannot-enchant flow","C:\0-NewDmo\unpacked_exe_all\functions\012ce4f0_FUN_012ce4f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\ResolveEnchantTacticsButtonState.012ce4f0.original.c","True"
"012ce6a0","BuildEnchantTacticsMaterialButtonText","EnchantTacticsUI","References backup disk digiclone reset item labels","C:\0-NewDmo\unpacked_exe_all\functions\012ce6a0_FUN_012ce6a0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildEnchantTacticsMaterialButtonText.012ce6a0.original.c","True"
"012ce800","ShowEnchantTacticsCannotEnchantMessage","EnchantTacticsUI","References ENCHANTTACTICS_CANNOT_ENCHANT","C:\0-NewDmo\unpacked_exe_all\functions\012ce800_FUN_012ce800.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\ShowEnchantTacticsCannotEnchantMessage.012ce800.original.c","True"
"012cdfc0","EnchantTacticsShared_012cdfc0","EnchantTacticsUI","Caller of cannot-enchant flow","C:\0-NewDmo\unpacked_exe_all\functions\012cdfc0_FUN_012cdfc0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cdfc0.012cdfc0.original.c","True"
"012cf2e0","EnchantTacticsShared_012cf2e0","EnchantTacticsUI","Caller of cannot-enchant flow","C:\0-NewDmo\unpacked_exe_all\functions\012cf2e0_FUN_012cf2e0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cf2e0.012cf2e0.original.c","True"
"012cf6a0","EnchantTacticsShared_012cf6a0","EnchantTacticsUI","Called by validation flow","C:\0-NewDmo\unpacked_exe_all\functions\012cf6a0_FUN_012cf6a0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cf6a0.012cf6a0.original.c","True"
"012cf700","EnchantTacticsShared_012cf700","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012cf700_FUN_012cf700.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cf700.012cf700.original.c","True"
"012cf930","EnchantTacticsShared_012cf930","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012cf930_FUN_012cf930.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cf930.012cf930.original.c","True"
"012cfb00","EnchantTacticsShared_012cfb00","EnchantTacticsUI","Adjacent bottom-panel logic cluster","C:\0-NewDmo\unpacked_exe_all\functions\012cfb00_FUN_012cfb00.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\EnchantTacticsShared_012cfb00.012cfb00.original.c","True"
"012cfc40","BuildEnchantTacticsEnchantLevelText","EnchantTacticsUI","References ENCHANTTACTICS_ENCHANT_LEVEL","C:\0-NewDmo\unpacked_exe_all\functions\012cfc40_FUN_012cfc40.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantTacticsUI\BuildEnchantTacticsEnchantLevelText.012cfc40.original.c","True"
"013121c0","ResolveEnchantRoomMusicPath","SceneAndEffects","Returns Enchant_Room.mp3","C:\0-NewDmo\unpacked_exe_all\functions\013121c0_FUN_013121c0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\ResolveEnchantRoomMusicPath.013121c0.original.c","True"
"014484b0","LoadEnchantLevelEffects","SceneAndEffects","References Enchant_K45 and Enchant_K60 level effects","C:\0-NewDmo\unpacked_exe_all\functions\014484b0_FUN_014484b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\SceneAndEffects\LoadEnchantLevelEffects.014484b0.original.c","True"
