"Table","XmlExists","BinExists","StructExists","DirectlyLoadedBy0161e970"
"EvoDigitama","True","True","True","True"
"EnchantItemInfo","True","True","True","True"
"EnchantStatInfo","True","True","True","True"
"TranscendNeed","True","True","True","True"
"TranscendMaterial","True","True","True","True"
"TranscendCorrect","True","True","True","True"
"TranscendCorrectEx","True","True","True","True"
"ItemData","True","True","True","False"
"ItemType","True","True","True","False"
"ItemRankData","True","True","True","False"
"ItemRankEffectData","True","True","True","False"
"QuestItemData","True","True","True","False"
"DEvolutionAdvice","True","True","True","False"
