"Entry","Function","Refs","Sample"
"00f808f0","FUN_00f808f0","1","Enchant_Room.mp3"
"00f81940","FUN_00f81940","16","EnchantTactics\card_base.tga; EnchantTactics\card_base.tga; EnchantTactics\card_base2.tga; EnchantTactics\card_base2.tga; EnchantTactics\NO.tga"
"01087760","FUN_01087760","1","Enchant_Room.mp3"
"010ed3b0","FUN_010ed3b0","1","Enchant_Room.mp3"
"01119160","FUN_01119160","4","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_SYSTEM; DIGIMONTRANSCENDHELP_EXPLAIN_TAB_TERMS; DIGIMONTRANSCENDHELP_EXPLAIN_TAB_PROGRESS; DIGIMONTRANSCENDHELP_EXPLAIN_TAB_CHARGE"
"01119590","FUN_01119590","4","DIGIMONTRANSCENDHELP_EXPLAIN_SYSTEM; DIGIMONTRANSCENDHELP_EXPLAIN_TERMS; DIGIMONTRANSCENDHELP_EXPLAIN_PROGRESS; DIGIMONTRANSCENDHELP_EXPLAIN_CHARGE"
"0111c800","FUN_0111c800","3","System\transcendental.wav; System\transcendental.wav; System\transcendental.wav"
"01147380","FUN_01147380","1","DigimonEnchantPage"
"01180930","FUN_01180930","1","TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT"
"011d4320","FUN_011d4320","8","ENCHANTTACTICS_TITLE_DIGIMON_ENCHANT; DigimonStatus_New\Digimon_Status_Enchant_01.tga; DigimonStatus_New\Digimon_Status_Enchant_01.tga; DetailInfo\Enchant_AT.tga; DetailInfo\Enchant_bl.tga"
"011dd050","FUN_011dd050","5","TOOLTIP_ENCHANT_EXPLAIN_TITLE_HP; TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT; TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR; TOOLTIP_ENCHANT_EXPLAIN_TITLE_BL; TOOLTIP_ENCHANT_EXPLAIN_TITLE_EV"
"011e3360","FUN_011e3360","1","DIGIMONTRANSCEND_TRANS_BTN_TEXT"
"011ee3c0","FUN_011ee3c0","1","Enchant_Room.mp3"
"011f0d50","FUN_011f0d50","2","ENCHANTTACTICS_BTN_ENCHANT; DIGIMONTRANSCEND_TRANS_BTN_TEXT"
"011f6890","FUN_011f6890","1","ENCHANTTACTICS_BTN_RESET"
"01283910","FUN_01283910","2","EnchantTactics; EnchantTactics"
"0128bfa0","FUN_0128bfa0","1","DigimonTranscendenceHelp"
"0128c5d0","FUN_0128c5d0","1","EnchantOption"
"0128c7f0","FUN_0128c7f0","1","EnchantOptionResultUI"
"0128c990","FUN_0128c990","1","DigiPowerEnchant"
"012ce6a0","FUN_012ce6a0","3","ENCHANTTACTICS_BTN_RESET_ITEM; ENCHANTTACTICS_BTN_DIGICLONE; ENCHANTTACTICS_BTN_BACKUP_DISK"
"012ce800","FUN_012ce800","1","ENCHANTTACTICS_CANNOT_ENCHANT"
"012cfc40","FUN_012cfc40","1","ENCHANTTACTICS_ENCHANT_LEVEL"
"013121c0","FUN_013121c0","1","Enchant_Room.mp3"
"014484b0","FUN_014484b0","2","system\LevelEffect\Enchant_K60.nif; system\LevelEffect\Enchant_K45.nif"
"0161e970","FUN_0161e970","6","EnchantItemInfo.bin; EnchantStatInfo.bin; TranscendNeed.bin; TranscendMaterial.bin; TranscendCorrect.bin"
