"Entry","Function","DataAddress","Value","RefType"
"00f808f0","FUN_00f808f0","01ac8de8","Enchant_Room.mp3","DATA"
"00f81940","FUN_00f81940","01ac8ed4","EnchantTactics\card_base.tga","DATA"
"00f81940","FUN_00f81940","01ac8ed4","EnchantTactics\card_base.tga","DATA"
"00f81940","FUN_00f81940","01ac8ef4","EnchantTactics\card_base2.tga","DATA"
"00f81940","FUN_00f81940","01ac8ef4","EnchantTactics\card_base2.tga","DATA"
"00f81940","FUN_00f81940","01ac8f14","EnchantTactics\NO.tga","DATA"
"00f81940","FUN_00f81940","01ac8f14","EnchantTactics\NO.tga","DATA"
"00f81940","FUN_00f81940","01ac8f2c","EnchantTactics\CardSuccess\Succes_R_20.tga","DATA"
"00f81940","FUN_00f81940","01ac8f2c","EnchantTactics\CardSuccess\Succes_R_20.tga","DATA"
"00f81940","FUN_00f81940","01ac8f58","EnchantTactics\CardFail\Fail_R_20.tga","DATA"
"00f81940","FUN_00f81940","01ac8f58","EnchantTactics\CardFail\Fail_R_20.tga","DATA"
"00f81940","FUN_00f81940","01ac8f84","EnchantTactics\CardAni\Card_R_","DATA"
"00f81940","FUN_00f81940","01ac8fa4","EnchantTactics\SelectAni\Card_C_","DATA"
"00f81940","FUN_00f81940","01ac8fc8","EnchantTactics\CardSuccess\Succes_R_","DATA"
"00f81940","FUN_00f81940","01ac8ff0","EnchantTactics\CardFail\Fail_R_","DATA"
"00f81940","FUN_00f81940","01ac9010","EnchantTactics\SuccessAni\Succes_","DATA"
"00f81940","FUN_00f81940","01ac9034","EnchantTactics\FailAni\Fail_","DATA"
"01087760","FUN_01087760","01ac8de8","Enchant_Room.mp3","DATA"
"010ed3b0","FUN_010ed3b0","01ac8de8","Enchant_Room.mp3","DATA"
"01119160","FUN_01119160","01ad92f4","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_TERMS","DATA"
"01119160","FUN_01119160","01ad931c","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_SYSTEM","DATA"
"01119160","FUN_01119160","01ad9344","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_CHARGE","DATA"
"01119160","FUN_01119160","01ad936c","DIGIMONTRANSCENDHELP_EXPLAIN_TAB_PROGRESS","DATA"
"01119590","FUN_01119590","01ad9398","DIGIMONTRANSCENDHELP_EXPLAIN_TERMS","DATA"
"01119590","FUN_01119590","01ad93bc","DIGIMONTRANSCENDHELP_EXPLAIN_SYSTEM","DATA"
"01119590","FUN_01119590","01ad93e0","DIGIMONTRANSCENDHELP_EXPLAIN_CHARGE","DATA"
"01119590","FUN_01119590","01ad9404","DIGIMONTRANSCENDHELP_EXPLAIN_PROGRESS","DATA"
"0111c800","FUN_0111c800","01ad8f48","System\transcendental.wav","DATA"
"0111c800","FUN_0111c800","01ad8f48","System\transcendental.wav","DATA"
"0111c800","FUN_0111c800","01ad8f48","System\transcendental.wav","DATA"
"01147380","FUN_01147380","01adba18","DigimonEnchantPage","DATA"
"01180930","FUN_01180930","01ade08c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT","DATA"
"011d4320","FUN_011d4320","01ae2c18","ENCHANTTACTICS_TITLE_DIGIMON_ENCHANT","DATA"
"011d4320","FUN_011d4320","01ae2c80","DigimonStatus_New\Digimon_Status_Enchant_01.tga","DATA"
"011d4320","FUN_011d4320","01ae2c80","DigimonStatus_New\Digimon_Status_Enchant_01.tga","DATA"
"011d4320","FUN_011d4320","01ae2ce4","DetailInfo\Enchant_AT.tga","DATA"
"011d4320","FUN_011d4320","01ae2d20","DetailInfo\Enchant_ct.tga","DATA"
"011d4320","FUN_011d4320","01ae2d3c","DetailInfo\Enchant_bl.tga","DATA"
"011d4320","FUN_011d4320","01ae2d58","DetailInfo\Enchant_HP.tga","DATA"
"011d4320","FUN_011d4320","01ae2d74","DetailInfo\Enchant_ev.tga","DATA"
"011dd050","FUN_011dd050","01ade08c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT","DATA"
"011dd050","FUN_011dd050","01ae3488","TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR","DATA"
