action,buff_id,icon,type,life_type,time_type,class,skill_code,digimon_skill_code,delete_on_condition,effect_file,condition_level
skipped,40126,2041,2,1,4,426,7500011,0,0,Debuff_Fire,0
skipped,40127,2042,2,1,4,427,7500211,0,0,Debuff_Light,0
skipped,40128,2043,1,1,4,428,7500111,0,1,Buff_SkillPowerUp,0
skipped,40129,2043,1,1,4,429,7500311,0,1,Buff_SkillPowerUp,0
skipped,40138,2045,2,1,4,427,7572111,0,0,Debuff_metal,0
skipped,40139,2043,1,1,4,428,7572131,0,1,Buff_SkillPowerUp,0
skipped,40160,3051,1,1,4,441,0,8000311,0,,0
skipped,40161,3053,1,1,4,450,0,8000211,0,,0
skipped,40163,2042,2,1,4,463,7500411,0,0,Debuff_Light,0
skipped,40164,2043,1,1,4,464,7500421,0,1,Buff_SkillPowerUp,0
skipped,40165,2044,2,1,4,465,7500511,0,0,Debuff_Stun,0
skipped,40166,2046,1,1,4,466,7500711,0,1,Buff_Invincible,0
skipped,40167,2045,2,1,4,467,7500811,0,0,Debuff_Stone,0
skipped,40168,2051,1,1,4,468,7501011,0,1,Buff_Dodge,0
skipped,40169,2048,1,1,4,469,7501111,0,1,Buff_Shield,0
skipped,40170,2049,1,1,4,470,7501211,0,1,Buff_Critical,0
skipped,40171,2047,1,1,4,471,7501311,0,1,Buff_Reflect,0
skipped,40172,2044,2,1,4,472,7501411,0,0,Debuff_Stun,0
skipped,40211,3075,1,2,4,301,0,8000121,0,,0
skipped,40212,3075,1,2,4,301,0,8000131,0,,0
skipped,40213,3054,1,1,4,601,0,8000211,1,Buff06_Attack_Red,0
skipped,40214,3076,1,2,4,302,0,8000221,0,,0
skipped,40215,3076,1,2,4,302,0,8000231,0,,0
skipped,40216,3051,1,1,4,602,0,8000311,1,Buff06_Attack_Blue,0
skipped,40217,3077,1,2,4,303,0,8000321,0,,0
skipped,40218,3077,1,2,4,303,0,8000331,0,,0
skipped,40219,3055,1,1,4,603,0,8000411,1,Buff06_Attack_Red,0
skipped,40220,3078,1,2,4,304,0,8000421,0,,0
skipped,40221,3078,1,2,4,304,0,8000431,0,,0
skipped,40222,3037,1,1,4,604,0,8000511,1,Buff06_Attack_Red,0
skipped,40223,3079,1,2,4,305,0,8000521,0,,0
skipped,40224,3079,1,2,4,305,0,8000531,0,,0
skipped,40225,3056,1,1,4,605,0,8000611,1,Buff06_Attack_Green,0
skipped,40226,3081,1,2,4,306,0,8000621,0,,0
skipped,40227,3081,1,2,4,306,0,8000631,0,,0
skipped,40228,3057,1,1,4,606,0,8000711,1,Buff06_Attack_Red,0
skipped,40229,3082,1,2,4,307,0,8000721,0,,0
skipped,40230,3082,1,2,4,307,0,8000731,0,,0
skipped,40231,3041,1,1,4,607,0,8000811,1,Buff06_Attack_Green,0
skipped,40232,3083,1,2,4,308,0,8000821,0,,0
skipped,40233,3083,1,2,4,308,0,8000831,0,,0
skipped,40234,3058,1,1,4,608,0,8000911,1,Buff06_Attack_Green,0
skipped,40235,3084,1,2,4,309,0,8000921,0,,0
skipped,40236,3084,1,2,4,309,0,8000931,0,,0
skipped,40237,3074,1,1,4,609,0,8001011,1,Buff06_Attack_Blue,0
skipped,40238,3085,1,2,4,310,0,8001021,0,,0
skipped,40239,3085,1,2,4,310,0,8001031,0,,0
skipped,40258,3106,1,1,4,629,0,8001216,1,Buff06_Attack_Green,0
skipped,40259,3108,1,1,4,630,0,8001217,1,Buff06_Attack_Blue,0
skipped,40260,1003,1,2,4,311,0,8100000,0,,0
skipped,40261,1003,1,2,4,311,0,8100001,0,,0
skipped,40272,3096,1,1,4,620,0,8001211,1,Buff06_Attack_Red,0
skipped,40273,3097,1,1,4,621,0,8001212,1,Buff06_Attack_Green,0
skipped,40274,3096,1,1,4,620,0,8001411,1,Buff06_Attack_Red,0
skipped,40275,3094,1,2,4,312,0,8001421,0,,0
skipped,40276,3094,1,2,4,312,0,8001431,0,,0
skipped,40277,3097,1,1,4,621,0,8001511,1,Buff06_Attack_Green,0
skipped,40278,3095,1,2,4,313,0,8001521,0,,0
skipped,40279,3095,1,2,4,313,0,8001531,0,,0
skipped,40281,3099,1,1,4,626,0,8001611,1,Buff06_Attack_Red,0
skipped,40282,3098,1,2,4,314,0,8001621,0,,0
skipped,40283,3098,1,2,4,314,0,8001631,0,,0
skipped,40284,3102,1,1,4,627,0,8001711,1,Buff06_Attack_Green,0
skipped,40285,3101,1,2,4,315,0,8001721,0,,0
skipped,40286,3101,1,2,4,315,0,8001731,0,,0
skipped,40287,3104,1,1,4,628,0,8001811,1,Buff06_Attack_Red,0
skipped,40288,3103,1,2,4,316,0,8001821,0,,0
skipped,40289,3103,1,2,4,316,0,8001831,0,,0
skipped,40290,3099,1,1,4,626,0,8001214,1,Buff06_Attack_Red,0
skipped,40291,3102,1,1,4,627,0,8001215,1,Buff06_Attack_Blue,0
skipped,40292,3104,1,1,4,628,0,8001216,1,Buff06_Attack_Green,0
skipped,40293,3106,1,1,4,629,0,8001911,1,Buff06_Attack_Green,0
skipped,40294,3105,1,2,4,317,0,8001921,0,,0
skipped,40295,3105,1,2,4,317,0,8001931,0,,0
skipped,40296,3108,1,1,4,630,0,8002011,1,Buff06_Attack_Blue,0
skipped,40297,3107,1,2,4,318,0,8002021,0,,0
skipped,40298,3107,1,2,4,318,0,8002031,0,,0
skipped,40351,3096,1,1,4,620,0,8001219,1,Buff06_Attack_Red,0
skipped,40352,3097,1,1,4,621,0,8001220,1,Buff06_Attack_Green,0
skipped,40353,3057,1,1,4,606,0,8001221,1,Buff06_Attack_Red,0
skipped,40354,3099,1,1,4,626,0,8001222,1,Buff06_Attack_Red,0
skipped,40355,3102,1,1,4,627,0,8001223,1,Buff06_Attack_Blue,0
skipped,40356,3104,1,1,4,628,0,8001224,1,Buff06_Attack_Green,0
skipped,40357,3106,1,1,4,629,0,8001225,1,Buff06_Attack_Green,0
skipped,40358,3108,1,1,4,630,0,8001226,1,Buff06_Attack_Blue,0
skipped,40359,2063,1,2,4,301,0,8001230,0,,0
skipped,40360,2065,1,2,4,302,0,8001231,0,,0
skipped,40361,2064,1,2,4,303,0,8001232,0,,0
skipped,40362,3138,1,2,4,304,0,8001233,0,,0
skipped,40363,2078,1,2,4,305,0,8001234,0,,0
skipped,40364,2080,1,2,4,306,0,8001235,0,,0
skipped,40365,2079,1,2,4,307,0,8001236,0,,0
skipped,40366,3137,1,2,4,308,0,8001237,0,,0
skipped,40367,3140,1,1,4,875,0,8001238,1,Buff06_Attack_Red,0
skipped,40368,3140,1,1,4,875,0,8001239,1,Buff06_Attack_Green,0
skipped,40369,3140,1,1,4,875,0,8001240,1,Buff06_Attack_Red,0
skipped,40370,3139,1,1,4,875,0,8001241,1,Buff06_Attack_Red,0
skipped,40371,3139,1,1,4,875,0,8001242,1,Buff06_Attack_Red,0
skipped,40372,3139,1,1,4,875,0,8001243,1,Buff06_Attack_Red,0
skipped,40500,2052,1,1,1,500,9000001,0,1,Memory_Buff_Attack_Skill,0
skipped,40501,2052,1,1,1,500,9000002,0,1,Memory_Buff_Attack_Skill,0
skipped,40502,2052,1,1,1,500,9000003,0,1,Memory_Buff_Attack_Skill,0
skipped,40503,2053,1,1,1,501,9000004,0,1,Memory_Buff_Attack_Skill,0
skipped,40504,2053,1,1,1,501,9000005,0,1,Memory_Buff_Attack_Skill,0
skipped,40505,2053,1,1,1,501,9000006,0,1,Memory_Buff_Attack_Skill,0
skipped,40506,2054,1,1,1,502,9000007,0,1,Memory_Buff_Attack_Skill,0
skipped,40507,2054,1,1,1,502,9000008,0,1,Memory_Buff_Attack_Skill,0
skipped,40508,2054,1,1,1,502,9000009,0,1,Memory_Buff_Attack_Skill,0
skipped,40509,2055,1,1,1,503,9000010,0,1,Memory_Buff_Attack_Skill,0
skipped,40510,2055,1,1,1,503,9000011,0,1,Memory_Buff_Attack_Skill,0
skipped,40511,2055,1,1,1,503,9000012,0,1,Memory_Buff_Attack_Skill,0
skipped,40512,2056,1,1,1,504,9000013,0,1,Memory_Buff_Attack_Skill,0
skipped,40513,2056,1,1,1,504,9000014,0,1,Memory_Buff_Attack_Skill,0
skipped,40514,2056,1,1,1,504,9000015,0,1,Memory_Buff_Attack_Skill,0
skipped,40515,2057,1,1,1,505,9000016,0,1,Memory_Buff_Attack_Skill,0
skipped,40516,2057,1,1,1,505,9000017,0,1,Memory_Buff_Attack_Skill,0
skipped,40517,2057,1,1,1,505,9000018,0,1,Memory_Buff_Attack_Skill,0
skipped,40518,2058,1,1,1,506,9000019,0,1,Memory_Buff_Attack_Skill,0
skipped,40519,2058,1,1,1,506,9000020,0,1,Memory_Buff_Attack_Skill,0
skipped,40520,2058,1,1,1,506,9000021,0,1,Memory_Buff_Attack_Skill,0
skipped,40521,2059,1,1,1,507,9000022,0,1,Memory_Buff_Attack_Skill,0
skipped,40522,2059,1,1,1,507,9000023,0,1,Memory_Buff_Attack_Skill,0
skipped,40523,2059,1,1,1,507,9000024,0,1,Memory_Buff_Attack_Skill,0
skipped,40524,2060,1,1,1,508,9000025,0,1,Memory_Buff_Attack_Skill,0
skipped,40525,2060,1,1,1,508,9000026,0,1,Memory_Buff_Attack_Skill,0
skipped,40526,2060,1,1,1,508,9000027,0,1,Memory_Buff_Attack_Skill,0
skipped,40527,2061,1,1,1,509,9000028,0,1,Memory_Buff_Attack_Skill,0
skipped,40528,2061,1,1,1,509,9000029,0,1,Memory_Buff_Attack_Skill,0
skipped,40529,2061,1,1,1,509,9000030,0,1,Memory_Buff_Attack_Skill,0
skipped,40530,2062,1,1,1,510,9000031,0,1,Memory_Buff_Attack_Skill,0
skipped,40531,2062,1,1,1,510,9000032,0,1,Memory_Buff_Attack_Skill,0
skipped,40532,2062,1,1,1,510,9000033,0,1,Memory_Buff_Attack_Skill,0
skipped,40533,2063,1,1,1,511,9000034,0,1,Memory_Buff_Attack_Skill,0
skipped,40534,2063,1,1,1,511,9000035,0,1,Memory_Buff_Attack_Skill,0
skipped,40535,2063,1,1,1,511,9000036,0,1,Memory_Buff_Attack_Skill,0
skipped,40536,2064,1,1,1,512,9000037,0,1,Memory_Buff_Attack_Skill,0
skipped,40537,2064,1,1,1,512,9000038,0,1,Memory_Buff_Attack_Skill,0
skipped,40538,2064,1,1,1,512,9000039,0,1,Memory_Buff_Attack_Skill,0
skipped,40539,2065,1,1,1,513,9000040,0,1,Memory_Buff_Attack_Skill,0
skipped,40540,2065,1,1,1,513,9000041,0,1,Memory_Buff_Attack_Skill,0
skipped,40541,2065,1,1,1,513,9000042,0,1,Memory_Buff_Attack_Skill,0
skipped,40700,2067,1,1,1,514,9000301,0,1,Memory_Buff_Defense_Skill,0
skipped,40701,2067,1,1,1,514,9000302,0,1,Memory_Buff_Defense_Skill,0
skipped,40702,2067,1,1,1,514,9000303,0,1,Memory_Buff_Defense_Skill,0
skipped,40703,2068,1,1,1,515,9000304,0,1,Memory_Buff_Defense_Skill,0
skipped,40704,2068,1,1,1,515,9000305,0,1,Memory_Buff_Defense_Skill,0
skipped,40705,2068,1,1,1,515,9000306,0,1,Memory_Buff_Defense_Skill,0
skipped,40706,2069,1,1,1,516,9000307,0,1,Memory_Buff_Defense_Skill,0
skipped,40707,2069,1,1,1,516,9000308,0,1,Memory_Buff_Defense_Skill,0
skipped,40708,2069,1,1,1,516,9000309,0,1,Memory_Buff_Defense_Skill,0
skipped,40709,2070,1,1,1,517,9000310,0,1,Memory_Buff_Defense_Skill,0
skipped,40710,2070,1,1,1,517,9000311,0,1,Memory_Buff_Defense_Skill,0
skipped,40711,2070,1,1,1,517,9000312,0,1,Memory_Buff_Defense_Skill,0
skipped,40712,2071,1,1,1,518,9000313,0,1,Memory_Buff_Defense_Skill,0
skipped,40713,2071,1,1,1,518,9000314,0,1,Memory_Buff_Defense_Skill,0
skipped,40714,2071,1,1,1,518,9000315,0,1,Memory_Buff_Defense_Skill,0
skipped,40715,2072,1,1,1,519,9000316,0,1,Memory_Buff_Defense_Skill,0
skipped,40716,2072,1,1,1,519,9000317,0,1,Memory_Buff_Defense_Skill,0
skipped,40717,2072,1,1,1,519,9000318,0,1,Memory_Buff_Defense_Skill,0
skipped,40718,2073,1,1,1,520,9000319,0,1,Memory_Buff_Defense_Skill,0
skipped,40719,2073,1,1,1,520,9000320,0,1,Memory_Buff_Defense_Skill,0
skipped,40720,2073,1,1,1,520,9000321,0,1,Memory_Buff_Defense_Skill,0
skipped,40721,2074,1,1,1,521,9000322,0,1,Memory_Buff_Defense_Skill,0
skipped,40722,2074,1,1,1,521,9000323,0,1,Memory_Buff_Defense_Skill,0
skipped,40723,2074,1,1,1,521,9000324,0,1,Memory_Buff_Defense_Skill,0
skipped,40724,2075,1,1,1,522,9000325,0,1,Memory_Buff_Defense_Skill,0
