id,path,seq_count,scale,height,width,event_total,shader_total
10001,Data\Digimon\Vamdemon_Move\0010001_vamdemon.kfm,0,1.0,1.0,1.0,0,0
12133,Data\Digimon\tsunomon_Boss\0012133_tsunomon_Boss.kfm,9,5.013999938964844,0.6100000143051147,0.38999998569488525,12,0
12134,Data\Digimon\petitmeramon_Boss\0012134_petitmeramon_Boss.kfm,9,4.02400016784668,0.4399999976158142,0.3100000023841858,5,0
12135,Data\Digimon\upamon_Boss\0012135_upamon_Boss.kfm,8,4.081999778747559,0.3799999952316284,0.5400000214576721,9,0
12136,Data\Digimon\Koromon_Boss\0012136_Koromon_Boss.kfm,6,4.156000137329102,0.3499999940395355,0.3199999928474426,9,0
12137,Data\Digimon\Tanemon_Boss\0012137_Tanemon_Boss.kfm,10,3.0940001010894775,0.5899999737739563,0.550000011920929,5,0
13005,Data\Digimon\girumon_Boss\0013005_girumon_Boss.kfm,11,2.0,1.25,0.3100000023841858,25,0
13006,Data\Digimon\renamon_Boss\0013006_Renamon_Boss.kfm,10,1.0,2.2200000286102295,0.3700000047683716,1,0
13008,Data\Digimon\Vmon_boss\0013008_V-mon_Boss.kfm,10,1.0,1.309999942779541,0.5199999809265137,1,0
13018,Data\Digimon\Gotsmon_Boss\0013018_Boss_Gotsumon.kfm,3,1.968000054359436,1.350000023841858,0.4399999976158142,19,0
13067,Data\Digimon\pico_Boss\0013067_pico_Boss.kfm,7,1.5,2.1700000762939453,0.47999998927116394,11,0
13121,Data\Digimon\bearmon_Boss\0013121_Boss_Bearmon.kfm,6,1.8739999532699585,1.6699999570846558,0.7200000286102295,26,0
14026,Data\Digimon\Goremon_Boss\0014026_Golemon_Boss.kfm,4,3.0,2.890000104904175,1.2699999809265137,0,0
14031,Data\Digimon\icedevilmon_Boss\0014031_Icedevimon.kfm,11,1.5,1.649999976158142,0.6399999856948853,10,0
15034,Data\Digimon\Cerberumon_Boss\0015034_Cerberumon_Boss.kfm,14,4.728000164031982,1.309999942779541,0.9399999976158142,19,0
15043,Data\Digimon\Jyureimon_Boss\0015043_Jyureimon_Boss.kfm,5,6.297999858856201,2.009999990463257,0.9200000166893005,0,0
15124,Data\Digimon\Warumon_Boss\0015124_Warumon_Boss.kfm,6,3.3459999561309814,2.3299999237060547,0.8500000238418579,0,0
16041,Data\Digimon\saberleomon_Boss\0016041_saberleomon.kfm,14,5.0,2.25,1.0700000524520874,12,0
16042,Data\Digimon\Darktower\0016042_Darktower.kfm,15,1.0,38.0,7.0,22,0
16043,Data\Digimon\Bamboogreen\0016043_Bamboogreen.kfm,17,1.0,1.149999976158142,0.4000000059604645,3,0
16051,Data\Digimon\RedMonument_RaidBoss\0016051_RedMonument_RaidBoss.kfm,17,1.0,11.5,3.200000047683716,10,0
16052,Data\Digimon\8th_Cake\0016052_8th_Cake.kfm,30,1.0,4.849999904632568,2.5,3,0
16053,Data\Digimon\tornado\0016053_tornado.kfm,17,1.0,1.0,1.0,6,0
16054,Data\Digimon\X_DataCore\0016054_X_DataCore.kfm,14,1.0,9.100000381469727,1.0,13,0
16055,Data\Digimon\X_DungeonGate\0016055_X_Dungeon_gate.kfm,20,1.0,16.799999237060547,1.2300000190734863,4,0
16056,Data\Digimon\Deathx_Egg\0016056_Deathx_Egg.kfm,14,1.0,1.3899999856948853,1.0,4,0
16057,Data\Digimon\Yggdrasil\0016057_Yggdrasil.kfm,0,1.0,1.0,1.0,0,0
