ModelId,Path,SequenceCount,EventCount,ShaderCount
17003,Data\Npc\Tropical_Plant_01\0017003_Tropical_Plant01.kfm,0,0,0
17004,Data\Npc\Tropical_Plant_02\0017004_Tropical_Plant02.kfm,0,0,0
17005,Data\Npc\Tropical_Plant_03\0017005_Tropical_Plant03.kfm,0,0,0
25006,Data\Digimon\Gesomon_RaidBoss\0025006_Gesomon.kfm,14,46,0
25007,Data\Digimon\Shellmon_RaidBoss\0025007_Shellmon.kfm,11,37,0
25008,Data\Digimon\Megaseadramon_RaidBoss_Re_Re\0025008_MegaSeadramon.kfm,9,42,0
25009,Data\Digimon\Shellmon_RaidBoss2\0025009_Shellmon.kfm,10,40,0
25010,Data\Digimon\Anomalocarimon_RaidBoss\0025010_Anomalocarimon.kfm,9,36,0
25011,Data\Digimon\MetalSeadramon_RaidBoss\0025011_Metal Seadramon.kfm,9,48,0
25012,Data\Digimon\Gerbemon_RaidBoss\0025012_Gerbemon.kfm,7,27,0
25013,Data\Digimon\Jyureimon_RaidBoss\0025013_Jureimon.kfm,0,0,0
25014,Data\Digimon\Metalgarumon_RaidBoss\0025014_Metalgarumon.kfm,8,35,0
25015,Data\Digimon\Metaletemon_RaidBoss\0025015_MetalEtemon.kfm,8,48,0
25016,Data\Digimon\Pinochimon_RaidBoss\0025016_Pinochimon.kfm,11,32,0
25017,Data\Digimon\PinochimonHouse_RaidBoss\0025017_PinochimonHouse.kfm,6,29,0
25018,Data\Digimon\MegaDramon_RaidBoss\0025018_MegaDramon_RaidBoss.kfm,11,42,0
25019,Data\Digimon\Gigadramon_RaidBoss\0025019_Gigadramon_RaidBoss.kfm,15,53,0
25020,Data\Digimon\Warumonzaemon_RaidBoss\0025020_Warumonzaemon_RaidBoss.kfm,10,24,0
25021,Data\Digimon\Mugendramon_RaidBoss\0025021_Mugendramon_Raidboss.kfm,15,43,0
25022,Data\Digimon\LadyDevimon_RaidBoss\0025022_LadyDevimon_RaidBoss.kfm,11,37,0
25023,Data\Digimon\Evilmon_RaidBoss\0025023_Evilmon_RaidBoss.kfm,9,21,0
25024,Data\Digimon\Piemon_RaidBoss\0025024_Piemon_Raidboss.kfm,12,60,0
25025,Data\Digimon\Apocalymon_RaidBoss\0025025_ApocalymonRaild.kfm,11,43,0
25501,Data\Digimon\Vajiramon_RaidBoss\0025501_Vajiramon.kfm,16,50,0
25504,Data\Digimon\Vikaralamon_RaidBoss\0025504_vikaralamon.kfm,16,38,0
25505,Data\Digimon\Orochimon_RaidBoss\0025505_Orochimon.kfm,13,27,0
25506,Data\Digimon\Beelzebumon_RaidBoss\0025506_Beelzebumon.kfm,20,63,0
25507,Data\Digimon\Megidramon_RaidBoss\0025507_Megidramon.kfm,14,17,0
25509,Data\Digimon\D-ReaperADR02\0025509_DReaperAD02.kfm,11,20,0
25510,Data\Digimon\D-Reaper ADR 03\0025510_D-REAPER_ADR-03.kfm,12,61,0
25511,Data\Digimon\D-ReaperADR-04\0025511_D-ReaperADR-04.kfm,11,72,0
25512,Data\Digimon\D-Reaper05\0025512_D-Reaper_ADR-05.kfm,13,16,0
25513,Data\Digimon\D-ReaperADR06\0025513D_Reaper_ADR06.kfm,17,63,0
25514,Data\Digimon\D-ReaperADR-07\0025514_D-Reaper-ADR-07.kfm,10,53,0
25515,Data\Digimon\D-ReaperADR-08\0025515_D-ReaperADR-08.kfm,14,91,0
25516,Data\Digimon\D-Reaper_ADR-01_Model02\0025516_D_Reaper_ADR-01_Model02.kfm,10,106,0
25517,Data\Digimon\D-Reaper_ADR-01_Model01\0025517_D_Reaper_ADR-01.kfm,0,0,0
25518,Data\Digimon\Reaper\0025518_Reaper.kfm,9,73,0
25519,Data\Digimon\Mother_D_Reaper\0025519_Mother_D_Reaper.kfm,7,14,0
25520,Data\Digimon\Grusgammamon_Raidboss\0025520_Grusgammamon.kfm,11,62,0
25521,Data\Digimon\Susanoomon_RaidBoss\0025521_Susanoomon_RaidBoss.kfm,10,31,0
25522,Data\Digimon\Metal Greymon_Black_RaidBoss\0025522_Metal Greymon_Black.kfm,14,79,0
25523,Data\Digimon\Chimairamon_RaidBoss\0025523_Chimairamon_RaidBoss.kfm,10,82,0
25524,Data\Digimon\Armagemon_RaidBoss\0025524_Armagemon_RaidBoss.kfm,16,121,0
25525,Data\Digimon\Diablomon_RaidBoss\0025525_Diablomon.kfm,6,40,0
25526,Data\Digimon\Eosmon_LV6_RaidBoss\0025526_Eosmon_LV6_RaidBoss.kfm,23,103,0
25527,Data\Digimon\BelialVamdemon_RaidBoss\0025527 _Belialvamdemon.kfm,14,100,0
25528,Data\Digimon\ZeedMillenniumon_RaidBoss\0025528_Zeed_Millenniumon.kfm,12,210,0
33005,Data\Digimon\Sparrowmon\0033005_Sparrowmon.kfm,10,19,0
33085,Data\Digimon\Floramon_Re\0033085_Floramon_Re.kfm,13,24,0
33086,Data\Digimon\Gizamon\0033086_Gizamon.kfm,11,17,0
35148,Data\Digimon\Gammamon\0035148_Gammamon.kfm,6,15,0
35149,Data\Digimon\Jellymon\0035149_Jellymon.kfm,8,17,0
35150,Data\Digimon\Angoramon\0035150_Angoramon.kfm,6,15,0
35152,Data\Digimon\Ukkomon\0035152_Ukkomon.kfm,10,44,0
35153,Data\Digimon\Eosmon_LV4\0035153_EOSMON_LV4.kfm,11,39,0
35159,Data\Digimon\Negamon\0035159_Negamon.kfm,13,42,0
41178,Data\Digimon\Meicoomon\0041178_Meicoomon.kfm,14,28,0
43004,Data\Digimon\Mailbirdramon_P\0043004_Mailbirdramon.kfm,10,27,0
43005,Data\Digimon\GreymonC\0043005_GreymonC.kfm,14,21,0
45173,Data\Digimon\Baohackmon\0045173_Baohackmon.kfm,13,32,0
45174,Data\Digimon\Vegimon\0045174_Vegimon.kfm,20,35,0
45175,Data\Npc\Timemon\0045175_Timemon.kfm,0,0,0
45176,Data\Digimon\Shellmon\0045176_Shellmon.kfm,9,0,0
45177,Data\Digimon\Sunimon\45177_Sunimon.kfm,7,25,0
45178,Data\Digimon\Numemon\0045178_Numemon.kfm,8,21,0
45179,Data\Digimon\Tankmon\0045179_Tankmon.kfm,6,28,0
45180,Data\Digimon\Evilmon\0045180_Evilmon.kfm,5,23,0
45181,Data\Digimon\Betel_Gammamon\0045181_BetelGammamon.kfm,8,15,0
45182,Data\Digimon\Teslajellymon\0045182_Teslajellymon.kfm,10,26,0
45183,Data\Digimon\Symbareangoramon\0045183_Symbareangoramon.kfm,11,50,0
45184,Data\Digimon\WezenGammamon\0045184_WezenGammamon.kfm,6,23,0
45185,Data\Digimon\Kausgammamon\0045185_Kausgammamon.kfm,4,13,0
45186,Data\Digimon\Grusgammamon\0045186_Grusgammamon.kfm,7,39,0
45188,Data\Digimon\DeadlyAxeman\0045188_DeadlyAxeman.kfm,10,14,0
45189,Data\Digimon\SkullKnightmon\0045189_SkullKnightmon.kfm,4,34,0
45191,Data\Digimon\BlackTailmonUver\0045191_BlackTailmonUver.kfm,10,28,0
45192,Data\Digimon\Golemon_playable\0045192_Golemon.kfm,7,25,0
51157,Data\Digimon\SaviorHuckmon\0051157_SaviorHuckmon.kfm,13,41,0
51158,Data\Digimon\Meicrackmon_Vicious\0051158_Meicrackmon_Vicious.kfm,13,22,0
51160,Data\Digimon\Anomalocarimon\0051160_Anomalocarimon.kfm,9,22,0
51162,Data\Digimon\Gerbemon\0051162_Gerbemon.kfm,13,24,0
51163,Data\Digimon\Gigadramon\0051163_Gigadramon.kfm,11,48,0
53006,Data\Digimon\Jyagamon\0053006_jyagamon.kfm,4,6,0
53007,Data\Digimon\Makuramon\0053007_Makuramon.kfm,16,12,0
53008,Data\Digimon\Caturamon\0053008_Caturamon.kfm,10,10,0
53009,Data\Digimon\Canoweissmon\0053009_Canoweissmon.kfm,7,12,0
53010,Data\Digimon\Thetismon\0053010_Thetismon.kfm,11,19,0
53011,Data\Digimon\Lamortmon\0053011_Lamortmon.kfm,8,20,0
53013,Data\Digimon\Baalmon\0053013_Baalmon.kfm,4,20,0
53014,Data\Digimon\Gogmamon\0053014_Gogmamon.kfm,11,12,0
53015,Data\Digimon\Eosmon_LV5\0053015_Eosmon_LV5.kfm,7,38,0
53017,Data\Digimon\Negamon_EvolvedForm\0053017_Negamon_EvolvedForm.kfm,8,57,0
61156,Data\Digimon\Lotusmon\0061156_Lotusmon.kfm,14,27,0
61157,Data\Digimon\Rosemon_New\0061157_Rosemon.kfm,11,34,0
63012,Data\Digimon\Ogudomon_Weaked\0063012_Ogudomon_Weaked.kfm,17,48,0
63014,Data\Digimon\Sparrowmon_Ultimate\0063014_Sparrowmon_Ultimate.kfm,7,20,0
63017,Data\Digimon\Omegashoutmon\0063017_Omegashoutmon.kfm,12,38,0
63018,Data\Digimon\Slashangemon\0063018_Slashangemon.kfm,6,24,0
63019,Data\Digimon\Mervamon\0063019_Mervamon.kfm,10,16,0
63020,Data\Digimon\Bagramon\0063020_Bagramon.kfm,14,28,0
63021,Data\Digimon\Siriusmon\0063021_Siriusmon.kfm,13,33,0
63022,Data\Digimon\Blastmon\0063022_Blastmon.kfm,15,15,0
63023,Data\Digimon\Beelzubumon_Xwars\0063023_Beelzebumon_Xwars.kfm,13,25,0
63026,Data\Digimon\Neovamdemon\0063026_Neovamdemon.kfm,14,33,0
63027,Data\Digimon\Amphimon\0063027_Amphimon.kfm,15,39,0
63028,Data\Digimon\Diarbbitmon\0063028_Diarbbitmon.kfm,12,68,0
67001,Data\Digimon\Dukemon_Re\0067001_Dukemon_Re.kfm,10,67,0
67002,Data\Digimon\Saintgalgomon_Re\0067002_Saintgalgomon_RE.kfm,13,36,0
67003,Data\Digimon\Sakuyamon_Re\0067003_Sakuyamon_Re.kfm,12,48,0
67004,Data\Digimon\Beelzebumon_RE\0067004_Beelzebumon.kfm,13,44,0
67005,Data\Digimon\Dukemon_CrimsonMode_Re\0067005_Dukemon_CrimsonMode_Re.kfm,14,100,0
67011,Data\Digimon\Wargraymon_Re\0067011_Wargraymon.kfm,14,21,0
67012,Data\Digimon\Metalgarurumon\0067012_Metalgarurumon.kfm,15,65,0
68001,Data\Digimon\Dukemon_Re_Grani\68001_Dukemon_Re_Grani.kfm,2,2,0
69001,Data\Digimon\Dukemon_Minor\0069001_Dukemon_Minor.kfm,6,27,0
69002,Data\Digimon\Saintgalgomon_Old\0069002_SaintGalgomon.kfm,11,38,0
69003,Data\Digimon\Sakuyamon_Minor\0069003_Sakuyamon_Minor.kfm,10,32,0
69004,Data\Digimon\Beelzebumon_Old\0069004_Beelzebumon.kfm,11,18,0
69005,Data\Digimon\Dukemon_CrimsonMode_Minor\0069005_Dukemon_CrimsonMode_Minor.kfm,7,29,0
69006,Data\Digimon\Imperialdramon_FighterMode_Minor\0069006_Imperialdramon_FighterMode_Minor.kfm,7,31,0
69007,Data\Digimon\Ordinemon_Minor\0069007_Ordinemon_Minor.kfm,12,53,0
69008,Data\Digimon\Imperialdramon_PaladinMode_Minor\0069008_Imperialdramon_PaladinMode_Minor.kfm,13,54,0
69009,Data\Digimon\Abbadomon\0069009_Abbadomon.kfm,17,150,0
69011,Data\Digimon\Wargreymon_Old\0069011_Wargreymon.kfm,0,0,0
69012,Data\Digimon\Metalgarurumon_Old\0069012_Metalgarurumon_Old.kfm,0,0,0
71044,Data\Digimon\Jesmon\0071044_Jesmon.kfm,17,52,0
71045,Data\Digimon\Ofanimon_Falldown\0071045_Ofanimon_Falldown.kfm,21,28,0
71047,Data\Digimon\Raguelmon\0071047_Raguelmon.kfm,16,31,0
71048,Data\Digimon\Plesiomon\0071048_Plesiomon.kfm,14,29,0
71049,Data\Digimon\Aegisdramon\0071049_Aegisdramon.kfm,9,43,0
71050,Data\Digimon\Agumon_Yuki_No_Kizuna\0071050_Agumon_Yuki_No_Kizuna.kfm,9,55,0
71051,Data\Digimon\Gabumon_yujo no kizuna\0071051_Gabumon_Yujonokizuna.kfm,13,52,0
71112,Data\Digimon\Boltboutamon\0071112_Boltboutamon.kfm,13,45,0
71113,Data\Digimon\Ogudomon\0071113_Ogudomon.kfm,17,48,0
71114,Data\Digimon\Chaosmon\0071114_Chaosmon.kfm,15,27,0
71115,Data\Digimon\Rafflesimon\0071115_Rafflesimon.kfm,16,38,0
71116,Data\Digimon\Huanglongmon_Re\0071116_Huanglongmon_Re.kfm,16,31,0
71117,Data\Digimon\ShoutmonX4\0071117_ShoutmonX4.kfm,15,26,0
71118,Data\Digimon\ShoutmonX5\0071118_ShoutmonX5.kfm,12,29,0
71119,Data\Digimon\Ordinemon\0071119_Ordinemon.kfm,18,51,0
71120,Data\Digimon\Rusttyranomon\0071120_Rusttyranomon.kfm,15,47,0
71121,Data\Digimon\Susanoomon\0071121_Susanoomon.kfm,13,45,0
71122,Data\Digimon\MetalgreymonC\0071122_MetalgreymonC.kfm,8,23,0
71123,Data\Digimon\Zekegreymon\0071123_Zekegreymon.kfm,15,27,0
71124,Data\Digimon\ShoutmonDX\0071124_ShoutmonDX.kfm,12,31,0
71125,Data\Digimon\ShoutmonX7\0071125_ShoutmonX7.kfm,15,45,0
71126,Data\Digimon\Omegamon_Mercifulmode\0071126_Omegamon_Mercifulmode.kfm,18,73,0
71128,Data\Digimon\Jetmervamon\0071128_Jetmervamon.kfm,9,40,0
71129,Data\Digimon\XrosUpMervamon\0071129_XrosUpMervamon.kfm,10,70,0
71130,Data\Digimon\Lucemon_Satanmode_Bustmode\0071130_Lucemon_Satanmode_re.kfm,19,72,0
71131,Data\Digimon\Darknightmon\0071131_DarkKnightmon.kfm,12,37,0
71132,Data\Digimon\Darkness_Bagramon\0071132_Dakness_Bagramon.kfm,9,47,0
71133,Data\Digimon\Kuzuhamon_Mikomode\0071133_Kuzuhamon-Mikomode.kfm,0,0,0
72001,Data\Digimon\Kuzuhamon_Mikomode\0072001_Kuzuhamon-Mikomode.kfm,20,48,0
72002,Data\Digimon\Bloomlordmon\0072002_Bloomlordmon.kfm,16,95,0
75109,Data\Digimon\PalmonX\0075109_PalmonX.kfm,9,25,0
75110,Data\Digimon\KokuwamonX\0075110_KokuwamonX.kfm,16,26,0
75309,Data\Digimon\TogemonX\0075309_TogemonX.kfm,9,33,0
75509,Data\Digimon\LilimonX\0075509_LilimonX.kfm,7,28,0
75510,Data\Digimon\MamemonX\0075510_MamemonX.kfm,0,0,0
75714,Data\Digimon\SleipmonX\0075714_SleipmonX.kfm,14,31,0
75715,Data\Digimon\BeelzebumonX\0075715_BeelzebumonX.kfm,18,29,0
75716,Data\Digimon\RosemonX\0075716_RosemonX.kfm,21,26,0
75717,Data\Digimon\Gaioumon\0075717_Gaioumon.kfm,14,30,0
75718,Data\Digimon\LordknightmonX\0075718_LordknightmonX.kfm,14,43,0
75719,Data\Digimon\MedievalDukemon\75719_MedievalDukemon.kfm,14,43,0
75720,Data\Digimon\Minervamon X\75720_Minervamon X.kfm,17,40,0
75721,Data\Digimon\Lilithmon_X\0075721_Lilithmon_X.kfm,18,36,0
75722,Data\Digimon\BarbamonX\0075722_BarbamonX.kfm,11,37,0
75904,Data\Digimon\JesmonX\0075904_JesmonX.kfm,15,31,0
75905,Data\Digimon\GrandisKuwagamonX\0075905_GrandisKuwagamonX.kfm,16,61,0
75906,Data\Digimon\MegidramonX\0075906_MegidramonX.kfm,21,27,0
75907,Data\Digimon\CraniummonX\0075907_CraniummonX.kfm,10,19,0
75908,Data\Digimon\AlphamonOuryuken_Re\0075908_AlphamonOuryken_Re.kfm,23,42,0
75909,Data\Digimon\ChaosdramonX\0075909_Chaosdramon X.kfm,16,53,0
75910,Data\Digimon\ExamonX\0075910_ExamonX.kfm,15,37,0
75911,Data\Digimon\Demon_X\0075911_Demon_X.kfm,21,65,0
75912,Data\Digimon\Gankoomon_X\0075912_Gankoomon_X.kfm,12,51,0
77001,Data\Digimon\Beelzebumon_BLAST MODE_Re\0077001_Beelzebumon_BLAST MODE.kfm,16,56,0
77002,Data\Digimon\Belphemon_ragemode_Re\0077002_Belphemon_ragemode_Re.kfm,16,24,0
77003,Data\Digimon\Imperialdramon_FighterMode_Re\0077003_Imperialdramon_FighterMode_Re.kfm,15,76,0
77004,Data\Digimon\Imperialdramon_PaladinMode_Re\0077004_Imperialdramon_PaladinMode_Re.kfm,15,62,0
77005,Data\Digimon\ZeedMillenniummon_Re\0077005_ZeedMillenniummon.kfm,15,128,0
77006,Data\Digimon\Alphamon_Awake\0077006_Alphamon_Awake.kfm,18,108,0
77007,Data\Digimon\Lucemon_Satanmode_Awake\0077007_Lucemon_Satanmode.kfm,12,94,0
77008,Data\Digimon\Susanoomon_Re\0077008_Susanoomon_Re.kfm,14,80,0
77009,Data\Digimon\Omegamon_X_Extreme\0077009_Omegamon_X_Extreme.kfm,12,98,0
77010,Data\Digimon\Goddramon\0077010_Goddramon.kfm,25,103,0
77011,Data\Digimon\Holydramon_Re\0077011_Holydramon_Re.kfm,13,111,0
77017,Data\Digimon\Last_Evolusion_Kizuna\0077017_Last_Evolusion_Kizuna.kfm,17,141,0
77020,Data\Digimon\LilithmonX_Re\0077020_LilithmonX_re.kfm,19,110,0
77021,Data\Digimon\Donedevimon\0077021_donedevimon.kfm,14,87,0
77022,Data\Digimon\Abbadomon_Core\0077022_Abbadomon_Core.kfm,20,90,0
79001,Data\Digimon\Beelzebumon_BLAST MODE_Old\0079001_Beelzebumon_Blast_Mode.kfm,13,29,0
79002,Data\Digimon\Belphemon_ragemode_Old\0079002_Belphemon_ragemode_Old.kfm,10,17,0
79003,Data\Digimon\Eosmon_LV6\0079003_Eosmon_LV6.kfm,15,45,0
79004,Data\Digimon\Shoutmon_X7_Superior_Mode\0079004_Shoutmon_X7_Superior_Mode.kfm,24,110,0
79007,Data\Digimon\Ordinemon_Re\0079007_Ordinemon_Re.kfm,20,65,0
79999,Data\Digimon\Tool_Test_Digimon\0079999_Tool_Test_Digimon.kfm,0,0,0
80011,Data\Tamer\Takato\0080011_Takato.kfm,11,11,0
80012,Data\Tamer\Ruki\0080012_Ruki.kfm,15,11,0
80016,Data\Tamer\KatoJury\0080016_KatoJuri.kfm,30,13,0
80017,Data\Tamer\AkiyamaRyo\0080017_AkiyamaRyo.kfm,23,13,0
80018,Data\Tamer\Hiro\0080018_AmanokawaHiro.kfm,19,13,0
80019,Data\Tamer\Ruli\0080019_Tsukiyono_Ruli.kfm,15,13,0
80020,Data\Tamer\HigashimitaraiKiyoshiro\0080020_HigashimitaraiKiyoshiro.kfm,11,11,0
80021,Data\Tamer\DigimonEmperor\0080021_DigimonEmperor.kfm,13,10,0
90045,Data\Npc\DukemonX_Tired\0090045_DukemonX.kfm,0,0,0
90046,Data\Npc\Tyumon\0090046_Tyumon.kfm,0,0,0
90047,Data\Npc\Tyumon_Dead\0090047_Tyumon.kfm,0,0,0
90048,Data\Npc\Delumon\0090048_Delumon.kfm,0,0,0
90180,Data\Npc\Dimension Cracks\0090180_Dimension Cracks.kfm,0,0,0
90181,Data\Npc\Gaomon\0090181_Gaomon.kfm,0,0,0
90182,Data\Npc\Ophanimon_Tired\0090182_Ophanimon.kfm,0,0,0
90183,Data\Npc\Meicrackmon VICIOUS MODE\0090183_Meicrackmon_Vicious_mode.kfm,0,0,0
90184,Data\Npc\Raguelmon_Down\0090184_Raguelmon.kfm,0,0,0
92320,Data\Npc\Mitsuo_Yamaki\0092320_Mitsuo_Yamaki.kfm,0,0,0
92321,Data\Npc\SuzieWong\0092321_SuzieWong.kfm,0,0,0
92322,Data\Npc\ShiotaHirokazu\0092322_ShiotaHirokazu.kfm,0,0,0
92323,Data\Npc\KentaKitagawa\0092323_KentaKitagawa.kfm,0,0,0
92324,Data\Npc\JanyuWong\0092324_JanyuWong.kfm,0,0,0
92325,Data\Npc\Daisy\0092325_Daisy.kfm,0,0,0
92326,Data\Npc\Babel\0092326_Babel.kfm,0,0,0
92327,Data\Npc\GorouMizuno\0092327_GorouMizuno.kfm,0,0,0
92328,Data\Npc\AkiyamaRyo\0092328_AkiyamaRyo.kfm,0,0,0
92329,Data\Npc\KatouJuri\0092329_KatoJuri.kfm,0,0,0
92330,Data\Npc\Ark\0092330_Ark.kfm,0,0,0
92331,Data\Npc\Clock\0092331_Clock.kfm,0,0,0
92332,Data\Npc\Mizuno_Gorou\0092332_MizunoGorou.kfm,0,0,0
94006,Data\Npc\Digivice06\0094006_Digivice_06.kfm,0,0,0
94007,Data\Npc\Digivice07\0094007_Digivice_07.kfm,0,0,0
94008,Data\Npc\DIgivice08\0094008_Digivice_08.kfm,0,0,0
94009,Data\Npc\D-Ark(Jun)\0094009_D-Ark(Jun).kfm,0,0,0
94011,Data\Npc\Takato\0094011_Takato.kfm,2,0,0
94012,Data\Npc\Jyenrya\0094012_Jyenrya.kfm,0,0,0
94013,Data\Npc\Ruki\0094013_Ruki.kfm,0,0,0
94014,Data\Npc\D-Ark(Ryo)\0094014_D-Ark(Ryo).kfm,0,0,0
95003,Data\Npc\Incubator_Re\0095003_Incubator_Re.kfm,2,1,0
95004,Data\Npc\Digitama01\0095004_Digitama01.kfm,0,0,0
95005,Data\Npc\Digitama02\0095005_Digitama02.kfm,0,0,0
99008,Data\Npc\Hiro\0099008_AmanokawaHiro.kfm,0,0,0
99009,Data\Npc\Ruli\0099009_Tsukiyono_Ruli.kfm,0,0,0
99010,Data\Npc\Higashimitarai_Kiyoshiro\0099010_Higashimitarai_Kiyoshiro.kfm,0,0,0
99011,Data\Npc\MasterOfOz_npc\0099011_MasterOfOz.kfm,0,0,0
99012,Data\Npc\Staue_Floor_NPC\0099012_Staue_Floor.kfm,0,0,0
