"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\model.dat","0xE0F0F4E9","7592464","forced-update","18985033720","18985033988"
"data\9203.emr","0x74D23291","1002017","missing","18992626452","18992626720"
"data\captcha_font_english.cpf","0x03E9CFEB","9256","missing","18993628737","18993629005"
"data\captcha_font_number.cpf","0xB8E9124A","3399","missing","18993638261","18993638529"
"data\captcha_font_specialcharacter.cpf","0xC29B098F","6506","missing","18993641928","18993642196"
"data\dmg_skins\xmax\number.dds","0xF07C1C20","49280","missing","18993648702","18993648970"
"data\map\battle\map_data\3003\3003.emr","0x308DA920","285172","missing","18993698250","18993698518"
"data\map\battle\map_data\3003\3003.nif","0x308DCED9","58675","missing","18993983690","18993983958"
"data\map\battle\map_data\3003\3003.xml","0x308DF9ED","1118","missing","18994042633","18994042901"
"data\map\battle\map_data\3003\3003_am.cst","0xCF5171D3","67237","missing","18994044019","18994044287"
"data\map\battle\map_data\3003\3003_amsw.cst","0xEA98B31D","271303","missing","18994111524","18994111792"
"data\map\battle\map_data\3003\3003_bm.cst","0xCF638A54","13989","missing","18994383095","18994383363"
"data\map\battle\map_data\3003\3003_em.cst","0xCF99D3D7","67237","missing","18994397352","18994397620"
"data\map\battle\map_data\3003\3003_sm.cst","0xD0972AE5","13989","missing","18994464857","18994465125"
"data\map\battle\map_data\3003\3003_smorg.cst","0xD0A2DF4D","13989","missing","18994479114","18994479382"
"data\map\battle\map_data\3004\3004.cmi","0x1CD001D7","8016","missing","18994493371","18994493639"
"data\map\battle\map_data\3004\3004.emr","0x1CD00A62","641617","missing","18994501655","18994501923"
"data\map\battle\map_data\3004\3004.nif","0x1CD0301B","122780","missing","18995143540","18995143808"
"data\map\battle\map_data\3004\3004.xml","0x1CD05B2F","1082","missing","18995266588","18995266856"
"data\map\battle\map_data\3004\3004_am.cst","0xA1A863D5","72085","missing","18995267938","18995268206"
"data\map\battle\map_data\3004\3004_amsw.cst","0xAE742D9F","298340","missing","18995340291","18995340559"
"data\map\battle\map_data\3004\3004_bm.cst","0xA1BA7C56","18837","missing","18995638899","18995639167"
"data\map\battle\map_data\3004\3004_em.cst","0xA1F0C5D9","72085","missing","18995658004","18995658272"
"data\map\battle\map_data\3004\3004_sm.cst","0xA2EE1CE7","203157","missing","18995730357","18995730625"
"data\map\battle\map_data\3004\3004_smorg.cst","0x0FEDAA0F","203157","missing","18995933782","18995934050"
"data\map\battle\map_data\3005\3005.cmi","0x09126319","462224","missing","18996137207","18996137475"
"data\map\battle\map_data\3005\3005.emr","0x09126BA4","6224794","missing","18996599699","18996599967"
"data\map\battle\map_data\3005\3005.nif","0x0912915D","53321650","missing","19002824761","19002825029"
"data\map\battle\map_data\3005\3005.xml","0x0912BC71","472","missing","19056146679","19056146947"
"data\map\battle\map_data\3005\3005_am.cst","0x73FF55D7","1050277","missing","19056147419","19056147687"
"data\map\battle\map_data\3005\3005_bm.cst","0x74116E58","198309","missing","19057197964","19057198232"
"data\map\battle\map_data\3005\3005_em.cst","0x7447B7DB","1050277","missing","19057396541","19057396809"
"data\map\battle\map_data\3005\3005_sm.cst","0x75450EE9","3147429","missing","19058447086","19058447354"
"data\map\battle\map_data\3005\3005_smorg.cst","0x4F3874D1","3147429","missing","19061594783","19061595051"
"data\map\battle\map_data\colosseum\battle_zone_ground_01.dds","0x0C7BC86A","174904","missing","19064742480","19064742748"
"data\map\battle\map_data\colosseum\battle_zone_ground_02.dds","0x0C7C54CB","174904","missing","19064917652","19064917920"
"data\map\battle\map_data\colosseum\colosseum.emr","0x731B5048","751705","missing","19065092824","19065093092"
"data\map\battle\map_data\colosseum\colosseum.nif","0x731B7601","72293","missing","19065844797","19065845065"
"data\map\battle\map_data\colosseum\colosseum.xml","0x731BA115","1118","missing","19065917358","19065917626"
"data\map\battle\map_data\colosseum\colosseum_am.cst","0x7E67A7FB","1049065","missing","19065918744","19065919012"
"data\map\battle\map_data\colosseum\colosseum_amsw.cst","0xB8151345","1049340","missing","19066968077","19066968345"
"data\map\battle\map_data\colosseum\colosseum_bm.cst","0x7E79C07C","3561","missing","19068017685","19068017953"
"data\map\battle\map_data\colosseum\colosseum_em.cst","0x7EB009FF","1049065","missing","19068021514","19068021782"
"data\map\battle\map_data\colosseum\colosseum_sm.cst","0x7FAD610D","3146217","missing","19069070847","19069071115"
"data\map\battle\map_data\colosseum\colosseum_smorg.cst","0x4DAB4475","3146217","missing","19072217332","19072217600"
"data\map\battle\map_data\colosseum\ground_002.dds","0xBDAA1A25","43832","missing","19075363817","19075364085"
"data\map\battle\map_data\colosseum\ground_004.dds","0xBDAB32E7","43832","missing","19075407917","19075408185"
