"BuffId","Name","OldName"
"40138","Corrosion","Buff 40138"
"40139","Overflowing Power","Buff 40139"
"40258","Reinforced Naivety","Buff 40258"
"40259","Reinforced Suppression","Buff 40259"
"40281","Focus","Buff 40281"
"40282","Warm heart of Takato (Vi)","Buff 40282"
"40283","Warm heart of Takato (Va)","Buff 40283"
"40284","Aim","Buff 40284"
"40285","Rika's coolness (Da)","Buff 40285"
"40286","Rika's coolness (Vi)","Buff 40286"
"40287","Guard","Buff 40287"
"40288","Henry's sweetness (Va)","Buff 40288"
"40289","Henry's sweetness (Da)","Buff 40289"
"40290","Reinforced Focus","Buff 40290"
"40291","Reinforced Aim","Buff 40291"
"40292","Reinforced Guard","Buff 40292"
"40293","Naivety","Buff 40293"
"40294","Destiny of Jeri(Va)","Buff 40294"
"40295","Destiny of Jeri(Un)","Buff 40295"
"40296","Suppression","Buff 40296"
"40297","Versatility of Ryo(Va)","Buff 40297"
"40298","Versatility of Ryo(No)","Buff 40298"
"40351","Ultimate Analysis","Buff 40351"
"40352","Ultimate Evade","Buff 40352"
"40353","Ultimate Vigor","Buff 40353"
"40354","Ultimate Focus","Buff 40354"
"40355","Ultimate Aim","Buff 40355"
"40356","Ultimate Guard","Buff 40356"
"40357","Ultimate Naivety","Buff 40357"
"40358","Ultimate Suppression","Buff 40358"
"40359","Brave of Tamer(Va)","Buff 40359"
"40360","Brave of Tamer(Da)","Buff 40360"
"40361","Brave of Tamer(Vi)","Buff 40361"
"40362","Brave of Tamer(Un)","Buff 40362"
"40363","Bond with Tamer(Va)","Buff 40363"
"40364","Bond with Tamer(Da)","Buff 40364"
"40365","Bond with Tamer(Vi)","Buff 40365"
"40366","Bond with Tamer(Un)","Buff 40366"
"40367","Super Critical test","Buff 40367"
"40368","Super Hit test","Buff 40368"
"40369","Super Evasion test","Buff 40369"
"40370","Overdrive","Buff 40370"
"40371","Enhanced Overdrive","Buff 40371"
"40372","Mega Overdrive","Buff 40372"
"41542","Last Effort Lv.4","Buff 41542"
"41543","The Ruler of Fire Lv.4","Buff 41543"
"41544","The Ruler of Water Lv.4","Buff 41544"
"41545","The Ruler of Ice Lv.4","Buff 41545"
"41546","The Ruler of Light Lv.4","Buff 41546"
"41547","The Ruler of Darkness Lv.4","Buff 41547"
"41548","The Ruler of Thunder Lv.4","Buff 41548"
"41549","The Ruler of Iron Lv.4","Buff 41549"
"41550","The Ruler of Wind Lv.4","Buff 41550"
"41551","The Ruler of Wood Lv.4","Buff 41551"
"41552","The Ruler of Earth Lv.4","Buff 41552"
"41553","The Vaccine Master Lv.4","Buff 41553"
"41554","The Virus Master Lv.4","Buff 41554"
"41555","The Data Master Lv.4","Buff 41555"
"41745","Iron Will Lv.4","Buff 41745"
"41746","The Guardian of Fire Lv.4","Buff 41746"
"41747","The Guardian of Water Lv.4","Buff 41747"
"41748","The Guardian of Ice Lv.4","Buff 41748"
"41749","The Guardian of Light Lv.4","Buff 41749"
"41750","The Guardian of Darkness Lv.4","Buff 41750"
"41751","The Guardian of Thunder Lv.4","Buff 41751"
"41752","The Guardian of Iron Lv.4","Buff 41752"
"41753","The Guardian of Wind Lv.4","Buff 41753"
"41754","The Guardian of Wood Lv.4","Buff 41754"
"41755","The Guardian of Earth Lv.4","Buff 41755"
"41756","The Vaccine Defender Lv.4","Buff 41756"
"41757","The Virus Defender Lv.4","Buff 41757"
"41758","The Data Defender Lv.4","Buff 41758"
"41759","Provocation Lv.4","Buff 41759"
"41918","The Hand of Healing Lv.4","Buff 41918"
"41919","Regenerative Ability Lv.4","Buff 41919"
"41920","The Tree of Life Lv.4","Buff 41920"
"41921","Speeding Lv.4","Buff 41921"
"41922","Quick Movements Lv.4","Buff 41922"
"41923","Narrow Escape Lv.4","Buff 41923"
"64045","Freezing","Buff 64045"
"64048","Fascination","Buff 64048"
"64091","Fury","Buff 64091"
"64092","Stun","Buff 64092"
"64093","Flame","Buff 64093"
"64094","Lapidification","Buff 64094"
"64095","Upsurge of Rage","Buff 64095"
"64096","Upsurge of Rage","Buff 64096"
"64097","Demon God of Rage","Buff 64097"
"64100","Silent Immune","Buff 64100"
"64102","Fury","Buff 64102"
"64104","Encouragement","Buff 64104"
"64105","Hiro’s Solidity(Vi)","Buff 64105"
"64106","Hiro’s Solidity(Va)","Buff 64106"
"64111","Naivety","Buff 64111"
"64112","Ruli’s Affinity(Va)","Buff 64112"
"64113","Ruli’s Affinity(Da)","Buff 64113"
"64114","Vigor","Buff 64114"
"64115","Kiyoshiro’s Fluster(Da)","Buff 64115"
"64116","Kiyoshiro’s Fluster(Vi)","Buff 64116"
"64122","Flame","Buff 64122"
"64124","Speed Up","Buff 64124"
"64164","Fury","Buff 64164"
"64175","Agumon's Courage","Buff 64175"
"64177","Hell Fire","Buff 64177"
"64178","Lapidification","Buff 64178"
"64198","Mandara","Buff 64198"
"64225","Rage","Buff 64225"
"64241","Gabumon's Friendship","Buff 64241"
"64243","Power of Code Crown","Buff 64243"
"64244","Gold Digizoid","Buff 64244"
"64275","Purification","Buff 64275"
"64276","Will of the Gods","Buff 64276"
"64316","Love Poision","Buff 64316"
"64317","Charm","Buff 64317"
"64322","Energy Release","Buff 64322"
"64323","Digital Disintegration","Buff 64323"
"64421","Resolve","Buff 64421"
"64434","Children's wishes","Buff 64434"
"64435","Welcome to the Neverland","Buff 64435"
"64437","Creator of the Mirror World","Buff 64437"
"64440","Stun","Buff 64440"
"64441","Frostbite","Buff 64441"
