"FromEntry","CleanFunction","FromAddress","DataAddress","Symbol","Value","RefType"
"011a7b60","DigiSummonUiShared_011a7b60","011a7cfd","01ae104c","s_SealMaster\sealmaster_bg_01.tga_01ae104c","SealMaster\sealmaster_bg_01.tga","DATA"
"011a7b60","DigiSummonUiShared_011a7b60","011a7cc7","01ae106c","s_DigiCombine\DigiCombine_CardFron_01ae106c","DigiCombine\DigiCombine_CardFront.dds","DATA"
"011b4410","DigiSummonUiShared_011b4410","011b4482","01ae17b4","s_DIGISUMMON_COUNT_REMAINING_01ae17b4","DIGISUMMON_COUNT_REMAINING","DATA"
"011b4410","DigiSummonUiShared_011b4410","011b44b3","01ae17ec","u_#value#_01ae17ec","#value#","DATA"
"011b4710","DigiSummonUiShared_011b4710","011b4784","01ada978","s_Cash\NewCashShop\Store_btn_G1.tg_01ada978","Cash\NewCashShop\Store_btn_G1.tga","DATA"
"011b4710","DigiSummonUiShared_011b4710","011b4813","01ada9bc","s_RANDOM_BOX_TXT_EXIT_01ada9bc","RANDOM_BOX_TXT_EXIT","DATA"
"011b5000","DigiSummonUiShared_011b5000","011b51b8","01ae17d0","s_DIGISUMMON_TIME_REMAINING_01ae17d0","DIGISUMMON_TIME_REMAINING","DATA"
"011b54f0","DigiSummonUiShared_011b54f0","011b555f","01ae17b4","s_DIGISUMMON_COUNT_REMAINING_01ae17b4","DIGISUMMON_COUNT_REMAINING","DATA"
"011b54f0","DigiSummonUiShared_011b54f0","011b5598","01ae17ec","u_#value#_01ae17ec","#value#","DATA"
"011b6020","BuildDigitalDrawMainUi","011b607d","01adb0b4","s_Random_box\bg.png_01adb0b4","Random_box\bg.png","DATA"
"011b6e50","BuildDigitalDrawRateInfoWindow","011b6f7f","01ad3144","s_CommonUI\CommonUI_close.tga_01ad3144","CommonUI\CommonUI_close.tga","DATA"
"011b6e50","BuildDigitalDrawRateInfoWindow","011b6ed3","01adaa58","s_Random_box\popup\rate_popup\rate_01adaa58","Random_box\popup\rate_popup\rate_popup_","DATA"
"011b6e50","BuildDigitalDrawRateInfoWindow","011b6f07","01adaa9c","s_RANDOM_BOX_TXT_RATEINFO_01adaa9c","RANDOM_BOX_TXT_RATEINFO","DATA"
"011b71a0","BuildDigitalDrawRateInfoPopup","011b71f3","01adaa80","s_Random_box\button\Tap.tga_01adaa80","Random_box\button\Tap.tga","DATA"
"011b71a0","BuildDigitalDrawRateInfoPopup","011b7283","01ae19f8","s_DIGISUMMON_INFO_RANDOM_LIST_01ae19f8","DIGISUMMON_INFO_RANDOM_LIST","DATA"
"011b7390","BuildDigitalDrawRateInfoScrollList","011b7431","01adab04","s_Random_box\Rate_bg_5x5.png_01adab04","Random_box\Rate_bg_5x5.png","DATA"
"011b7530","BuildDigitalDrawRateInfoRewardRow","011b7689","01adaaec","s_Random_box\frame.png_01adaaec","Random_box\frame.png","DATA"
"011b7530","BuildDigitalDrawRateInfoRewardRow","011b7958","01adab20","u_%d.%02d_01adab20","%d.%02d","DATA"
"011b7530","BuildDigitalDrawRateInfoRewardRow","011b77dc","01ae1a14","s_CommonUI\digimon_rank_new.dds_01ae1a14","CommonUI\digimon_rank_new.dds","DATA"
"011b8650","BuildDigitalDrawResultActions","011b8a0a","01ad2bd4","s_NPC_TALK_DIGI_COMBINE_01ad2bd4","NPC_TALK_DIGI_COMBINE","DATA"
"011b8650","BuildDigitalDrawResultActions","011b8904","01ada978","s_Cash\NewCashShop\Store_btn_G1.tg_01ada978","Cash\NewCashShop\Store_btn_G1.tga","DATA"
"011b8650","BuildDigitalDrawResultActions","011b86f1","01adabc4","s_RANDOM_BOX_TXT_CONFIRM_01adabc4","RANDOM_BOX_TXT_CONFIRM","DATA"
"011b8650","BuildDigitalDrawResultActions","011b87ae","01adabf4","s_RANDOM_BOX_BUY_AGAIN_01adabf4","RANDOM_BOX_BUY_AGAIN","DATA"
"011b8650","BuildDigitalDrawResultActions","011b8765","01adac0c","s_Random_box\button\done.tga_01adac0c","Random_box\button\done.tga","DATA"
"011b8650","BuildDigitalDrawResultActions","011b8822","01adac48","s_Random_box\button\Repurchase.tga_01adac48","Random_box\button\Repurchase.tga","DATA"
