"RuntimePath","FirstFunction","FirstEntry","DataAddress","Source","PackHint"
"Cash\NewCashShop\Store_btn_G1.tga","BuildDigitalDrawBottomActions","011bc4e0","01ada978","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"CommonUI\CommonUI_close.tga","BuildDigitalDrawRateInfoWindow","011b6e50","01ad3144","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"CommonUI\digimon_rank_new.dds","BuildDigitalDrawRankIcons","011bd690","01ae1a14","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_CardBack.dds","DigiSummonUiShared_011ba450","011ba450","01ae1a84","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_CardFront.dds","DigiSummonUiShared_011ba9b0","011ba9b0","01ae106c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_A.dds","BuildDigitalDrawSceneUi","011b8e70","01ae1aac","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_Aplus.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1dc4","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_N.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1d48","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_S.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1d9c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_Splus.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1e18","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
