"Value","FirstFunction","FirstEntry","DataAddress","Source"
"#value#","BuildDigitalDrawTicketDescription","011bdc10","01ae17ec","decompiled function data xref"
"%d.%02d","BuildDigitalDrawRateInfoRewardRow","011b7530","01adab20","decompiled function data xref"
"DIGI_SUMMON_TXT_READY","UpdateDigitalDrawTicketReadyState","011bc7d0","01ae1fcc","decompiled function data xref"
"DIGISUMMON_BUY","UpdateDigitalDrawPurchaseState","011bcad0","01ae1fac","decompiled function data xref"
"DIGISUMMON_BUY_DESC","BuildDigitalDrawTicketDescription","011bdc10","01ae1ff8","decompiled function data xref"
"DIGISUMMON_CHECK_ALL","BuildDigitalDrawResultActions","011b8650","01ae1a44","decompiled function data xref"
"DIGISUMMON_COUNT_REMAINING","DigiSummonUiShared_011b54f0","011b54f0","01ae17b4","decompiled function data xref"
"DIGISUMMON_INFO_RANDOM_LIST","BuildDigitalDrawRateInfoPopup","011b71a0","01ae19f8","decompiled function data xref"
"DIGISUMMON_RANK","BuildDigitalDrawTicketCard","011bbb20","01ae1fbc","decompiled function data xref"
"DIGISUMMON_TIME_REMAINING","DigiSummonUiShared_011b5000","011b5000","01ae17d0","decompiled function data xref"
"DIGISUMMON_TITLE","BuildDigitalDrawTicketCarousel","011bb4b0","01ae1f98","decompiled function data xref"
"DigiSummonUI","CreateDigiSummonUiFactoryForDigitalDraw","0128f070","01aea0b4","decompiled function data xref"
"list too long","BuildDigitalDrawRankIcons","011bd690","01abdaa4","decompiled function data xref"
"NPC_TALK_DIGI_COMBINE","BuildDigitalDrawResultActions","011b8650","01ad2bd4","decompiled function data xref"
"Random_box\popup\rate_popup\rate_popup_","BuildDigitalDrawRateInfoWindow","011b6e50","01adaa58","decompiled function data xref"
"RANDOM_BOX_BUY_AGAIN","BuildDigitalDrawResultActions","011b8650","01adabf4","decompiled function data xref"
"RANDOM_BOX_DYNAMICEFFECT_SKIP","BuildDigitalDrawResultActions","011b8650","01adad88","decompiled function data xref"
"RANDOM_BOX_TXT_CONFIRM","BuildDigitalDrawResultActions","011b8650","01adabc4","decompiled function data xref"
"RANDOM_BOX_TXT_EXIT","DigiSummonUiShared_011b4710","011b4710","01ada9bc","decompiled function data xref"
"RANDOM_BOX_TXT_RATEINFO","BuildDigitalDrawBottomActions","011bc4e0","01adaa9c","decompiled function data xref"
