"Entry","CleanName","Family","Source","CopiedTo","Notes"
"011a7b60","DigiSummonUiShared_011a7b60","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011a7b60_FUN_011a7b60.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011a7b60.011a7b60.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b41c0","DigiSummonUiShared_011b41c0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b41c0_FUN_011b41c0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b41c0.011b41c0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b4410","DigiSummonUiShared_011b4410","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b4410_FUN_011b4410.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b4410.011b4410.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b4710","DigiSummonUiShared_011b4710","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b4710_FUN_011b4710.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b4710.011b4710.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b4d10","DigiSummonUiShared_011b4d10","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b4d10_FUN_011b4d10.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b4d10.011b4d10.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b5000","DigiSummonUiShared_011b5000","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b5000_FUN_011b5000.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b5000.011b5000.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b54f0","DigiSummonUiShared_011b54f0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b54f0_FUN_011b54f0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b54f0.011b54f0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b5610","DigiSummonUiShared_011b5610","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b5610_FUN_011b5610.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b5610.011b5610.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b5760","DigiSummonUiShared_011b5760","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b5760_FUN_011b5760.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b5760.011b5760.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b58b0","DigiSummonUiShared_011b58b0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b58b0_FUN_011b58b0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b58b0.011b58b0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
