"Name","Kind","Source","CopiedTo","Bytes","Role"
"DM_DigiSummon-List","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiSummon-List.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\DM_DigiSummon-List.xml","28492","Reusable DigiSummon/Random_box support or item lookup data"
"DM_DigiSummon-List","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_DigiSummon-List.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\DM_DigiSummon-List.bin","1173","Reusable DigiSummon/Random_box support or item lookup data"
"DM_DigiSummon-ItemList","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiSummon-ItemList.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\DM_DigiSummon-ItemList.xml","139927","Reusable DigiSummon/Random_box support or item lookup data"
"DM_DigiSummon-ItemList","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_DigiSummon-ItemList.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\DM_DigiSummon-ItemList.bin","3541","Reusable DigiSummon/Random_box support or item lookup data"
"DM_DigiSummon-ItemGroup","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiSummon-ItemGroup.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\DM_DigiSummon-ItemGroup.xml","913251","Reusable DigiSummon/Random_box support or item lookup data"
"DM_DigiSummon-ItemGroup","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_DigiSummon-ItemGroup.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\DM_DigiSummon-ItemGroup.bin","15169","Reusable DigiSummon/Random_box support or item lookup data"
"ItemData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemData.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\ItemData.xml","145662269","Reusable DigiSummon/Random_box support or item lookup data"
"ItemData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemData.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\ItemData.bin","3210660","Reusable DigiSummon/Random_box support or item lookup data"
"ItemType","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemType.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\ItemType.xml","223219","Reusable DigiSummon/Random_box support or item lookup data"
"ItemType","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemType.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\ItemType.bin","6932","Reusable DigiSummon/Random_box support or item lookup data"
"ItemRankData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemRankData.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\ItemRankData.xml","24598086","Reusable DigiSummon/Random_box support or item lookup data"
"ItemRankData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemRankData.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\ItemRankData.bin","622956","Reusable DigiSummon/Random_box support or item lookup data"
"ItemRankEffectData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemRankEffectData.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\ItemRankEffectData.xml","833130","Reusable DigiSummon/Random_box support or item lookup data"
"ItemRankEffectData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemRankEffectData.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\ItemRankEffectData.bin","26264","Reusable DigiSummon/Random_box support or item lookup data"
"QuestItemData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\QuestItemData.xml","C:\0-NewDmo\DigitalDrawFeature\tables\xml\QuestItemData.xml","155736775","Reusable DigiSummon/Random_box support or item lookup data"
"QuestItemData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\QuestItemData.bin","C:\0-NewDmo\DigitalDrawFeature\tables\bin\QuestItemData.bin","3438657","Reusable DigiSummon/Random_box support or item lookup data"
