"FunctionFile","Address","Kind","Reference"
"BuildClearRewardLargeList.original.c","01ad507c","ui_text_key","DUNGEON_ENTER_CLEAR_REWARD_LIST"
"BuildClearRewardLargeList.original.c","01ad505c","texture","DungeonUI\Dungeon_list_L.png"
"BuildClearRewardListButton.original.c","01ad503c","texture","DungeonUI\Dungeon_list_btn.png"
"BuildClearRewardSmallList.original.c","01ad4fc8","ui_text_key","DUNGEON_ENTER_CLEAR_REWARD_DEFAULT_REWARD"
"BuildClearRewardSmallList.original.c","01ad4ff4","ui_text_key","DUNGEON_ENTER_CLEAR_REWARD_EXTRA_REWARD"
"BuildClearRewardSmallList.original.c","01ad501c","texture","DungeonUI\Dungeon_list_S.png"
"BuildClearRewardView.original.c","01ad3144","texture","CommonUI\CommonUI_close.tga"
"BuildClearRewardView.original.c","01ad4fa4","ui_text_key","DUNGEON_ENTER_CLEAR_REWARD_TITLE"
"BuildClearRewardView.original.c","01ad4f84","texture","DungeonUI\Dungeon_frame_new.png"
"BuildDungeonEnterRoot.original.c","01ad3144","texture","CommonUI\CommonUI_close.tga"
"BuildDungeonEnterRoot.original.c","01ad4a0c","ui_text_key","DUNGEON_ENTER_BTN_ENTER"
"BuildDungeonEnterRoot.original.c","01ad49f0","texture","DungeonUI\Dungeon_Bg.tga"
"BuildDungeonEnterRoot.original.c","01ad438c","texture","DungeonUI\Dungeon_Entrance_Btn.tga"
"BuildDungeonListPanel.original.c","01ad4a64","ui_text_key","DUNGEON_ENTER_LIST_TITLE_DUNGEON_LIST"
"BuildDungeonListPanel.original.c","01ad4a48","texture","DungeonUI\Dungeon_Line.tga"
"BuildDungeonListPanel.original.c","01ad4a8c","texture","DungeonUI\Dungeon_List_ClickBtn_Stroke.tga"
"BuildDungeonListPanel.original.c","01ad4a24","texture","DungeonUI\Dungeon_List_Frame.tga"
"BuildDungeonPreviewPanel.original.c","01ad4d48","texture","DungeonUI\Dungeon_Image_Frame.tga"
"BuildDungeonPreviewPanel.original.c","01ad4d90","texture","DungeonUI\Dungeon_Level_Easy.tga"
"BuildDungeonPreviewPanel.original.c","01ad4d6c","texture","DungeonUI\Dungeon_name_Frame.tga"
"BuildDungeonPreviewPanel.original.c","01ad4db4","texture","DungeonUI\Dungeon_reward_btn.png"
"BuildParticipationPanel.original.c","01ad4b7c","texture","DungeonUI\Dungeon_Target_Participation_Frame.tga"
"BuildParticipationPanel.original.c","01ad4bb0","texture","DungeonUI\Dungeon_Target_Participation_Unsatisfactory_Frame.tga"
"BuildParticipationPanel.original.c","01ad4bf0","texture","DungeonUI\Dungeon_User_Icon.tga"
"BuildRequirementTabs.original.c","01ad4c50","ui_text_key","DUNGEON_ENTER_REQUIRE_TITLE_CLEAR_INFO"
"BuildRequirementTabs.original.c","01ad4c78","ui_text_key","DUNGEON_ENTER_REQUIRE_TITLE_ENTER_INFO"
"BuildRequirementTabs.original.c","01ad4ca0","ui_text_key","DUNGEON_ENTER_REQUIRE_TITLE_ITEM_INFO"
"BuildRequirementTabs.original.c","01ad4a48","texture","DungeonUI\Dungeon_Line.tga"
"BuildRewardPanel.original.c","01ad4b24","ui_text_key","DUNGEON_ENTER_REWARD_TITLE_REWARD_LIST"
"BuildRewardPanel.original.c","01ad4a48","texture","DungeonUI\Dungeon_Line.tga"
"BuildRewardPanel.original.c","01ad4b00","texture","DungeonUI\Dungeon_Reward_Frame.tga"
"BuildRewardPanel.original.c","01ad4b4c","texture","Icon\Mask_Over.dds"
"BuildRewardSlot.original.c","01ad4b60","texture","DungeonUI\Dungeon_Slot.tga"
"CreateDungeonEnterWindow.original.c","01ae9e30","ui_symbol","DungeonEnter"
"RefreshClearRewardLargeList.original.c","01ad50bc","ui_text_key","DUNGEON_ENTER_CLEAR_REWARD_ITEM_COMPONENTS"
"RefreshClearRewardLargeList.original.c","01ad505c","texture","DungeonUI\Dungeon_list_L.png"
"RenderEmptyRequirementText.original.c","01ad4c10","ui_text_key","DUNGEON_ENTER_REQUIRE_TXT_EMPTY_REQUIRE"
"RenderRequirementRow.original.c","01ad4d20","ui_text_key","DUNGEON_ENTER_REQUIRE_TXT_DIGIMON_LEVEL"
"RenderRequirementRow.original.c","01ad4cc8","ui_text_key","DUNGEON_ENTER_REQUIRE_TXT_QUEST"
"RenderRequirementRow.original.c","01ad4cf8","ui_text_key","DUNGEON_ENTER_REQUIRE_TXT_TAMER_LEVEL"
"ResolveDungeonDifficultyBadge.original.c","01ad4d90","texture","DungeonUI\Dungeon_Level_Easy.tga"
"ResolveDungeonDifficultyBadge.original.c","01ad4e78","texture","DungeonUI\Dungeon_Level_Hard.tga"
"ResolveDungeonDifficultyBadge.original.c","01ad4e54","texture","DungeonUI\Dungeon_Level_Normal.tga"
