"Address","Original","Name","Purpose"
"0128cd60","FUN_0128cd60","CreateDungeonEnterWindow","Allocates cDungeonEnter, binds DungeonEnter UI name and dispatches first virtual Build/Init call."
"010c8fa0","FUN_010c8fa0","BuildDungeonEnterRoot","Creates root background, close button, Enter button, then builds list/reward/participation/preview panels."
"010c93b0","FUN_010c93b0","BuildDungeonListPanel","Creates left dungeon list frame, title text, scroll/list component and selected-list stroke."
"010c9870","FUN_010c9870","BuildDungeonListButton","Creates each dungeon row thumbnail/button and list difficulty marker."
"010ca260","FUN_010ca260","BuildRewardPanel","Creates monster reward frame and title."
"010ca670","FUN_010ca670","BuildRewardSlot","Creates individual reward item slot."
"010ca940","FUN_010ca940","BuildParticipationPanel","Creates participation condition frame and user/capacity icon."
"010cad70","FUN_010cad70","RenderEmptyRequirementText","Renders the no-condition requirement line."
"010cb260","FUN_010cb260","BuildRequirementTabs","Creates requirement section titles for clear/entry/item info."
"010cb8e0","FUN_010cb8e0","RenderRequirementRow","Formats quest, tamer level, and digimon level requirement rows."
"010cbd20","FUN_010cbd20","BuildDungeonPreviewPanel","Creates main image frame, name frame, difficulty badge and reward info button."
"010ccc80","FUN_010ccc80","ResolveDungeonDifficultyBadge","Chooses Easy/Normal/Hard badge texture."
"010cd1d0","FUN_010cd1d0","BuildClearRewardView","Creates clear reward popup/list container."
"010cd810","FUN_010cd810","BuildClearRewardSmallList","Creates compact clear reward list."
"010cdc00","FUN_010cdc00","BuildClearRewardListButton","Creates clear reward list button component."
"010ce150","FUN_010ce150","BuildClearRewardLargeList","Creates expanded clear reward list."
"010ce810","FUN_010ce810","RefreshClearRewardLargeList","Refreshes expanded clear reward list."
"01607560","FUN_01607560","LoadDungeonTables","Registers/loads DungeonList, Qualification, Obtainable, Value, Reward, StepInfo, ClearInfo and Old bins."
"0160bb10","FUN_0160bb10","LoadMapDungeonRegionTables","Registers/loads MapDungeonRegion bin used by dungeon region lookup."
