"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","s_Control_G_Popup_N2Dlg5_tga_01ae0f00","01ae0f00","Control_G\Popup\N2Dlg5.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","s_NewInventory_new_inventory_lock__01ae0f3c","01ae0f3c","NewInventory\new_inventory_lock.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildExtraInventoryTabs.original.c","s_list_too_long_01abdaa4","01abdaa4","list too long","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_INVENTORY_FILTER_TEXT_NONE_01ae2310","01ae2310","INVENTORY_FILTER_TEXT_NONE","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_INVENTORY_FILTER_TEXT_EQUIP_01ae2e58","01ae2e58","INVENTORY_FILTER_TEXT_EQUIP","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_INVENTORY_FILTER_TEXT_CONSUME_01aea9f8","01aea9f8","INVENTORY_FILTER_TEXT_CONSUME","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_INVENTORY_FILTER_TEXT_ETC_01aeaa34","01aeaa34","INVENTORY_FILTER_TEXT_ETC","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_INVENTORY_FILTER_TEXT_DIGIMON_01aeaa50","01aeaa50","INVENTORY_FILTER_TEXT_DIGIMON","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","s_NewInventory_new_inventory_btn_t_01aedbf4","01aedbf4","NewInventory\new_inventory_btn_tab.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\BuildNewInventoryTabButtonEx.original.c","s_NewInventory_new_inventory_btn_t_01aedbf4","01aedbf4","NewInventory\new_inventory_btn_tab.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","s_CommonUI_CommonUI_btn_s_tga_01adfeb4","01adfeb4","CommonUI\CommonUI_btn_s.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","s_inventory_Invensort_tga_01ae0ee8","01ae0ee8","inventory\Invensort.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","s_EXTRA_INVEN_DIGITAMA_BTN_ALLGET_01ae0f1c","01ae0f1c","EXTRA_INVEN_DIGITAMA_BTN_ALLGET","copied-c-symbol"
"decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c","s_CommonUI_CommonUI_btn_s_tga_01adfeb4","01adfeb4","CommonUI\CommonUI_btn_s.tga","copied-c-symbol"
