"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011a36a0","011a36a0","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","011a37ac","01ad588c","s_Mail\Mail_Item_Icon.tga_01ad588c","Mail\Mail_Item_Icon.tga"
"FUN_011a36a0","011a36a0","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","011a3b5a","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga"
"FUN_011a36a0","011a36a0","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","011a3b88","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga"
"FUN_011a36a0","011a36a0","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","011a3cb7","01ae0f3c","s_NewInventory\new_inventory_lock._01ae0f3c","NewInventory\new_inventory_lock.tga"
"FUN_011a36a0","011a36a0","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","011a3ce5","01ae0f3c","s_NewInventory\new_inventory_lock._01ae0f3c","NewInventory\new_inventory_lock.tga"
"FUN_011a9f80","011a9f80","decompiled\ExtraInventoryUI\BuildExtraInventoryTabs.original.c","011aa616","01abdaa4","s_list_too_long_01abdaa4","list too long"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012fab44","01ae2310","s_INVENTORY_FILTER_TEXT_NONE_01ae2310","INVENTORY_FILTER_TEXT_NONE"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012facab","01ae2e58","s_INVENTORY_FILTER_TEXT_EQUIP_01ae2e58","INVENTORY_FILTER_TEXT_EQUIP"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012fad75","01aea9f8","s_INVENTORY_FILTER_TEXT_CONSUME_01aea9f8","INVENTORY_FILTER_TEXT_CONSUME"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012faea9","01aeaa34","s_INVENTORY_FILTER_TEXT_ETC_01aeaa34","INVENTORY_FILTER_TEXT_ETC"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012fae0f","01aeaa50","s_INVENTORY_FILTER_TEXT_DIGIMON_01aeaa50","INVENTORY_FILTER_TEXT_DIGIMON"
"FUN_012faae0","012faae0","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","012fab19","01aedbf4","s_NewInventory\new_inventory_btn_t_01aedbf4","NewInventory\new_inventory_btn_tab.tga"
"FUN_012faf80","012faf80","decompiled\ExtraInventoryUI\BuildNewInventoryTabButtonEx.original.c","012fafc7","01aedbf4","s_NewInventory\new_inventory_btn_t_01aedbf4","NewInventory\new_inventory_btn_tab.tga"
"FUN_011a29c0","011a29c0","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","011a2ac6","01adfeb4","s_CommonUI\CommonUI_btn_s.tga_01adfeb4","CommonUI\CommonUI_btn_s.tga"
"FUN_011a29c0","011a29c0","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","011a2a39","01ae0ee8","s_inventory\Invensort.tga_01ae0ee8","inventory\Invensort.tga"
"FUN_011a29c0","011a29c0","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","011a2b53","01ae0f1c","s_EXTRA_INVEN_DIGITAMA_BTN_ALLGET_01ae0f1c","EXTRA_INVEN_DIGITAMA_BTN_ALLGET"
"FUN_011a5270","011a5270","decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c","011a5376","01adfeb4","s_CommonUI\CommonUI_btn_s.tga_01adfeb4","CommonUI\CommonUI_btn_s.tga"
