"AssetPath","PackHint","FoundBy","Address","ExtractionStatus"
"CommonUI\CommonUI_btn_s.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","01adfeb4","referenced-only; packed asset not unpacked here"
"CommonUI\CommonUI_btn_s.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c","01adfeb4","referenced-only; packed asset not unpacked here"
"CommonUI\CommonUI_btn_s.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildMaterialInventoryCategory.original.c","01adfeb4","referenced-only; packed asset not unpacked here"
"CommonUI\CommonUI_btn_s.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildSealInventoryCategory.original.c","01adfeb4","referenced-only; packed asset not unpacked here"
"CommonUI\CommonUI_btn_s.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildTicketInventoryCategory.original.c","01adfeb4","referenced-only; packed asset not unpacked here"
"Control_G\ComboBox\Combo.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","01ae65fc","referenced-only; packed asset not unpacked here"
"Control_G\ComboBox\Combo.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","01ae65fc","referenced-only; packed asset not unpacked here"
"Control_G\Popup\N2Dlg5.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","01ae0f00","referenced-only; packed asset not unpacked here"
"Control_G\Popup\N2Dlg5.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","01ae0f00","referenced-only; packed asset not unpacked here"
"Control_G\Popup\N2Dlg5.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","01ae0f00","referenced-only; packed asset not unpacked here"
"DigiCombine\DigiCombine_CardFront.dds","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","01ae106c","referenced-only; packed asset not unpacked here"
"DigiCombine\DigiCombine_CardFront.dds","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","01ae106c","referenced-only; packed asset not unpacked here"
"inventory\Invensort.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c","01ae0ee8","referenced-only; packed asset not unpacked here"
"inventory\Invensort.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c","01ae0ee8","referenced-only; packed asset not unpacked here"
"inventory\Invensort.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildMaterialInventoryCategory.original.c","01ae0ee8","referenced-only; packed asset not unpacked here"
"inventory\Invensort.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildSealInventoryCategory.original.c","01ae0ee8","referenced-only; packed asset not unpacked here"
"inventory\Invensort.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Categories\BuildTicketInventoryCategory.original.c","01ae0ee8","referenced-only; packed asset not unpacked here"
"Mail\Mail_Item_Icon.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","01ad588c","referenced-only; packed asset not unpacked here"
"CommonUI\Deco_Windows_Title3.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Evolution\BuildEvolutionSearchControls.original.c","01adc7dc","referenced-only; packed asset not unpacked here"
"Encyclopedia\NewEncyclopedia\main\sarch.png","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Evolution\BuildEvolutionSearchControls.original.c","01add318","referenced-only; packed asset not unpacked here"
"Encyclopedia\NewEncyclopedia\main\re.png","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Evolution\BuildEvolutionSearchControls.original.c","01add2ec","referenced-only; packed asset not unpacked here"
"NewInventory\extra_inventory_notification.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","01ae0ff4","referenced-only; packed asset not unpacked here"
"NewInventory\extra_red_highlight.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","01ae1024","referenced-only; packed asset not unpacked here"
"NewInventory\new_inventory_btn_tab.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c","01aedbf4","referenced-only; packed asset not unpacked here"
"NewInventory\new_inventory_btn_tab.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\BuildNewInventoryTabButtonEx.original.c","01aedbf4","referenced-only; packed asset not unpacked here"
"NewInventory\new_inventory_lock.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c","01ae0f3c","referenced-only; packed asset not unpacked here"
"SealMaster\btn_combobox.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","01ad7abc","referenced-only; packed asset not unpacked here"
"SealMaster\btn_combobox.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","01ad7abc","referenced-only; packed asset not unpacked here"
"SealMaster\sealmaster_bg_01.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","01ae104c","referenced-only; packed asset not unpacked here"
"SealMaster\sealmaster_bg_01.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationSlot.original.c","01ae104c","referenced-only; packed asset not unpacked here"
"SealMaster\sealmaster_highlight.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","01ae0f60","referenced-only; packed asset not unpacked here"
"SealMaster\Sealmaster_highlight.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Evolution\BuildEvolutionInventoryGrid.original.c","01ae0fd0","referenced-only; packed asset not unpacked here"
"Talk\Common_Seletbar.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","01ad36a8","referenced-only; packed asset not unpacked here"
"Talk\Common_Seletbar.tga","Pack01 / Data\\Interface","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","01ad36a8","referenced-only; packed asset not unpacked here"
