"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_0101cad0","0101cad0","0101d23b","01acf0d4","PRESET_FAIL_APPLY_NOT_ENOUGH_INVENTORY","NO"
"FUN_01048630","01048630","0104871f","01ad059c","Inventory\Block.tga","NO"
"FUN_01048ad0","01048ad0","01048f30","01ad059c","Inventory\Block.tga","NO"
"FUN_01054c10","01054c10","01054d5a","01ad0cd8","FAILURE_EXTRA_INVENTORY","decompiled\Shared\HandleExtraInventoryFailure.original.c"
"FUN_01055f10","01055f10","0105611f","01ad0d1c","EXTRA_INVEN_ALREADY_SORTED","decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c"
"FUN_01056780","01056780","010567a0","01ad0d38","EXTRA_INVEN_LIST_SEAL","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c"
"FUN_01056780","01056780","010567ed","01ad0d68","EXTRA_INVEN_LIST_Evolution","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c"
"FUN_01056780","01056780","010567fb","01ad0d84","EXTRA_INVEN_LIST_DIGITAMA","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c"
"FUN_01056780","01056780","01056809","01ad0da0","EXTRA_INVEN_LIST_MATERIAL","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c"
"caseD_c","010567d8","010567df","01ad0d50","EXTRA_INVEN_LIST_TICKET","decompiled\ExtraInventoryUI\ResolveExtraInventoryTicketTextCase.original.c"
"FUN_01057640","01057640","0105771c","01ad0dbc","EXTRA_INVEN_INVENTORY_LACK","decompiled\Shared\ResolveExtraInventoryAllGetMessage.original.c"
"FUN_01057640","01057640","0105780f","01ad0dd8","EXTRA_INVEN_NO_ITEMS_TO_GET","decompiled\Shared\ResolveExtraInventoryAllGetMessage.original.c"
"FUN_010578a0","010578a0","01057a91","01ad0df4","EXTRA_INVEN_WRONG_ITEM_MOVE","decompiled\Shared\HandleExtraInventoryWrongMove.original.c"
"FUN_01057d70","01057d70","01057dcb","01ad0e10","EXTRA_INVEN_DURING_FILTER_FAIL","decompiled\Shared\HandleExtraInventoryFilterFail.original.c"
"FUN_010635a0","010635a0","01063699","01ad13f0","INVENTORY_MOVE_CUT","NO"
"FUN_01063cc0","01063cc0","01063d05","01ad13f0","INVENTORY_MOVE_CUT","NO"
"FUN_010ab6d0","010ab6d0","010ab90b","01ad2f24","UNION_HACK_INVENTORY_ERROR","NO"
"FUN_010aba80","010aba80","010abcbb","01ad2f24","UNION_HACK_INVENTORY_ERROR","NO"
"FUN_010b6b50","010b6b50","010b6bd7","01ad13f0","INVENTORY_MOVE_CUT","NO"
"FUN_010b97c0","010b97c0","010b9c52","01ad343c","NewInventory\new_notification.tga","NO"
"FUN_010b97c0","010b97c0","010b9c7d","01ad343c","NewInventory\new_notification.tga","NO"
"FUN_010bbf30","010bbf30","010bc1f7","01ad3584","NewInventory\attention_notification.tga","NO"
"FUN_010bbf30","010bbf30","010bc225","01ad3584","NewInventory\attention_notification.tga","NO"
"FUN_010f2380","010f2380","010f270e","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_010f2380","010f2380","010f27c3","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_010f2380","010f2380","010f2767","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_010f2380","010f2380","010f2880","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_010f2380","010f2380","010f2823","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_01161a80","01161a80","01162c67","01ad7abc","SealMaster\btn_combobox.tga","NO"
"FUN_01161a80","01161a80","01162c7d","01ad7b14","SealMaster\dropdown_list_0","NO"
"FUN_01192780","01192780","0119280b","01ad343c","NewInventory\new_notification.tga","NO"
"FUN_011a29c0","011a29c0","011a2a39","01ae0ee8","inventory\Invensort.tga","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c"
"FUN_011a29c0","011a29c0","011a2b53","01ae0f1c","EXTRA_INVEN_DIGITAMA_BTN_ALLGET","decompiled\ExtraInventoryUI\Categories\BuildDigitamaInventoryCategory.original.c"
"FUN_011a3020","011a3020","011a3184","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011a36a0","011a36a0","011a3cb7","01ae0f3c","NewInventory\new_inventory_lock.tga","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c"
"FUN_011a36a0","011a36a0","011a3ce5","01ae0f3c","NewInventory\new_inventory_lock.tga","decompiled\ExtraInventoryUI\BuildExtraInventoryItemSlot.original.c"
"FUN_011a5270","011a5270","011a52e9","01ae0ee8","inventory\Invensort.tga","decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c"
"FUN_011a5270","011a5270","011a5403","01ae0f98","EXTRA_INVEN_Evolution_BTN_ALLGET","decompiled\ExtraInventoryUI\Categories\BuildEvolutionInventoryCategory.original.c"
"FUN_011a58b0","011a58b0","011a5a36","01ae0fd0","SealMaster\Sealmaster_highlight.tga","NO"
