"Kind","Name","Length"
"bin","DEvolutionAdvice.bin","1886"
"bin","DEvolutionList.bin","181846"
"bin","DM_Extra_Inven-Evo_Data.bin","10288"
"bin","DM_ItemUpgrade-MaterialGroup.bin","52"
"bin","DPartItemData.bin","223"
"bin","EvoDigitama.bin","78094"
"bin","ExtraEvolution.bin","3392"
"bin","ItemData.bin","3210660"
"bin","ItemRankData.bin","622956"
"bin","ItemRankEffectData.bin","26264"
"bin","ItemType.bin","6932"
"bin","QuestItemData.bin","3438657"
"bin","SealBaseImage.bin","319"
"bin","SealCard.bin","48388"
"bin","SealDigimonImage.bin","26389"
"bin","SealFilter.bin","3178"
"bin","SealLeader.bin","3028"
"bin","SealNatureImage.bin","786"
"bin","SealPlateImage.bin","1060"
"bin","TranscendMaterial.bin","6388"
"xml","DEvolutionAdvice.xml","90426"
"xml","DEvolutionList.xml","5832863"
"xml","DM_Extra_Inven-Evo_Data.xml","302494"
"xml","DM_ItemUpgrade-MaterialGroup.xml","1630"
"xml","DPartItemData.xml","2585"
"xml","EvoDigitama.xml","4245581"
"xml","ExtraEvolution.xml","141109"
"xml","ItemData.xml","145662269"
"xml","ItemRankData.xml","24598086"
"xml","ItemRankEffectData.xml","833130"
"xml","ItemType.xml","223219"
"xml","QuestItemData.xml","155736775"
"xml","SealBaseImage.xml","1812"
"xml","SealCard.xml","2745469"
"xml","SealDigimonImage.xml","126124"
"xml","SealFilter.xml","95713"
"xml","SealLeader.xml","131878"
"xml","SealNatureImage.xml","3821"
"xml","SealPlateImage.xml","3858"
"xml","TranscendMaterial.xml","287226"
