"ItemId","Name","TypeName","Class","TypeL","TypeS","TypeValue","TypeSection","SkillCode","SocketCount","Overlap","NifFile","ModelNifFile","ModelEffectFile"
"3","팔찌","Bracelet","5","33","1","0","3301","10000001","1","1","","",""
"4","반지","Ring","5","29","1","0","2901","10000002","1","1","","",""
"5","목걸이","Necklace","5","28","1","0","2801","10000003","1","1","","",""
"6","귀걸이","Earring","5","30","1","0","3001","10000004","1","1","","",""
"12","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"13","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"14","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"15","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"16","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"17","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"18","Container item","Container item","8","170","0","0","17000","0","0","999","","",""
"20","Digivice","Digivice","6","53","0","0","5300","10000005","0","1","","",""
"21","Key Ring","Key Ring","7","35","0","0","3500","2701608","1","1","","",""
"22","Hat accessory","Hat accessory","6","36","0","0","3600","2100246","1","1","","",""
"41","[Test] Ring(AASS)","Ring","6","29","1","0","2901","10000064","1","1","","",""
"44","[Test] Neck(CT DMG)","Necklace","5","28","1","0","2801","10000078","1","1","","",""
"47","[Test] Santa costume(1min)","Costume","10","26","3","0","2603","2000009","1","1","costume14","",""
"69","[Test] AT Attribute Rank E","Attribute Item [Gloves]","5","123","0","0","12300","1340005","2","1","","socket_ball03",""
"83","[Test] PluginCard [AT+DE+EV]","Skill item","8","64","51","10","6451","2500244","1","999","","",""
"84","[Test] Buff_SCR Up","Buff item","11","63","0","10","6300","2500209","1","999","","",""
"86","[Test] Buff_SCD Up","Buff item","11","63","0","10","6300","2500208","1","999","","",""
"1401","Mystery Attribute Rank A Lv1","Container item","2","170","0","0","17000","0","0","999","","",""
"1402","Mystery Attribute Rank A Lv2","Container item","3","170","0","0","17000","0","0","999","","",""
"1403","Mystery Attribute Rank A Lv3","Container item","4","170","0","0","17000","0","0","999","","",""
"1404","Mystery Attribute Rank A Lv4","Container item","5","170","0","0","17000","0","0","999","","",""
"1405","Mystery Attribute Rank A LvMax","Container item","6","170","0","0","17000","0","0","999","","",""
