"Source","ItemId","Name","Class","TypeL","TypeS","TypeValue","TypeSection","TypeName","SkillCode","SocketCount","Overlap","UseTimeGroup","UseTimeMinutes","UseBattle","NifFile","ModelNifFile","ModelEffectFile"
"converted","3","팔찌","5","33","1","0","3301","Bracelet","10000001","1","1","101","0","0","","",""
"converted","4","반지","5","29","1","0","2901","Ring","10000002","1","1","101","0","0","","",""
"converted","5","목걸이","5","28","1","0","2801","Necklace","10000003","1","1","101","0","0","","",""
"converted","6","귀걸이","5","30","1","0","3001","Earring","10000004","1","1","101","0","0","","",""
"legacy","10","DigiEgg (for return) [Event]","","","","","","","","","","","","","","",""
"legacy","11","ABC","","","","","","","","","","","","","","",""
"converted","12","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","13","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","14","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","15","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","16","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","17","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","18","Container item","8","170","0","0","17000","Container item","0","0","999","101","0","0","","",""
"converted","20","Digivice","6","53","0","0","5300","Digivice","10000005","0","1","101","0","0","","",""
"converted","21","Key Ring","7","35","0","0","3500","Key Ring","2701608","1","1","101","0","0","","",""
"converted","22","Hat accessory","6","36","0","0","3600","Hat accessory","2100246","1","1","101","0","0","","",""
"legacy","30","Ultra Power Cloth","","","","","","","","","","","","","","",""
"legacy","31","ExpBooster+30%","","","","","","","","","","","","","","",""
"legacy","32","Music-Playing
Headphones","","","","","","","","","","","","","","",""
"legacy","33","Black star
hoodie","","","","","","","","","","","","","","",""
"legacy","34","Vintage Denim Blue Jeans","","","","","","","","","","","","","","",""
"legacy","35","Red Power Gloves","","","","","","","","","","","","","","",""
"legacy","36","Test Glove 1 min","","","","","","","","","","","","","","",""
"legacy","37","[Test] Renewal Increase Stone (100%, 1)","","","","","","","","","","","","","","",""
"legacy","38","[Test] Renewal Increase Stone (100%, 5)","","","","","","","","","","","","","","",""
"legacy","39","[Test] Digitary Power Stone (100%, 30)","","","","","","","","","","","","","","",""
"converted","41","[Test] Ring(AASS)","6","29","1","0","2901","Ring","10000064","1","1","101","0","0","","",""
"converted","44","[Test] Neck(CT DMG)","5","28","1","0","2801","Necklace","10000078","1","1","101","0","0","","",""
"converted","47","[Test] Santa costume(1min)","10","26","3","0","2603","Costume","2000009","1","1","101","1","0","costume14","",""
"legacy","50","GM Power Cloth","","","","","","","","","","","","","","",""
"legacy","51","Game Master","","","","","","","","","","","","","","",""
"legacy","52","GM Megaphone","","","","","","","","","","","","","","",""
"legacy","53","GM Suit","","","","","","","","","","","","","","",""
"legacy","54","GM Room Ticket","","","","","","","","","","","","","","",""
"legacy","55","[test] Agumon Top [1Min]","","","","","","","","","","","","","","",""
"legacy","56","Jogress Chip (Disposable) [test]","","","","","","","","","","","","","","",""
"converted","69","[Test] AT Attribute Rank E","5","123","0","0","12300","Attribute Item [Gloves]","1340005","2","1","101","0","0","","socket_ball03",""
"converted","83","[Test] PluginCard [AT+DE+EV]","8","64","51","10","6451","Skill item","2500244","1","999","15","60","0","","",""
"converted","84","[Test] Buff_SCR Up","11","63","0","10","6300","Buff item","2500209","1","999","15","3","0","","",""
"converted","86","[Test] Buff_SCD Up","11","63","0","10","6300","Buff item","2500208","1","999","15","3","0","","",""
"legacy","100","Dats Center
Gold Bullion [Payment]","","","","","","","","","","","","","","",""
"legacy","101","HP Attribute Rank A 
[Quest]","","","","","","","","","","","","","","",""
"legacy","102","HP Attribute Rank A","","","","","","","","","","","","","","",""
"legacy","103","HP Attribute Rank A","","","","","","","","","","","","","","",""
"legacy","104","HP Attribute Rank B","","","","","","","","","","","","","","",""
"legacy","105","HP Attribute Rank B","","","","","","","","","","","","","","",""
"legacy","106","HP Attribute Rank C","","","","","","","","","","","","","","",""
"legacy","107","HP Attribute Rank C","","","","","","","","","","","","","","",""
"legacy","108","HP Attribute Rank C","","","","","","","","","","","","","","",""
"legacy","109","HP Attribute Rank C","","","","","","","","","","","","","","",""
"legacy","110","HP Attribute Rank C","","","","","","","","","","","","","","",""
"legacy","111","HP Attribute Rank D","","","","","","","","","","","","","","",""
"legacy","112","HP Attribute Rank D","","","","","","","","","","","","","","",""
"legacy","113","HP Attribute Rank D","","","","","","","","","","","","","","",""
"legacy","114","HP Attribute Rank D","","","","","","","","","","","","","","",""
"legacy","203","DS Attribute Rank B","","","","","","","","","","","","","","",""
