"Action","ItemId","LegacyName","ModernName","ModernTypeName","NameChanged","SocketCount","TypeL","TypeS","SkillCode"
"AddConverted","3","","팔찌","Bracelet","True","1","33","1","10000001"
"AddConverted","4","","반지","Ring","True","1","29","1","10000002"
"AddConverted","5","","목걸이","Necklace","True","1","28","1","10000003"
"AddConverted","6","","귀걸이","Earring","True","1","30","1","10000004"
"AddConverted","12","","Container item","Container item","True","0","170","0","0"
"AddConverted","13","","Container item","Container item","True","0","170","0","0"
"AddConverted","14","","Container item","Container item","True","0","170","0","0"
"AddConverted","15","","Container item","Container item","True","0","170","0","0"
"AddConverted","16","","Container item","Container item","True","0","170","0","0"
"AddConverted","17","","Container item","Container item","True","0","170","0","0"
"AddConverted","18","","Container item","Container item","True","0","170","0","0"
"AddConverted","20","","Digivice","Digivice","True","0","53","0","10000005"
"AddConverted","21","","Key Ring","Key Ring","True","1","35","0","2701608"
"AddConverted","22","","Hat accessory","Hat accessory","True","1","36","0","2100246"
"AddConverted","41","","[Test] Ring(AASS)","Ring","True","1","29","1","10000064"
"AddConverted","44","","[Test] Neck(CT DMG)","Necklace","True","1","28","1","10000078"
"AddConverted","47","","[Test] Santa costume(1min)","Costume","True","1","26","3","2000009"
"AddConverted","69","","[Test] AT Attribute Rank E","Attribute Item [Gloves]","True","2","123","0","1340005"
"AddConverted","83","","[Test] PluginCard [AT+DE+EV]","Skill item","True","1","64","51","2500244"
"AddConverted","84","","[Test] Buff_SCR Up","Buff item","True","1","63","0","2500209"
"AddConverted","86","","[Test] Buff_SCD Up","Buff item","True","1","63","0","2500208"
"AddConverted","1401","","Mystery Attribute Rank A Lv1","Container item","True","0","170","0","0"
"AddConverted","1402","","Mystery Attribute Rank A Lv2","Container item","True","0","170","0","0"
"AddConverted","1403","","Mystery Attribute Rank A Lv3","Container item","True","0","170","0","0"
"AddConverted","1404","","Mystery Attribute Rank A Lv4","Container item","True","0","170","0","0"
"AddConverted","1405","","Mystery Attribute Rank A LvMax","Container item","True","0","170","0","0"
"AddConverted","1406","","Mystery Attribute Rank B Lv1","Container item","True","0","170","0","0"
"AddConverted","1407","","Mystery Attribute Rank B Lv2","Container item","True","0","170","0","0"
"AddConverted","1408","","Mystery Attribute Rank B Lv3","Container item","True","0","170","0","0"
"AddConverted","1409","","Mystery Attribute Rank B Lv4","Container item","True","0","170","0","0"
"AddConverted","1410","","Mystery Attribute Rank B LvMax","Container item","True","0","170","0","0"
"AddConverted","1411","","Mystery Attribute Rank C Lv1","Container item","True","0","170","0","0"
"AddConverted","1412","","Mystery Attribute Rank C Lv2","Container item","True","0","170","0","0"
"AddConverted","1413","","Mystery Attribute Rank C Lv3","Container item","True","0","170","0","0"
"AddConverted","1414","","Mystery Attribute Rank C Lv4","Container item","True","0","170","0","0"
"AddConverted","1415","","Mystery Attribute Rank C LvMax","Container item","True","0","170","0","0"
"AddConverted","1416","","Mystery Attribute Rank D Lv1","Container item","True","0","170","0","0"
"AddConverted","1417","","Mystery Attribute Rank D Lv2","Container item","True","0","170","0","0"
"AddConverted","1418","","Mystery Attribute Rank D Lv3","Container item","True","0","170","0","0"
"AddConverted","1419","","Mystery Attribute Rank D Lv4","Container item","True","0","170","0","0"
"AddConverted","1420","","Mystery Attribute Rank D LvMax","Container item","True","0","170","0","0"
"AddConverted","1421","","Mystery Attribute Rank E Lv1","Container item","True","0","170","0","0"
"AddConverted","1422","","Mystery Attribute Rank E Lv2","Container item","True","0","170","0","0"
"AddConverted","1423","","Mystery Attribute Rank E Lv3","Container item","True","0","170","0","0"
"AddConverted","1424","","Mystery Attribute Rank E Lv4","Container item","True","0","170","0","0"
"AddConverted","1425","","Mystery Attribute Rank E LvMax","Container item","True","0","170","0","0"
"AddConverted","1426","","Mystery Attribute Rank F Lv1","Container item","True","0","170","0","0"
"AddConverted","1427","","Mystery Attribute Rank F Lv2","Container item","True","0","170","0","0"
"AddConverted","1428","","Mystery Attribute Rank F Lv3","Container item","True","0","170","0","0"
"AddConverted","1429","","Mystery Attribute Rank F Lv4","Container item","True","0","170","0","0"
"AddConverted","1430","","Mystery Attribute Rank F LvMax","Container item","True","0","170","0","0"
"AddConverted","1431","","Mystery Attribute Rank G Lv1","Container item","True","0","170","0","0"
"AddConverted","1432","","Mystery Attribute Rank G Lv2","Container item","True","0","170","0","0"
"AddConverted","1433","","Mystery Attribute Rank G Lv3","Container item","True","0","170","0","0"
"AddConverted","1434","","Mystery Attribute Rank G Lv4","Container item","True","0","170","0","0"
"AddConverted","1435","","Mystery Attribute Rank G LvMax","Container item","True","0","170","0","0"
"AddConverted","1436","","Mystery Attribute Rank H Lv1","Container item","True","0","170","0","0"
"AddConverted","1437","","Mystery Attribute Rank H Lv2","Container item","True","0","170","0","0"
"AddConverted","1438","","Mystery Attribute Rank H Lv3","Container item","True","0","170","0","0"
"AddConverted","1439","","Mystery Attribute Rank H Lv4","Container item","True","0","170","0","0"
"AddConverted","1440","","Mystery Attribute Rank H LvMax","Container item","True","0","170","0","0"
"AddConverted","1441","","Mystery Attribute Rank I Lv1","Container item","True","0","170","0","0"
"AddConverted","1442","","Mystery Attribute Rank I Lv2","Container item","True","0","170","0","0"
"AddConverted","1443","","Mystery Attribute Rank I Lv3","Container item","True","0","170","0","0"
"AddConverted","1444","","Mystery Attribute Rank I Lv4","Container item","True","0","170","0","0"
"AddConverted","1445","","Mystery Attribute Rank I LvMax","Container item","True","0","170","0","0"
"AddConverted","1446","","Mystery Attribute Rank J Lv1","Container item","True","0","170","0","0"
"AddConverted","1447","","Mystery Attribute Rank J Lv2","Container item","True","0","170","0","0"
"AddConverted","1448","","Mystery Attribute Rank J Lv3","Container item","True","0","170","0","0"
"AddConverted","1449","","Mystery Attribute Rank J Lv4","Container item","True","0","170","0","0"
"AddConverted","1450","","Mystery Attribute Rank J LvMax","Container item","True","0","170","0","0"
"AddConverted","1451","","[HP] Attribute Rank G LvMax [Event]","Attribute Item [Top]","True","2","122","0","1140135"
"AddConverted","1452","","[DS] Attribute Rank G LvMax [Event]","Attribute Item [Fashion]","True","2","127","0","1240142"
"AddConverted","1453","","[AT] Attribute Rank G LvMax [Event]","Attribute Item [Gloves]","True","2","123","0","1340135"
"AddConverted","1454","","[DE] Attribute Rank G LvMax [Event]","Attribute Item [Bottom]","True","2","124","0","1440135"
"AddConverted","4997","","High Digicore Lv.3","Research [Material]","True","0","92","0","0"
"AddConverted","4998","","High Digicore Lv.4","Research [Material]","True","0","92","0","0"
"AddConverted","4999","","High Digicore Lv.5","Research [Material]","True","0","92","0","0"
"AddConverted","5045","","Exchange Tamer [Jeri]","Apply to Tamer","True","1","163","12","0"
"AddConverted","5046","","Exchange Tamer [Ryo]","Apply to Tamer","True","1","163","13","0"
"AddConverted","5047","","Exchange Tamer Item[Takato]","Apply to Tamer","True","1","163","7","0"
"AddConverted","5048","","Exchange Tamer Item[Rika]","Apply to Tamer","True","1","163","8","0"
"AddConverted","5049","","Exchange Tamer Item[Henry]","Apply to Tamer","True","1","163","9","0"
"PreserveLegacy","5050","Exchange Tamer Item","Exchange Tamer Item[Savers]","Apply to Tamer","True","1","163","0","0"
"PreserveLegacy","5051","Exchange Tamer Item(Tai)","Exchange Tamer Item[Tai]","Apply to Tamer","True","1","163","1","0"
"PreserveLegacy","5052","Exchange Tamer Item (Mimi)","Exchange Tamer Item [Mimi]","Apply to Tamer","True","1","163","2","0"
"PreserveLegacy","5057","Exchange Tamer Item (Matt)","Exchange Tamer Item [Matt]","Apply to Tamer","True","1","163","3","0"
"PreserveLegacy","5058","Exchange Tamer Item (T.K)","Exchange Tamer Item [T.K]","Apply to Tamer","True","1","163","4","0"
"PreserveLegacy","5062","Exchange Tamer Item (Hikari)","Exchange Tamer Item [Hikari]","Apply to Tamer","True","1","163","5","0"
"PreserveLegacy","5063","Exchange Tamer Item (Sora)","Exchange Tamer Item [Sora]","Apply to Tamer","True","1","163","6","0"
"PreserveLegacy","5081","Reinforced
Digiclone[S]","Reinforced Digiclone[S]","Reinforcement [Material]","True","1","55","11","0"
"PreserveLegacy","5082","Reinforced
Digiclone[A]","Reinforced Digiclone[A]","Reinforcement [Material]","True","1","55","12","0"
"PreserveLegacy","5083","Reinforced
Digiclone[B]","Reinforced Digiclone[B]","Reinforcement [Material]","True","1","55","13","0"
"PreserveLegacy","5084","Reinforced
Digiclone[C]","Reinforced Digiclone[C]","Reinforcement [Material]","True","1","55","14","0"
"PreserveLegacy","5085","Reinforced
Digiclone[D]","Reinforced Digiclone[D]","Reinforcement [Material]","True","1","55","15","0"
"AddConverted","5783","","Reinforced DigiAura Ver. X [30Days]","Aura","True","1","31","0","2599980"
"AddConverted","5784","","Reinforced DigiAura Ver. X Box [30Days]","Container item","True","0","170","0","0"
"AddConverted","5785","","Reinforced DigiAura Ver. Y [30Days]","Aura","True","1","31","0","2700026"
"AddConverted","5786","","Reinforced DigiAura Ver. Y Box [30Days]","Container item","True","0","170","0","0"
"AddConverted","5787","","Energy Aura [1D]","Aura","True","1","31","3","0"
"AddConverted","5788","","Energy Aura [7D]","Aura","True","1","31","3","0"
"AddConverted","5789","","Energy Aura [15D]","Aura","True","1","31","3","0"
"AddConverted","5790","","Energy Aura [30D]","Aura","True","1","31","3","0"
"AddConverted","5791","","Energy Aura Box [1D]","Container item","True","0","170","0","0"
"AddConverted","5792","","Energy Aura Box [7D]","Container item","True","0","170","0","0"
"AddConverted","5793","","Energy Aura Box [15D]","Container item","True","0","170","0","0"
"AddConverted","5794","","Energy Aura Box [30D]","Container item","True","0","170","0","0"
"AddConverted","5795","","Energy Aura Box [1D][Event]","Container item","True","0","170","0","0"
"AddConverted","5796","","Energy Aura Box [7D][Event]","Container item","True","0","170","0","0"
"AddConverted","5797","","Energy Aura Box [15D][Event]","Container item","True","0","170","0","0"
"AddConverted","5798","","Energy Aura Box [30D][Event]","Container item","True","0","170","0","0"
"AddConverted","5807","","Growth Fruit [Steam]","Digimon [Re-size]","True","1","89","4","0"
"PreserveLegacy","6081","Reinforced
Digiclone[S]","Reinforced Digiclone[S]","Reinforcement [Material]","True","1","55","11","0"
"PreserveLegacy","6082","Reinforced
Digiclone[A]","Reinforced Digiclone[A]","Reinforcement [Material]","True","1","55","12","0"
"PreserveLegacy","6083","Reinforced
Digiclone[B]","Reinforced Digiclone[B]","Reinforcement [Material]","True","1","55","13","0"
"PreserveLegacy","6084","Reinforced
Digiclone[C]","Reinforced Digiclone[C]","Reinforcement [Material]","True","1","55","14","0"
"PreserveLegacy","6085","Reinforced
Digiclone[D]","Reinforced Digiclone[D]","Reinforcement [Material]","True","1","55","15","0"
"AddConverted","6101","","Digimon Enchantment Package [S]","Container item","True","0","170","0","0"
"AddConverted","6102","","Digimon Enchantment Package [A]","Container item","True","0","170","0","0"
"AddConverted","6103","","Digimon Enchantment Package [B]","Container item","True","0","170","0","0"
"AddConverted","6104","","Digimon Enchantment Package [C]","Container item","True","0","170","0","0"
"AddConverted","6105","","Digimon Enchantment Package [D]","Container item","True","0","170","0","0"
"AddConverted","6176","","Super Growth Fruit","Digimon [Re-size]","True","1","89","5","0"
"AddConverted","6177","","Super Growth Fruit [Event]","Digimon [Re-size]","True","1","89","5","0"
"AddConverted","6180","","Mega DigiClone[S][Event]","Reinforcement [Material]","True","1","55","36","0"
"AddConverted","6181","","Mega DigiClone[A][Event]","Reinforcement [Material]","True","1","55","37","0"
"AddConverted","6182","","Mega DigiClone[B][Event]","Reinforcement [Material]","True","1","55","38","0"
"AddConverted","6183","","Mega DigiClone[C][Event]","Reinforcement [Material]","True","1","55","39","0"
"AddConverted","6184","","Mega DigiClone[D][Event]","Reinforcement [Material]","True","1","55","40","0"
"AddConverted","6185","","Mega DigiClone Cube [Event]","Scan item","True","0","92","0","0"
"AddConverted","6187","","Mega Digiclone
Set Box","Container item","True","0","170","0","0"
"AddConverted","6188","","Special BloomLordmon’s Fruit","Digimon [Re-size]","True","1","89","6","0"
"AddConverted","6189","","Special BloomLordmon’s Fruit [Event]","Digimon [Re-size]","True","1","89","6","0"
"AddConverted","6190","","Primal Fruit","Digimon [Re-size]","True","1","89","6","0"
"AddConverted","6191","","Primal Fruit [Event]","Digimon [Re-size]","True","1","89","6","0"
"AddConverted","6490","","Change Guild Name","Change Guild Name Item","True","0","141","1","0"
"AddConverted","6491","","Change Guild Name [Event]","Change Guild Name Item","True","0","141","1","0"
"AddConverted","6760","","Jogress Peak of evolution","Buff item","True","0","63","0","2700048"
"AddConverted","6761","","Jogress Peak of evolution [Event]","Buff item","True","0","63","0","2700048"
"AddConverted","6762","","Jogress X-Peak of evolution","Buff item","True","0","63","0","2700049"
"AddConverted","6763","","Jogress X-Peak of evolution [Event]","Buff item","True","0","63","0","2700049"
"AddConverted","6764","","Peak of evolution(Jogress)","Buff item","True","0","63","0","2700048"
"PreserveLegacy","6933","Peak of X-evolution","Peak of evolution
(Resistance)","Buff item","True","0","63","0","2700033"
"PreserveLegacy","7047","DexDorugamon
DigiEgg","Death-X-Dorugoramon
DigiEgg","Digiegg [Mercenary]","True","0","93","0","0"
"PreserveLegacy","7149","Reinforced Mercenary
DigiEgg-DexDorugamon","Reinforced Mercenary
DigiEgg-Death-X-Dorugoramon","Scan item","True","0","92","0","0"
"PreserveLegacy","7212","Guilmon[ChaosGallantmon] DigiEgg(Cash)","Guilmon[ChaosGallantmon] DigiEgg","Digiegg [Mercenary]","True","0","93","0","0"
"PreserveLegacy","7213","Reinforced Mercenary DigiEgg(Cash)-
Guilmon[ChaosGallantmon]","Reinforced Mercenary DigiEgg-
Guilmon[ChaosGallantmon]","Scan item","True","0","92","0","0"
"PreserveLegacy","7214","Gabumon[CresGarurumon] DigiEgg(Cash)","Gabumon[CresGarurumon] DigiEgg","Digiegg [Mercenary]","True","0","93","0","0"
"PreserveLegacy","7215","Reinforced Mercenary DigiEgg(Cash)-
Gabumon[CresGarurumon]","Reinforced Mercenary DigiEgg-
Gabumon[CresGarurumon]","Scan item","True","0","92","0","0"
"PreserveLegacy","7226","Elecmon[Duftmon] DigiEgg(Cash)","Elecmon[Duftmon] DigiEgg","Digiegg [Mercenary]","True","0","93","0","0"
"PreserveLegacy","7227","Reinforced Mercenary DigiEgg(Cash)-
Elecmon[Duftmon]","Reinforced Mercenary DigiEgg-
Elecmon[Duftmon]","Scan item","True","0","92","0","0"
"PreserveLegacy","7228","Transcendence Material DigiEgg(Cash)-
Raremon","Transcendence Material DigiEgg-
Raremon","Scan item","True","0","92","0","0"
"PreserveLegacy","7229","Shoutmon DigiEgg(Cash)","Shoutmon DigiEgg","Digiegg [Mercenary]","True","0","93","0","0"
