"BoxId","PresentInAssetContainerByBoxId","ConsumeItems","ItemGroupId","RewardGroupId","Text"
"101","False","79567:2","1025","2025","Legend_slot.png"
"102","False","79567:2","1026","2026","Legend_slot.png"
"103","False","79567:1","1027","2027","Epic_slot.png"
"104","False","151417:1","1028","2028","Normal_slot.png"
"105","False","79567:2","1029","2031","Legend_slot.png"
"106","False","79567:2","1029","2030","Legend_slot.png"
"107","False","79567:2","1029","2029","Legend_slot.png"
"108","False","79567:2","1030","2034","Epic_slot.png"
"109","False","79567:2","1030","2033","Epic_slot.png"
"110","False","79567:2","1030","2032","Epic_slot.png"
"111","False","79567:2","1031","2025","Legend_slot.png"
"112","False","79567:2","1031","2026","Legend_slot.png"
"113","False","79567:2","1031","2035","Epic_slot.png"
"114","False","79567:2","1031","2036","Epic_slot.png"
"118","False","79567:2","1035","2040","Legend_slot.png"
"119","False","79567:2","1035","2030","Legend_slot.png"
"120","False","79567:2","1035","2041","Epic_slot.png"
"121","False","79567:2","1035","2033","Epic_slot.png"
"122","False","79567:1","1027","2027","Epic_slot.png"
"123","False","79567:2","1036","2042","Legend_slot.png"
"124","False","79567:2","1036","2031","Legend_slot.png"
"125","False","79567:2","1036","2043","Epic_slot.png"
"126","False","79567:2","1036","2034","Epic_slot.png"
"127","False","79567:1","1027","2027","Epic_slot.png"
"128","False","79567:2","1037","2029","Legend_slot.png"
"129","False","79567:2","1037","2040","Legend_slot.png"
"130","False","79567:2","1037","2032","Epic_slot.png"
"131","False","79567:2","1037","2041","Epic_slot.png"
"132","False","79567:2","1038","2040","Legend_slot.png"
"133","False","79567:2","1038","2030","Legend_slot.png"
"134","False","79567:2","1038","2041","Epic_slot.png"
"135","False","79567:2","1038","2033","Epic_slot.png"
"136","False","79567:2","1039","2044","Legend_slot.png"
"137","False","79567:2","1039","2030","Legend_slot.png"
"138","False","79567:2","1039","2045","Epic_slot.png"
"139","False","79567:2","1039","2033","Epic_slot.png"
"140","False","79567:1","1027","2027","Epic_slot.png"
"141","False","79567:1","1041","2046","Epic_slot.png"
"142","False","79567:2","1040","2030","Legend_slot.png"
"143","False","79567:2","1040","2041","Epic_slot.png"
"144","False","79567:2","1040","2033","Epic_slot.png"
"145","False","79567:2","1042","2044","Legend_slot.png"
"146","False","79567:2","1042","2031","Legend_slot.png"
"147","False","79567:2","1042","2029","Legend_slot.png"
"148","False","79567:2","1042","2045","Epic_slot.png"
"149","False","79567:2","1042","2034","Epic_slot.png"
"150","False","79567:2","1042","2032","Epic_slot.png"
"151","False","79567:1","1027","2027","Epic_slot.png"
"152","False","79567:2","1042","2044","Legend_slot.png"
"153","False","79567:2","1043","2040","Legend_slot.png"
"154","False","79567:2","1043","2047","Legend_slot.png"
"155","False","79567:2","1043","2041","Epic_slot.png"
"156","False","79567:2","1043","2048","Epic_slot.png"
"157","False","79567:1","1027","2027","Epic_slot.png"
"158","False","79567:2","1044","2044","Legend_slot.png"
"159","False","79567:2","1044","2030","Legend_slot.png"
"160","False","79567:2","1044","2045","Epic_slot.png"
"161","False","79567:2","1044","2033","Epic_slot.png"
"162","False","79567:2","1045","2044","Legend_slot.png"
"163","False","79567:2","1045","2049","Legend_slot.png"
"164","False","79567:2","1045","2045","Epic_slot.png"
"165","False","79567:2","1045","2050","Epic_slot.png"
"166","False","79568:1","1046","2051","Dukemon_Re_Slot.png"
"167","False","79567:2","1047","2040","Legend_slot.png"
"168","False","79567:2","1047","2030","Legend_slot.png"
"169","False","79567:2","1047","2041","Epic_slot.png"
"170","False","79567:2","1047","2033","Epic_slot.png"
"171","False","79567:1","1027","2027","Epic_slot.png"
"172","False","79567:2","1048","2031","Legend_slot.png"
"173","False","79567:2","1048","2044","Legend_slot.png"
"174","False","79567:2","1048","2034","Epic_slot.png"
"175","False","79567:2","1048","2045","Epic_slot.png"
"176","False","79568:1","1046","2051","Dukemon_Re_Slot.png"
