"Function","Entry","RefAddr","Address","Symbol","Kind","Value","CopiedPath"
"FUN_01268580","01268580","0126858a","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268580","01268580","01268596","01bbb1c0","DAT_01bbb1c0","undefined4","-0x44bf19b2","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268580","01268580","012685a1","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268580","01268580","012685e0","01bee88c","DAT_01bee88c","undefined4","0x0","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268580","01268580","012685e5","01bee890","DAT_01bee890","undefined4","0x0","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268580","01268580","012687d7","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\CreateRestoreTabPanel.original.c"
"FUN_01268980","01268980","01268986","01bfe470","DAT_01bfe470","undefined4","0x0","decompiled\RestoreTab\InitializeRestoreTabPanel.original.c"
"FUN_01268e20","01268e20","01268e2a","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268e34","01bbb1c0","DAT_01bbb1c0","undefined4","-0x44bf19b2","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268e44","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268e91","01bb9b2c","DAT_01bb9b2c","undefined8","0x3f8000003f800000","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268e9b","01bfe468","DAT_01bfe468","undefined4","0x0","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268ea0","01bfb258","DAT_01bfb258","undefined4","0x0","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268eac","01bb9b34","DAT_01bb9b34","undefined4","0x3f800000","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268eda","01ae8a8c","s_UPGRADESYSTEM_DATA_RESTORE_BTN_01ae8a8c","string","UPGRADESYSTEM_DATA_RESTORE_BTN","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268f4e","01ae3e9c","s_System\Btn_Nor13.tga_01ae3e9c","string","System\Btn_Nor13.tga","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268fb4","01ae8a6c","s_EquipSystem\Mail_List_Box_1.tga_01ae8a6c","string","EquipSystem\Mail_List_Box_1.tga","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","01268fd0","01ae8ad0","s_Control_G\Popup\N2Dlg_Line.tga_01ae8ad0","string","Control_G\Popup\N2Dlg_Line.tga","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","0126900f","01ae893c","s_Random_box\bar_arrow.png_01ae893c","string","Random_box\bar_arrow.png","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","0126902b","01ae893c","s_Random_box\bar_arrow.png_01ae893c","string","Random_box\bar_arrow.png","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01268e20","01268e20","0126903a","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_012696e0","012696e0","012696fd","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","0126970b","01bbb1c0","DAT_01bbb1c0","undefined4","-0x44bf19b2","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","0126971b","ffdff000","ExceptionList","void *","00000000","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269831","01b025d4","DAT_01b025d4","undefined4","0x3ea8a8a9","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269839","01bfe468","DAT_01bfe468","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269855","01b026e0","DAT_01b026e0","undefined4","0x3f570a3d","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","0126986b","01ac5dd8","DAT_01ac5dd8","undefined2","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269914","01bb9b2c","DAT_01bb9b2c","undefined8","0x3f8000003f800000","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","0126991f","01bb9b34","DAT_01bb9b34","undefined4","0x3f800000","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269927","01ae2c40","s_EquipSystem\Upgrade_Slot.tga_01ae2c40","string","EquipSystem\Upgrade_Slot.tga","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269952","01ae2c40","s_EquipSystem\Upgrade_Slot.tga_01ae2c40","string","EquipSystem\Upgrade_Slot.tga","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269957","01bfbd40","DAT_01bfbd40","undefined1","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","012699c1","01bee890","DAT_01bee890","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","012699c7","01bee88c","DAT_01bee88c","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269a69","01bee890","DAT_01bee890","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269a6f","01bee88c","DAT_01bee88c","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269aa1","01ae8aac","s_Item_Make\Make_ani_gauge_pixel.t_01ae8aac","string","Item_Make\Make_ani_gauge_pixel.tga","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269aab","01ae2c40","s_EquipSystem\Upgrade_Slot.tga_01ae2c40","string","EquipSystem\Upgrade_Slot.tga","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269ae7","019ec8ec","PTR_fmaxf_019ec8ec","pointer","76b78a90","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269b9a","01ae673c","DAT_01ae673c","undefined4","0x122b370","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
"FUN_012696e0","012696e0","01269dc0","01bfe468","DAT_01bfe468","undefined4","0x0","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c"
