"CopiedPath","Line","Value"
"decompiled\ValidationAndPackets\HandleRestoreErrorCode.original.c","88","DATA_RESTORE_ERROR_CODE_01aeb12c"
"decompiled\RestoreTab\HandleRestoreResultMessage.original.c","58","DATA_RESTORE_FAIL_01ae8c30"
"decompiled\RestoreTab\HandleRestoreResultMessage.original.c","36","DATA_RESTORE_SUCCESS_01ae8bd4"
"decompiled\TransferTab\HandleTransferResultMessage.original.c","59","DATA_TRANSFER_CONFLICT_01ae8d0c"
"decompiled\ValidationAndPackets\HandleTransferErrorCode.original.c","91","DATA_TRANSFER_ERROR_CODE_01aeb0dc"
"decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c","169","DATA_TRANSFER_GRADE_ERROR_01aeb19c"
"decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c","122","DATA_TRANSFER_NO_DATA_EQUIPMENT_01aeb144"
"decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c","156","DATA_TRANSFER_NO_DATA_EQUIPMENT_01aeb144"
"decompiled\TransferTab\HandleTransferResultMessage.original.c","37","DATA_TRANSFER_SUCCESS_01ae8d24"
"decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","89","EquipSystem_glow_bg_tga_01ae8b2c"
"decompiled\RestoreTab\BuildRestoreTabLayout.original.c","97","EquipSystem_Mail_List_Box_1_tga_01ae8a6c"
"decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","64","EquipSystem_Recharge_bg_tga_01ae8ed4"
"decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","114","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\RestoreTab\BuildRestoreUpgradeText.original.c","73","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\RestoreTab\BuildRestoreUpgradeText.original.c","99","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\StrengthenTab\BuildStrengthenUpgradeText.original.c","77","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\StrengthenTab\BuildStrengthenUpgradeText.original.c","103","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\StrengthenTab\RefreshStrengthenCostAndMaterials.original.c","389","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\StrengthenTab\RefreshStrengthenCostAndMaterials.original.c","433","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\TransferTab\BuildTransferUpgradeText.original.c","73","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\TransferTab\BuildTransferUpgradeText.original.c","99","EQUIPSYSTEM_UPGRADE_01ae8b74"
"decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c","230","EQUIPSYSTEM_UPGRADE_ADDITIONAL_M_01aeb20c"
"decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","89","EQUIPSYSTEM_UPGRADE_BACKUPDISK_01ae8dec"
"decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","73","EQUIPSYSTEM_UPGRADE_DESTROY_01ae8e44"
"decompiled\RestoreTab\BuildRestoreResultEffect.original.c","91","EquipSystem_Upgrade_Destroy_Effe_01ae8bac"
"decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","114","EquipSystem_Upgrade_Destroy_Effe_01ae8bac"
"decompiled\TransferTab\BuildTransferResultEffect.original.c","91","EquipSystem_Upgrade_Destroy_Effe_01ae8bac"
"decompiled\ValidationAndPackets\ConfirmUpgradeDestroyRisk.original.c","70","EQUIPSYSTEM_UPGRADE_DESTROY_REMI_01aeb1e8"
"decompiled\ValidationAndPackets\ConfirmUpgradeDestroyRisk.original.c","119","EQUIPSYSTEM_UPGRADE_DESTROY_REMI_01aeb1e8"
"decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","49","EquipSystem_Upgrade_Empty_Line_t_01ae8b88"
