"Note","Value","Address","Kind"
"restore response packet string found in official dump","GS2C_RES_ITEM_UPGRADE_DATA_RESTORE","01acc3f8","server_response"
"transfer response packet string found in official dump","GS2C_RES_ITEM_UPGRADE_DATA_TRANSFER","01acc42c","server_response"
"item-upgrade result structure string","stProcessItemUpgradeResult","01acc488","result_struct"
"transfer request packet string found in official dump","C2GS_REQ_ITEM_UPGRADE_DATA_TRANSFER","01aeb28c","client_request"
"strengthen request packet string found in official dump","C2GS_REQ_ITEM_UPGRADE","01aeb2c0","client_request"
"restore request class RTTI",".?AVC2GS_REQ_ITEM_UPGRADE_DATA_RESTORE@@","01bdd664","rtti"
"transfer request class RTTI",".?AVC2GS_REQ_ITEM_UPGRADE_DATA_TRANSFER@@","01bdd698","rtti"
"strengthen request class RTTI",".?AVC2GS_REQ_ITEM_UPGRADE@@","01bdd6cc","rtti"
"restore response class RTTI",".?AVGS2C_RES_ITEM_UPGRADE_DATA_RESTORE@@","01bd2c38","rtti"
"transfer response class RTTI",".?AVGS2C_RES_ITEM_UPGRADE_DATA_TRANSFER@@","01bd2c6c","rtti"
"result struct RTTI",".?AUstProcessItemUpgradeResult@nsItemUpgrade@@","01bd2cc4","rtti"
