"AssetPath","Type","FoundBy","Entry","RefAddr","CopiedPath","PackHint","ExtractionStatus"
"CommonUI\CommonUI_close.tga","tga","FUN_01278ad0","01278ad0","01278c07","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","Pack01 interface/sound","mapped only"
"CommonUI\Menu_tap_btn.tga","tga","FUN_01278ad0","01278ad0","01278c3e","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","Pack01 interface/sound","mapped only"
"CommonUI\Menu_tap_btn.tga","tga","FUN_01278ad0","01278ad0","01278dda","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","Pack01 interface/sound","mapped only"
"CommonUI\Menu_tap_btn.tga","tga","FUN_01278ad0","01278ad0","01278f39","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","Pack01 interface/sound","mapped only"
"Control_G\Popup\N2Dlg_Line.tga","tga","FUN_01268e20","01268e20","01268fd0","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","Pack01 interface/sound","mapped only"
"EI_Item\Outbox_1.tga","tga","FUN_012b1e10","012b1e10","012b1e87","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","Pack01 interface/sound","mapped only"
"EI_Item\Outbox_2.tga","tga","FUN_012b1e10","012b1e10","012b1e90","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","Pack01 interface/sound","mapped only"
"EI_Item\Outbox_3.tga","tga","FUN_012b1e10","012b1e10","012b1e99","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","Pack01 interface/sound","mapped only"
"EI_Item\Outbox_4.tga","tga","FUN_012b1e10","012b1e10","012b1ea2","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","Pack01 interface/sound","mapped only"
"EI_Item\Outbox_5.tga","tga","FUN_012b1e10","012b1e10","012b1eab","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\glow_bg.tga","tga","FUN_0126ae30","0126ae30","0126af11","decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\glow_bg.tga","tga","FUN_0126ae30","0126ae30","0126af39","decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Mail_List_Box_1.tga","tga","FUN_01268e20","01268e20","01268fb4","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Recharge_bg.tga","tga","FUN_01278ad0","01278ad0","01278b5b","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Destroy_Effect.dds","dds","FUN_0126b5b0","0126b5b0","0126b7b7","decompiled\RestoreTab\BuildRestoreResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Destroy_Effect.dds","dds","FUN_012703e0","012703e0","012705e7","decompiled\TransferTab\BuildTransferResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Destroy_Effect.dds","dds","FUN_01275e30","01275e30","012760cf","decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_0126b830","0126b830","0126b8fd","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_0126b830","0126b830","0126ba4e","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01270660","01270660","0127072d","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01270660","01270660","0127087e","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01276140","01276140","01276210","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01276140","01276140","01276364","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01276140","01276140","012764c8","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01276140","01276140","0127661c","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Empty_Line.tga","tga","FUN_01276140","01276140","01276780","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Fail_Effect.dds","dds","FUN_01275e30","01275e30","01276022","decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_IC_BG.tga","tga","FUN_0126a270","0126a270","0126a3e7","decompiled\RestoreTab\BuildRestoreIconBackgrounds.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_IC_BG.tga","tga","FUN_0126a270","0126a270","0126a415","decompiled\RestoreTab\BuildRestoreIconBackgrounds.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_0126b830","0126b830","0126bb06","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_0126b830","0126b830","0126bb1f","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01270660","01270660","01270936","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01270660","01270660","0127094f","decompiled\TransferTab\BuildTransferConnectionLines.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01276140","01276140","0127684b","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01276140","01276140","01276867","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01276140","01276140","01276883","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_horizontal.tga","tga","FUN_01276140","01276140","0127689f","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Line_vertical.tga","tga","FUN_01276140","01276140","012768bb","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Progress_Effect.dds","dds","FUN_0126b5b0","0126b5b0","0126b633","decompiled\RestoreTab\BuildRestoreResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Progress_Effect.dds","dds","FUN_012703e0","012703e0","01270463","decompiled\TransferTab\BuildTransferResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Progress_Effect.dds","dds","FUN_01275e30","01275e30","01275eb3","decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","Pack01 interface/sound","mapped only"
