"Function","Entry","RefAddr","Address","Symbol","Kind","Value","CopiedPath"
"FUN_012af440","012af440","012af4df","01aeb12c","s_DATA_RESTORE_ERROR_CODE_01aeb12c","string","DATA_RESTORE_ERROR_CODE","decompiled\ValidationAndPackets\HandleRestoreErrorCode.original.c"
"FUN_0126c260","0126c260","0126c2bf","01ae8c30","s_DATA_RESTORE_FAIL_01ae8c30","string","DATA_RESTORE_FAIL","decompiled\RestoreTab\HandleRestoreResultMessage.original.c"
"FUN_0126c260","0126c260","0126c33c","01ae8bd4","s_DATA_RESTORE_SUCCESS_01ae8bd4","string","DATA_RESTORE_SUCCESS","decompiled\RestoreTab\HandleRestoreResultMessage.original.c"
"FUN_01271060","01271060","012710bb","01ae8d0c","s_DATA_TRANSFER_CONFLICT_01ae8d0c","string","DATA_TRANSFER_CONFLICT","decompiled\TransferTab\HandleTransferResultMessage.original.c"
"FUN_012af150","012af150","012af1ef","01aeb0dc","s_DATA_TRANSFER_ERROR_CODE_01aeb0dc","string","DATA_TRANSFER_ERROR_CODE","decompiled\ValidationAndPackets\HandleTransferErrorCode.original.c"
"FUN_012b1590","012b1590","012b1739","01aeb19c","s_DATA_TRANSFER_GRADE_ERROR_01aeb19c","string","DATA_TRANSFER_GRADE_ERROR","decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c"
"FUN_012b1590","012b1590","012b171f","01aeb144","s_DATA_TRANSFER_NO_DATA_EQUIPMENT_01aeb144","string","DATA_TRANSFER_NO_DATA_EQUIPMENT","decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c"
"FUN_012b1590","012b1590","012b1945","01aeb144","s_DATA_TRANSFER_NO_DATA_EQUIPMENT_01aeb144","string","DATA_TRANSFER_NO_DATA_EQUIPMENT","decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c"
"FUN_01271060","01271060","0127112a","01ae8d24","s_DATA_TRANSFER_SUCCESS_01ae8d24","string","DATA_TRANSFER_SUCCESS","decompiled\TransferTab\HandleTransferResultMessage.original.c"
"FUN_0128ac10","0128ac10","0128ad04","01ae9be4","s_DataTradeDigimonUpgrade_01ae9be4","string","DataTradeDigimonUpgrade","decompiled\Launcher\CreateDataTradeDigimonUpgradeWindow.original.c"
"FUN_0128c370","0128c370","0128c43c","01ae9d98","s_EquipmentUpgradeSystem_01ae9d98","string","EquipmentUpgradeSystem","decompiled\Launcher\CreateEquipmentUpgradeSystemWindow.original.c"
"FUN_0126b2e0","0126b2e0","0126b379","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\RestoreTab\BuildRestoreUpgradeText.original.c"
"FUN_0126b2e0","0126b2e0","0126b417","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\RestoreTab\BuildRestoreUpgradeText.original.c"
"FUN_01270110","01270110","012701a9","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\TransferTab\BuildTransferUpgradeText.original.c"
"FUN_01270110","01270110","01270247","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\TransferTab\BuildTransferUpgradeText.original.c"
"FUN_012742c0","012742c0","01274be7","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\StrengthenTab\RefreshStrengthenCostAndMaterials.original.c"
"FUN_012742c0","012742c0","01274d05","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\StrengthenTab\RefreshStrengthenCostAndMaterials.original.c"
"FUN_01275b40","01275b40","01275bdc","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\StrengthenTab\BuildStrengthenUpgradeText.original.c"
"FUN_01275b40","01275b40","01275c79","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\StrengthenTab\BuildStrengthenUpgradeText.original.c"
"FUN_01278ad0","01278ad0","01278cc9","01ae8b74","s_EQUIPSYSTEM_UPGRADE_01ae8b74","string","EQUIPSYSTEM_UPGRADE","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c"
"FUN_012b5fb0","012b5fb0","012b6296","01aeb20c","s_EQUIPSYSTEM_UPGRADE_ADDITIONAL_M_01aeb20c","string","EQUIPSYSTEM_UPGRADE_ADDITIONAL_MATERIAL_LACK","decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c"
"FUN_01277870","01277870","012779b3","01ae8dec","s_EQUIPSYSTEM_UPGRADE_BACKUPDISK_01ae8dec","string","EQUIPSYSTEM_UPGRADE_BACKUPDISK","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c"
"FUN_01277870","01277870","012779fa","01ae8e44","s_EQUIPSYSTEM_UPGRADE_DESTROY_01ae8e44","string","EQUIPSYSTEM_UPGRADE_DESTROY","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c"
"FUN_012b5c70","012b5c70","012b5cd9","01aeb1e8","s_EQUIPSYSTEM_UPGRADE_DESTROY_REMI_01aeb1e8","string","EQUIPSYSTEM_UPGRADE_DESTROY_REMIND","decompiled\ValidationAndPackets\ConfirmUpgradeDestroyRisk.original.c"
"FUN_012b5c70","012b5c70","012b5e2a","01aeb1e8","s_EQUIPSYSTEM_UPGRADE_DESTROY_REMI_01aeb1e8","string","EQUIPSYSTEM_UPGRADE_DESTROY_REMIND","decompiled\ValidationAndPackets\ConfirmUpgradeDestroyRisk.original.c"
"FUN_012aee10","012aee10","012aee9b","01aeb0f8","s_EQUIPSYSTEM_UPGRADE_ERROR_CODE_01aeb0f8","string","EQUIPSYSTEM_UPGRADE_ERROR_CODE","decompiled\ValidationAndPackets\HandleUpgradeErrorCode.original.c"
"FUN_01277870","01277870","0127793d","01ae8e0c","s_EQUIPSYSTEM_UPGRADE_FAIL_01ae8e0c","string","EQUIPSYSTEM_UPGRADE_FAIL","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c"
"FUN_0126a6b0","0126a6b0","0126aacc","01ae8af0","s_EQUIPSYSTEM_UPGRADE_GRADE_01ae8af0","string","EQUIPSYSTEM_UPGRADE_GRADE","decompiled\RestoreTab\RenderRestoreGradeText.original.c"
"FUN_0126a6b0","0126a6b0","0126abe7","01ae8af0","s_EQUIPSYSTEM_UPGRADE_GRADE_01ae8af0","string","EQUIPSYSTEM_UPGRADE_GRADE","decompiled\RestoreTab\RenderRestoreGradeText.original.c"
"FUN_0126ef40","0126ef40","0126f2e0","01ae8af0","s_EQUIPSYSTEM_UPGRADE_GRADE_01ae8af0","string","EQUIPSYSTEM_UPGRADE_GRADE","decompiled\TransferTab\RenderTransferGradeText.original.c"
"FUN_0126ef40","0126ef40","0126f400","01ae8af0","s_EQUIPSYSTEM_UPGRADE_GRADE_01ae8af0","string","EQUIPSYSTEM_UPGRADE_GRADE","decompiled\TransferTab\RenderTransferGradeText.original.c"
"FUN_012b5fb0","012b5fb0","012b6305","01aeb23c","s_EQUIPSYSTEM_UPGRADE_MATERIAL_LAC_01aeb23c","string","EQUIPSYSTEM_UPGRADE_MATERIAL_LACK","decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c"
"FUN_012b0060","012b0060","012b00b4","01aeb164","s_EQUIPSYSTEM_UPGRADE_MAX_GRADE_01aeb164","string","EQUIPSYSTEM_UPGRADE_MAX_GRADE","decompiled\ValidationAndPackets\ValidateUpgradeMaxGrade.original.c"
"FUN_012b5fb0","012b5fb0","012b6040","01aeb164","s_EQUIPSYSTEM_UPGRADE_MAX_GRADE_01aeb164","string","EQUIPSYSTEM_UPGRADE_MAX_GRADE","decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c"
"FUN_012b5fb0","012b5fb0","012b63be","01ace3dc","s_EQUIPSYSTEM_UPGRADE_MONEY_LACK_01ace3dc","string","EQUIPSYSTEM_UPGRADE_MONEY_LACK","decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c"
"FUN_012b6bf0","012b6bf0","012b6d3c","01ace3dc","s_EQUIPSYSTEM_UPGRADE_MONEY_LACK_01ace3dc","string","EQUIPSYSTEM_UPGRADE_MONEY_LACK","decompiled\ValidationAndPackets\ValidateRequiredItemCount.original.c"
"FUN_01277870","01277870","012778cd","01ae8da8","s_EQUIPSYSTEM_UPGRADE_SUCCESS_01ae8da8","string","EQUIPSYSTEM_UPGRADE_SUCCESS","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c"
"FUN_012b6bf0","012b6bf0","012b6de5","01aeb260","s_NEED_ITEM_LACK_01aeb260","string","NEED_ITEM_LACK","decompiled\ValidationAndPackets\ValidateRequiredItemCount.original.c"
"FUN_01268e20","01268e20","01268eda","01ae8a8c","s_UPGRADESYSTEM_DATA_RESTORE_BTN_01ae8a8c","string","UPGRADESYSTEM_DATA_RESTORE_BTN","decompiled\RestoreTab\BuildRestoreTabLayout.original.c"
"FUN_01278ad0","01278ad0","01278fbf","01ae8ef0","s_UPGRADESYSTEM_TAB_UPGRADE_DATA_R_01ae8ef0","string","UPGRADESYSTEM_TAB_UPGRADE_DATA_RESTORE","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c"
"FUN_01278ad0","01278ad0","01278e60","01ae8f18","s_UPGRADESYSTEM_TAB_UPGRADE_DATA_T_01ae8f18","string","UPGRADESYSTEM_TAB_UPGRADE_DATA_TRANSFER","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c"
"FUN_01278ad0","01278ad0","01278b8f","01ad2990","s_UPGRADESYSTEM_TITLE_01ad2990","string","UPGRADESYSTEM_TITLE","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c"
