"Entry","OriginalFile","CopiedPath","Role","Status"
"0128c370","C:\0-NewDmo\unpacked_exe_all\functions\0128c370_FUN_0128c370.c","decompiled\Launcher\CreateEquipmentUpgradeSystemWindow.original.c","constructs EquipmentUpgradeSystem viewer","copied"
"0128ac10","C:\0-NewDmo\unpacked_exe_all\functions\0128ac10_FUN_0128ac10.c","decompiled\Launcher\CreateDataTradeDigimonUpgradeWindow.original.c","constructs DataTradeDigimonUpgrade related registered window","copied"
"01278ad0","C:\0-NewDmo\unpacked_exe_all\functions\01278ad0_FUN_01278ad0.c","decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","builds Gerenciamento frame, close button, tabs, and child panels","copied"
"01278990","C:\0-NewDmo\unpacked_exe_all\functions\01278990_FUN_01278990.c","decompiled\MainWindow\AttachUpgradeViewerToParent.original.c","resolves parent viewer and registers events","copied"
"01279340","C:\0-NewDmo\unpacked_exe_all\functions\01279340_FUN_01279340.c","decompiled\MainWindow\UpdateUpgradeManagementMouseState.original.c","window input/update hit testing","copied"
"01279670","C:\0-NewDmo\unpacked_exe_all\functions\01279670_FUN_01279670.c","decompiled\MainWindow\BindUpgradeCloseButton.original.c","close button event binding","copied"
"01268580","C:\0-NewDmo\unpacked_exe_all\functions\01268580_FUN_01268580.c","decompiled\RestoreTab\CreateRestoreTabPanel.original.c","constructs restore panel","copied"
"01268980","C:\0-NewDmo\unpacked_exe_all\functions\01268980_FUN_01268980.c","decompiled\RestoreTab\InitializeRestoreTabPanel.original.c","initializes restore panel","copied"
"01268e20","C:\0-NewDmo\unpacked_exe_all\functions\01268e20_FUN_01268e20.c","decompiled\RestoreTab\BuildRestoreTabLayout.original.c","restore layout and button","copied"
"012696e0","C:\0-NewDmo\unpacked_exe_all\functions\012696e0_FUN_012696e0.c","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","restore slot widgets and gauge pixels","copied"
"0126a270","C:\0-NewDmo\unpacked_exe_all\functions\0126a270_FUN_0126a270.c","decompiled\RestoreTab\BuildRestoreIconBackgrounds.original.c","restore icon backgrounds","copied"
"0126a6b0","C:\0-NewDmo\unpacked_exe_all\functions\0126a6b0_FUN_0126a6b0.c","decompiled\RestoreTab\RenderRestoreGradeText.original.c","restore grade text","copied"
"0126ae30","C:\0-NewDmo\unpacked_exe_all\functions\0126ae30_FUN_0126ae30.c","decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","restore glow and target slot","copied"
"0126b2e0","C:\0-NewDmo\unpacked_exe_all\functions\0126b2e0_FUN_0126b2e0.c","decompiled\RestoreTab\BuildRestoreUpgradeText.original.c","restore tab text","copied"
"0126b5b0","C:\0-NewDmo\unpacked_exe_all\functions\0126b5b0_FUN_0126b5b0.c","decompiled\RestoreTab\BuildRestoreResultEffect.original.c","restore success/fail effect","copied"
"0126b830","C:\0-NewDmo\unpacked_exe_all\functions\0126b830_FUN_0126b830.c","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","restore horizontal lines","copied"
"0126bd30","C:\0-NewDmo\unpacked_exe_all\functions\0126bd30_FUN_0126bd30.c","decompiled\RestoreTab\ResetRestoreSlotTexture.original.c","restore slot reset","copied"
"0126c420","C:\0-NewDmo\unpacked_exe_all\functions\0126c420_FUN_0126c420.c","decompiled\RestoreTab\ApplyRestoreSlotVisual.original.c","restore slot visual update","copied"
"0126c260","C:\0-NewDmo\unpacked_exe_all\functions\0126c260_FUN_0126c260.c","decompiled\RestoreTab\HandleRestoreResultMessage.original.c","restore result message and sound","copied"
"0126c670","C:\0-NewDmo\unpacked_exe_all\functions\0126c670_FUN_0126c670.c","decompiled\RestoreTab\PlayRestoreProcessSound.original.c","restore process sound","copied"
"0126c890","C:\0-NewDmo\unpacked_exe_all\functions\0126c890_FUN_0126c890.c","decompiled\RestoreTab\BindRestoreButtonHandler.original.c","restore button handler","copied"
"0126cb80","C:\0-NewDmo\unpacked_exe_all\functions\0126cb80_FUN_0126cb80.c","decompiled\TransferTab\CreateTransferTabPanel.original.c","constructs transfer panel","copied"
"0126cfc0","C:\0-NewDmo\unpacked_exe_all\functions\0126cfc0_FUN_0126cfc0.c","decompiled\TransferTab\InitializeTransferTabPanel.original.c","initializes transfer panel","copied"
"0126d080","C:\0-NewDmo\unpacked_exe_all\functions\0126d080_FUN_0126d080.c","decompiled\TransferTab\BuildTransferTabLayout.original.c","transfer layout","copied"
"0126ef40","C:\0-NewDmo\unpacked_exe_all\functions\0126ef40_FUN_0126ef40.c","decompiled\TransferTab\RenderTransferGradeText.original.c","transfer grade text","copied"
"01270110","C:\0-NewDmo\unpacked_exe_all\functions\01270110_FUN_01270110.c","decompiled\TransferTab\BuildTransferUpgradeText.original.c","transfer text","copied"
"012703e0","C:\0-NewDmo\unpacked_exe_all\functions\012703e0_FUN_012703e0.c","decompiled\TransferTab\BuildTransferResultEffect.original.c","transfer result effect","copied"
"01270660","C:\0-NewDmo\unpacked_exe_all\functions\01270660_FUN_01270660.c","decompiled\TransferTab\BuildTransferConnectionLines.original.c","transfer horizontal lines","copied"
"01270b90","C:\0-NewDmo\unpacked_exe_all\functions\01270b90_FUN_01270b90.c","decompiled\TransferTab\ResetTransferSlotTexture.original.c","transfer slot reset","copied"
"01271060","C:\0-NewDmo\unpacked_exe_all\functions\01271060_FUN_01271060.c","decompiled\TransferTab\HandleTransferResultMessage.original.c","transfer result message and sound","copied"
"012713a0","C:\0-NewDmo\unpacked_exe_all\functions\012713a0_FUN_012713a0.c","decompiled\TransferTab\ApplyTransferSlotVisual.original.c","transfer slot visual update","copied"
"01271aa0","C:\0-NewDmo\unpacked_exe_all\functions\01271aa0_FUN_01271aa0.c","decompiled\TransferTab\PlayTransferProcessSound.original.c","transfer process sound","copied"
"01271e80","C:\0-NewDmo\unpacked_exe_all\functions\01271e80_FUN_01271e80.c","decompiled\StrengthenTab\CreateStrengthenTabPanel.original.c","constructs strengthen panel","copied"
"01272200","C:\0-NewDmo\unpacked_exe_all\functions\01272200_FUN_01272200.c","decompiled\StrengthenTab\InitializeStrengthenTabPanel.original.c","initializes strengthen panel","copied"
"01272360","C:\0-NewDmo\unpacked_exe_all\functions\01272360_FUN_01272360.c","decompiled\StrengthenTab\BuildStrengthenTabLayout.original.c","strengthen layout","copied"
"012742c0","C:\0-NewDmo\unpacked_exe_all\functions\012742c0_FUN_012742c0.c","decompiled\StrengthenTab\RefreshStrengthenCostAndMaterials.original.c","strengthen cost/material refresh","copied"
"01275b40","C:\0-NewDmo\unpacked_exe_all\functions\01275b40_FUN_01275b40.c","decompiled\StrengthenTab\BuildStrengthenUpgradeText.original.c","strengthen text","copied"
