"Name","Kind","Source","Destination","Length","Status"
"DM_ItemUpgrade-Data","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_ItemUpgrade-Data.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\DM_ItemUpgrade-Data.xml","14356864","copied"
"DM_ItemUpgrade-Data","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_ItemUpgrade-Data.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\DM_ItemUpgrade-Data.bin","455840","copied"
"DM_ItemUpgrade-EtcValue","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_ItemUpgrade-EtcValue.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\DM_ItemUpgrade-EtcValue.xml","722","copied"
"DM_ItemUpgrade-EtcValue","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_ItemUpgrade-EtcValue.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\DM_ItemUpgrade-EtcValue.bin","20","copied"
"DM_ItemUpgrade-Transfer","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_ItemUpgrade-Transfer.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\DM_ItemUpgrade-Transfer.xml","877462","copied"
"DM_ItemUpgrade-Transfer","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_ItemUpgrade-Transfer.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\DM_ItemUpgrade-Transfer.bin","29092","copied"
"DM_ItemUpgrade-Restore","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_ItemUpgrade-Restore.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\DM_ItemUpgrade-Restore.xml","167268","copied"
"DM_ItemUpgrade-Restore","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_ItemUpgrade-Restore.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\DM_ItemUpgrade-Restore.bin","5380","copied"
"DM_ItemUpgrade-MaterialGroup","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_ItemUpgrade-MaterialGroup.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\DM_ItemUpgrade-MaterialGroup.xml","1630","copied"
"DM_ItemUpgrade-MaterialGroup","bin","C:\0-NewDmo\Dcommerce\Bin\Table\DM_ItemUpgrade-MaterialGroup.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\DM_ItemUpgrade-MaterialGroup.bin","52","copied"
"ItemData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemData.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\ItemData.xml","145662269","copied"
"ItemData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemData.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\ItemData.bin","3210660","copied"
"ItemType","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemType.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\ItemType.xml","223219","copied"
"ItemType","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemType.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\ItemType.bin","6932","copied"
"ItemRankData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemRankData.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\ItemRankData.xml","24598086","copied"
"ItemRankData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemRankData.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\ItemRankData.bin","622956","copied"
"ItemRankEffectData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\ItemRankEffectData.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\ItemRankEffectData.xml","833130","copied"
"ItemRankEffectData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\ItemRankEffectData.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\ItemRankEffectData.bin","26264","copied"
"QuestItemData","xml","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\QuestItemData.xml","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\xml\QuestItemData.xml","155736775","copied"
"QuestItemData","bin","C:\0-NewDmo\Dcommerce\Bin\Table\QuestItemData.bin","C:\0-NewDmo\ItemUpgradeManagementFeature\tables\bin\QuestItemData.bin","3438657","copied"
