"TamerId","Status","Show","Enable","Icon","Costumes"
"80001","preserved-existing","1","1","0","17001|17003|17052|17001"
"80002","preserved-existing","1","1","2","17001|17037|17267|18332"
"80003","preserved-existing","1","1","1","17001|17037|17290|17003"
"80004","preserved-existing","1","1","3","17003|17076|18208"
"80005","preserved-existing","1","0","4","18314|17054|18208"
"80006","preserved-existing","1","0","5","18322|17054|18208"
"80007","preserved-existing","1","0","6","17041|18326|18208"
"80008","preserved-existing","1","0","7","17041|18330|18208"
"80009","preserved-existing","1","0","8","17041|18334|18208"
"80010","preserved-existing","1","0","9","17041|18318|18208"
"80011","added-new","1","0","12",""
"80012","added-new","1","0","13",""
"80013","added-new","1","0","14",""
"80014","preserved-existing","1","0","10",""
"80015","preserved-existing","1","0","11",""
"80016","added-new","1","0","15",""
"80017","added-new","1","0","16",""
"80018","added-new","1","0","17",""
"80019","added-new","1","0","18",""
"80020","added-new","1","0","19",""
"80021","added-new","1","0","20",""
