"TamerId","TamerType","LevelsWritten","Level1Hp","Level1Ds","Level1At"
"80001","1","120","90","80","10"
"80002","2","120","100","90","8"
"80003","3","120","90","100","8"
"80004","4","120","80","90","10"
"80005","5","120","90","80","10"
"80006","6","120","90","100","8"
"80007","7","120","80","90","10"
"80008","8","120","100","90","8"
"80009","9","120","90","100","8"
"80010","10","120","90","80","10"
"80011","11","120","90","80","10"
"80012","12","120","100","90","8"
"80013","13","120","80","90","10"
"80014","14","120","100","90","8"
"80015","15","120","70","90","10"
"80016","16","120","90","100","8"
"80017","17","120","90","80","10"
"80018","18","120","90","80","10"
"80019","19","120","90","100","8"
"80020","20","120","80","90","10"
"80021","21","120","90","80","10"
