"Index","Code","Type","Factor1","Factor2","TamerSeqId","DigimonSeqId","UseState","UseAreaCheck","Available"
"7","8000512","2","1","40146","0","901321","0","1","1"
"8","8000513","2","1","40146","0","901321","0","1","1"
"9","8000612","3","2","30000","0","901321","0","1","1"
"10","8000613","3","2","60000","0","901321","0","1","1"
"11","8000622","3","1","5010","0","0","1","1","1"
"12","8000623","3","1","5010","0","0","1","1","1"
"13","8000812","3","1","9092","901906","0","0","1","1"
"14","8000813","3","1","9092","901906","0","0","1","1"
"15","8000822","3","1","9801","0","0","1","1","1"
"16","8000823","3","1","9801","0","0","1","1","1"
"17","8000712","3","3","0","0","0","1","1","1"
"18","8000713","3","3","0","0","0","1","1","1"
"19","8000111","1","8000111","0","901311","0","0","1","1"
"20","8000121","4","1","40211","0","0","0","0","0"
"21","8000131","4","1","40212","0","0","0","0","0"
"22","8000211","2","1","40213","901112","0","0","1","1"
"23","8000221","4","1","40214","0","0","0","0","0"
"24","8000231","4","1","40215","0","0","0","0","0"
"25","8000311","2","1","40216","901112","0","0","1","1"
"26","8000321","4","1","40217","0","0","0","0","0"
"27","8000331","4","1","40218","0","0","0","0","0"
"28","8000411","2","1","40219","901112","0","0","1","1"
"29","8000421","4","1","40220","0","0","0","0","0"
"30","8000431","4","1","40221","0","0","0","0","0"
"31","8000511","2","1","40222","0","901321","0","1","1"
"32","8000521","4","1","40223","0","0","0","0","0"
"33","8000531","4","1","40224","0","0","0","0","0"
"34","8000611","3","1","9091","901112","0","0","1","1"
"35","8000621","4","1","40226","0","0","0","0","0"
"36","8000631","4","1","40227","0","0","0","0","0"
"37","8000711","2","1","40228","0","901321","0","1","1"
"38","8000721","4","1","40229","0","0","0","0","0"
"39","8000731","4","1","40230","0","0","0","0","0"
"40","8000811","3","1","9092","901112","0","0","1","1"
"41","8000821","4","1","40232","0","0","0","0","0"
"42","8000831","4","1","40233","0","0","0","0","0"
"43","8000911","2","1","40234","901112","0","0","1","1"
"44","8000921","4","1","40235","0","0","0","0","0"
"45","8000931","4","1","40236","0","0","0","0","0"
"46","8001011","2","1","40237","901112","0","0","1","1"
"47","8001021","4","1","40238","0","0","0","0","0"
"48","8001031","4","1","40239","0","0","0","0","0"
"49","8100000","4","1","40260","0","0","0","1","1"
"50","8100001","4","1","40261","0","0","0","1","1"
"51","8001200","2","1","40262","0","0","0","1","1"
"52","8001201","3","1","9091","0","0","0","1","1"
"53","8001202","2","1","40264","0","0","0","1","1"
"54","8001203","2","1","40265","0","0","0","1","1"
"55","8001204","2","1","40266","0","0","0","1","1"
"57","8001205","2","1","40146","0","901321","0","1","1"
"58","8001206","3","1","9092","901906","0","0","1","1"
"59","8001207","2","1","40262","0","0","0","1","1"
"60","8001208","3","1","9091","0","0","0","1","1"
"61","8001209","2","1","40264","0","0","0","1","1"
"62","8001210","2","1","40266","0","0","0","1","1"
"63","8001211","2","1","40272","0","0","0","1","1"
"64","8001212","2","1","40273","0","0","0","1","1"
"65","8001411","2","1","40274","901112","0","0","1","1"
"66","8001421","4","1","40275","0","0","0","0","0"
"67","8001431","4","1","40276","0","0","0","0","0"
"68","8001511","2","1","40277","901112","0","0","1","1"
"69","8001521","4","1","40278","0","0","0","0","0"
"70","8001531","4","1","40279","0","0","0","0","0"
"71","8001213","2","1","40280","0","901321","0","1","1"
"72","8001611","2","1","40281","901112","0","0","1","1"
"73","8001621","4","1","40282","0","0","0","0","0"
"74","8001631","4","1","40283","0","0","0","0","0"
"75","8001711","2","1","40284","901112","0","0","1","1"
"76","8001721","4","1","40285","0","0","0","0","0"
"77","8001731","4","1","40286","0","0","0","0","0"
"78","8001811","2","1","40287","901112","0","0","1","1"
"79","8001821","4","1","40288","0","0","0","0","0"
"80","8001831","4","1","40289","0","0","0","0","0"
"81","8001214","2","1","40290","901311","0","0","1","1"
"82","8001215","2","1","40291","901311","0","0","1","1"
"83","8001216","2","1","40292","901311","0","0","1","1"
"84","8001911","2","1","40293","901112","0","0","1","1"
"85","8001921","4","1","40294","0","0","0","0","0"
"86","8001931","4","1","40295","0","0","0","0","0"
"87","8002011","2","1","40296","901112","0","0","1","1"
"88","8002021","4","1","40297","0","0","0","0","0"
"89","8002031","4","1","40298","0","0","0","0","0"
"90","8001217","2","1","40258","901311","0","0","1","1"
"91","8001218","2","1","40259","901311","0","0","1","1"
"92","8001219","2","1","40351","0","0","0","1","1"
"93","8001220","2","1","40352","0","0","0","1","1"
"94","8001221","2","1","40353","0","901321","0","1","1"
"95","8001222","2","1","40354","901311","0","0","1","1"
"96","8001223","2","1","40355","901311","0","0","1","1"
"97","8001224","2","1","40356","901311","0","0","1","1"
"98","8001225","2","1","40357","901311","0","0","1","1"
"99","8001226","2","1","40358","901311","0","0","1","1"
