"TamerId","Name","TamerType","Status","SkillSlots","SourceSkillRefs"
"80001","Marcus Damon","1","updated-existing","19|20|21|0|0","109"
"80002","Thomas H. Norstein","2","updated-existing","22|23|24|0|0","109"
"80003","Yoshino Fujieda","3","updated-existing","25|26|27|0|0","109"
"80004","Keenan Krier","4","updated-existing","28|29|30|0|0","109"
"80005","Taichi Kamiya","5","updated-existing","31|32|33|0|0","109"
"80006","Mimi Tachikawa","6","updated-existing","34|35|36|0|0","109"
"80007","Matt Ishida","7","updated-existing","37|38|39|0|0","109"
"80008","Takeru T.K Takaishi","8","updated-existing","40|41|42|0|0","109"
"80009","Hikari Kamiya","9","updated-existing","43|44|45|0|0","109"
"80010","Sora Takenoushi ","10","updated-existing","46|47|48|0|0","109"
"80011","Takato Matsuki","11","added-new","72|73|74","109"
"80012","Rika Nonaka","12","added-new","75|76|77","109"
"80013","Henry Wong","13","added-new","78|79|80","109"
"80014","Koushiro Izzy Izumi","14","updated-existing","65|66|67|0|0","109"
"80015","Joe Kido","15","updated-existing","68|69|70|0|0","109"
"80016","Kato Jeri","16","added-new","84|85|86","109"
"80017","Akiyama Ryo","17","added-new","87|88|89","109"
"80018","Amanokawa Hiro","18","added-new","100|101|102","109"
"80019","Tsukiyono Ruli","19","added-new","103|104|105","109"
"80020","Higashimitarai Kiyoshiro","20","added-new","106|107|108","109"
"80021","Digimon Kaiser","21","added-new","109|110|111","109"
