"FromEntry","CleanFunction","FromAddress","DataAddress","Symbol","Value","RefType"
"011f9d20","BuildUnionCombineMainUI","011f9d7d","01adb0b4","s_Random_box\bg.png_01adb0b4","Random_box\bg.png","DATA"
"011f9d20","BuildUnionCombineMainUI","011f9d9a","01ae207c","s_DIGICOMBINE_TITLE_01ae207c","DIGICOMBINE_TITLE","DATA"
"011fb410","BuildUnionCombineContents","011fb458","01ae21d4","s_DIGICOMBINE_GRADE_01ae21d4","DIGICOMBINE_GRADE","DATA"
"011fbcd0","BuildUnionCombineRegisterUI","011fbd5a","01ae2224","s_Random_box\popup\rate_popup\rate_01ae2224","Random_box\popup\rate_popup\rate_popup_9.png","DATA"
"011fbcd0","BuildUnionCombineRegisterUI","011fbe75","01ae2254","s_DIGICOMBINE_COMBINE_DESC_01ae2254","DIGICOMBINE_COMBINE_DESC","DATA"
"011fbcd0","BuildUnionCombineRegisterUI","011fbd8e","01ae2270","s_DIGICOMBINE_POSSIBLE_ITEM_01ae2270","DIGICOMBINE_POSSIBLE_ITEM","DATA"
"011fc500","BindUnionCombineRegisterEvents","011fc706","01ae22b4","s_DIGICOMBINE_CEILING_COUNT_01ae22b4","DIGICOMBINE_CEILING_COUNT","DATA"
"011fced0","UpdateUnionCombineRegisterState","011fd09b","01ad6e94","s_CommonUI\arrow_Right.tga_01ad6e94","CommonUI\arrow_Right.tga","DATA"
"011fced0","UpdateUnionCombineRegisterState","011fd178","01ae1a84","s_DigiCombine\DigiCombine_CardBack_01ae1a84","DigiCombine\DigiCombine_CardBack.dds","DATA"
"011fd5f0","BuildUnionCombineMaterialRows","011fd6ca","01ae0f60","s_SealMaster\sealmaster_highlight._01ae0f60","SealMaster\sealmaster_highlight.tga","DATA"
"011fd5f0","BuildUnionCombineMaterialRows","011fd883","01ae228c","s_DigiCombine\DigiCombine_Slot_Emp_01ae228c","DigiCombine\DigiCombine_Slot_Empty.dds","DATA"
"011fd5f0","BuildUnionCombineMaterialRows","011fda8e","01ae22e8","s_DigiCombine\DigiCombine_Slot_ran_01ae22e8","DigiCombine\DigiCombine_Slot_rank.dds","DATA"
"011fd5f0","BuildUnionCombineMaterialRows","011fdb7d","01ae49e4","s_CommonUI\Digimon_rank_new.dds_01ae49e4","CommonUI\Digimon_rank_new.dds","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe23d","01ad9c38","s_COMMON_TXT_AUTO_REGISTER_01ad9c38","COMMON_TXT_AUTO_REGISTER","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe42e","01ada978","s_Cash\NewCashShop\Store_btn_G1.tg_01ada978","Cash\NewCashShop\Store_btn_G1.tga","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe4c0","01ada9bc","s_RANDOM_BOX_TXT_EXIT_01ada9bc","RANDOM_BOX_TXT_EXIT","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe0f7","01adaa9c","s_RANDOM_BOX_TXT_RATEINFO_01adaa9c","RANDOM_BOX_TXT_RATEINFO","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe2eb","01adac0c","s_Random_box\button\done.tga_01adac0c","Random_box\button\done.tga","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fddcc","01adac48","s_Random_box\button\Repurchase.tga_01adac48","Random_box\button\Repurchase.tga","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fdfaa","01adac6c","s_RANDOM_BOX_TXT_REWARD_01adac6c","RANDOM_BOX_TXT_REWARD","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe1a8","01adaf28","s_Random_box\button\Purchase_1.tga_01adaf28","Random_box\button\Purchase_1.tga","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fde63","01ae22d0","s_DIGICOMBINE_ADD_CANCLE_01ae22d0","DIGICOMBINE_ADD_CANCLE","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fe380","01ae232c","s_DIGICOMBINE_COMBINE_01ae232c","DIGICOMBINE_COMBINE","DATA"
"011fdd70","BuildUnionCombineRegisterButtons","011fdf15","01ae4a3c","s_Unionmon_Ev_UI\Ev_Btn.tga_01ae4a3c","Unionmon_Ev_UI\Ev_Btn.tga","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011ff331","01adaca0","s_Random_box\gauge.png_01adaca0","Random_box\gauge.png","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011fecd8","01adc924","s_CommonUI\Slot\Windows_Scroll2.tg_01adc924","CommonUI\Slot\Windows_Scroll2.tga","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011feb5a","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011feb7d","01ae0f60","s_SealMaster\sealmaster_highlight._01ae0f60","SealMaster\sealmaster_highlight.tga","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011feefa","01ae22e8","s_DigiCombine\DigiCombine_Slot_ran_01ae22e8","DigiCombine\DigiCombine_Slot_rank.dds","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011feff0","01ae49e4","s_CommonUI\Digimon_rank_new.dds_01ae49e4","CommonUI\Digimon_rank_new.dds","DATA"
"011fea60","BuildUnionCombineAvailableItemGrid","011ff4e6","01ae4a20","s_CommonUI\Unionmon_rank.dds_01ae4a20","CommonUI\Unionmon_rank.dds","DATA"
"011ff560","BuildUnionCombineRateInfoUI","011ff7cd","01adc924","s_CommonUI\Slot\Windows_Scroll2.tg_01adc924","CommonUI\Slot\Windows_Scroll2.tga","DATA"
"011ff560","BuildUnionCombineRateInfoUI","011ff65d","01ae0f00","s_Control_G\Popup\N2Dlg5.tga_01ae0f00","Control_G\Popup\N2Dlg5.tga","DATA"
"011ff560","BuildUnionCombineRateInfoUI","011ff680","01ae0f60","s_SealMaster\sealmaster_highlight._01ae0f60","SealMaster\sealmaster_highlight.tga","DATA"
"011ff560","BuildUnionCombineRateInfoUI","011ff9ea","01ae22e8","s_DigiCombine\DigiCombine_Slot_ran_01ae22e8","DigiCombine\DigiCombine_Slot_rank.dds","DATA"
"011ff560","BuildUnionCombineRateInfoUI","011ffadf","01ae49e4","s_CommonUI\Digimon_rank_new.dds_01ae49e4","CommonUI\Digimon_rank_new.dds","DATA"
"01200ea0","UpdateUnionCombineSceneProgress","01200ede","01ae1b00","s_System\DigiCombine_Gacha_Progres_01ae1b00","System\DigiCombine_Gacha_Progress.wav","DATA"
"012012e0","BuildUnionCombineSceneUI","01201654","01ae1a5c","s_DigiCombine\DigiCombine_Gacha_St_01ae1a5c","DigiCombine\DigiCombine_Gacha_Start.dds","DATA"
