"RuntimePath","FirstFunction","FirstEntry","DataAddress","Source","PackHint"
"Cash\NewCashShop\Store_btn_G1.tga","BuildUnionCombineRegisterButtons","011fdd70","01ada978","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"CommonUI\arrow_Right.tga","UpdateUnionCombineRegisterState","011fced0","01ad6e94","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"CommonUI\Digimon_rank_new.dds","BuildUnionCombineMaterialRows","011fd5f0","01ae49e4","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"CommonUI\Slot\Windows_Scroll2.tga","BuildUnionCombineRateInfoUI","011ff560","01adc924","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"CommonUI\Unionmon_rank.dds","BuildUnionCombineAvailableItemGrid","011fea60","01ae4a20","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"Control_G\Popup\N2Dlg5.tga","BuildUnionCombineAvailableItemGrid","011fea60","01ae0f00","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_CardBack.dds","BindUnionCombineSceneEvents","012022e0","01ae1a84","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_A.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1aac","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_Aplus.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1dc4","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_N.dds","BuildUnionCombineSceneUI","012012e0","01ae1d48","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_S.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1d9c","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_Splus.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1e18","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_SS.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1df0","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_SSplus.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1e70","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_SSS.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1e44","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_SSSplus.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1ec4","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_U.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1e9c","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Bg_Uplus.dds","SelectUnionCombineSceneBackgroundByRank","01202880","01ae1ef4","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_Change.dds","BuildUnionCombineSceneUI","012012e0","01ae1ad4","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_A.dds","SelectUnionCombineResultCardByRank","01202700","01ae1b28","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_Aplus.dds","SelectUnionCombineResultCardByRank","01202700","01ae1c10","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_N.dds","SelectUnionCombineResultCardByRank","01202700","01ae1b98","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_S.dds","SelectUnionCombineResultCardByRank","01202700","01ae1be8","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_Splus.dds","SelectUnionCombineResultCardByRank","01202700","01ae1c68","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_SS.dds","SelectUnionCombineResultCardByRank","01202700","01ae1c3c","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_SSplus.dds","SelectUnionCombineResultCardByRank","01202700","01ae1cc0","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_SSS.dds","SelectUnionCombineResultCardByRank","01202700","01ae1c94","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
"DigiCombine\DigiCombine_Gacha_End_SSSplus.dds","SelectUnionCombineResultCardByRank","01202700","01ae1d18","decompiled function data xref","ClientDist\Data\Pack01.* / Data\Interface runtime path unless audio path is System or mp3"
