"Value","FirstFunction","FirstEntry","DataAddress","Source"
"COMMON_TXT_AUTO_REGISTER","BuildUnionCombineRegisterButtons","011fdd70","01ad9c38","decompiled function data xref"
"DIGICOMBINE_ADD_CANCLE","BuildUnionCombineRegisterButtons","011fdd70","01ae22d0","decompiled function data xref"
"DIGICOMBINE_CEILING_COUNT","BindUnionCombineRegisterEvents","011fc500","01ae22b4","decompiled function data xref"
"DIGICOMBINE_COMBINE","BuildUnionCombineRegisterButtons","011fdd70","01ae232c","decompiled function data xref"
"DIGICOMBINE_COMBINE_DESC","BuildUnionCombineRegisterUI","011fbcd0","01ae2254","decompiled function data xref"
"DIGICOMBINE_GRADE","BuildUnionCombineContents","011fb410","01ae21d4","decompiled function data xref"
"DIGICOMBINE_POSSIBLE_ITEM","BuildUnionCombineRegisterUI","011fbcd0","01ae2270","decompiled function data xref"
"DIGICOMBINE_TITLE","BuildUnionCombineMainUI","011f9d20","01ae207c","decompiled function data xref"
"list too long","RegisterUnionCombineBinParser","0164c930","01abdaa4","decompiled function data xref"
"RANDOM_BOX_TXT_EXIT","BuildUnionCombineRegisterButtons","011fdd70","01ada9bc","decompiled function data xref"
"RANDOM_BOX_TXT_RATEINFO","BuildUnionCombineRegisterButtons","011fdd70","01adaa9c","decompiled function data xref"
"RANDOM_BOX_TXT_REWARD","BuildUnionCombineRegisterButtons","011fdd70","01adac6c","decompiled function data xref"
"UnionCombineUI","CreateUnionCombineUI","01290160","01aea15c","decompiled function data xref"
