"Entry","CleanName","Source","CopiedTo","Notes"
"01290160","CreateUnionCombineUI","C:\0-NewDmo\unpacked_exe_all\functions\01290160_FUN_01290160.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\CreateUnionCombineUI.01290160.original.c","Factory/registration path for the UnionCombineUI window name."
"011f9d20","BuildUnionCombineMainUI","C:\0-NewDmo\unpacked_exe_all\functions\011f9d20_FUN_011f9d20.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineMainUI.011f9d20.original.c","Main UnionCombine UI constructor/build path."
"011fb410","BuildUnionCombineContents","C:\0-NewDmo\unpacked_exe_all\functions\011fb410_FUN_011fb410.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineContents.011fb410.original.c","Content container setup for UnionCombine."
"011fbcd0","BuildUnionCombineRegisterUI","C:\0-NewDmo\unpacked_exe_all\functions\011fbcd0_FUN_011fbcd0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineRegisterUI.011fbcd0.original.c","Register window child construction path."
"011fc500","BindUnionCombineRegisterEvents","C:\0-NewDmo\unpacked_exe_all\functions\011fc500_FUN_011fc500.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BindUnionCombineRegisterEvents.011fc500.original.c","Register UI input/update helper path."
"011fced0","UpdateUnionCombineRegisterState","C:\0-NewDmo\unpacked_exe_all\functions\011fced0_FUN_011fced0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\UpdateUnionCombineRegisterState.011fced0.original.c","Register UI state/update path."
"011fd5f0","BuildUnionCombineMaterialRows","C:\0-NewDmo\unpacked_exe_all\functions\011fd5f0_FUN_011fd5f0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineMaterialRows.011fd5f0.original.c","Creates the five rows of 4 material slots, arrows, and card-front result textures."
"011fdd70","BuildUnionCombineRegisterButtons","C:\0-NewDmo\unpacked_exe_all\functions\011fdd70_FUN_011fdd70.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineRegisterButtons.011fdd70.original.c","Creates Registro/Fusao/Cancelar/Saida/info buttons with official coordinates."
"011fea60","BuildUnionCombineAvailableItemGrid","C:\0-NewDmo\unpacked_exe_all\functions\011fea60_FUN_011fea60.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineAvailableItemGrid.011fea60.original.c","Creates right-side available-item panel, rank filters, item grid, and scrollbar."
"011ff560","BuildUnionCombineRateInfoUI","C:\0-NewDmo\unpacked_exe_all\functions\011ff560_FUN_011ff560.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineRateInfoUI.011ff560.original.c","Probability/reward info UI for the UnionCombine window."
"01200ea0","UpdateUnionCombineSceneProgress","C:\0-NewDmo\unpacked_exe_all\functions\01200ea0_FUN_01200ea0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\UpdateUnionCombineSceneProgress.01200ea0.original.c","Gacha/scene progress transition path."
"012012e0","BuildUnionCombineSceneUI","C:\0-NewDmo\unpacked_exe_all\functions\012012e0_FUN_012012e0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BuildUnionCombineSceneUI.012012e0.original.c","Scene/card animation UI using DigiCombine card/gacha textures."
"012022e0","BindUnionCombineSceneEvents","C:\0-NewDmo\unpacked_exe_all\functions\012022e0_FUN_012022e0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\BindUnionCombineSceneEvents.012022e0.original.c","Scene UI event/update helper."
"01202490","SetUnionCombineSceneRank","C:\0-NewDmo\unpacked_exe_all\functions\01202490_FUN_01202490.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\SetUnionCombineSceneRank.01202490.original.c","Scene rank helper path."
"012025c0","StartUnionCombineSceneResult","C:\0-NewDmo\unpacked_exe_all\functions\012025c0_FUN_012025c0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\StartUnionCombineSceneResult.012025c0.original.c","Scene result transition path."
"01202700","SelectUnionCombineResultCardByRank","C:\0-NewDmo\unpacked_exe_all\functions\01202700_FUN_01202700.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\SelectUnionCombineResultCardByRank.01202700.original.c","Selects final card texture from rank key."
"01202880","SelectUnionCombineSceneBackgroundByRank","C:\0-NewDmo\unpacked_exe_all\functions\01202880_FUN_01202880.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\SelectUnionCombineSceneBackgroundByRank.01202880.original.c","Selects scene background texture from rank key."
"0164d930","LoadUnionCombineTables","C:\0-NewDmo\unpacked_exe_all\functions\0164d930_FUN_0164d930.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\LoadUnionCombineTables.0164d930.original.c","Loads DM_UnionCombine XML/BIN table family."
"0164db10","ParseUnionCombineItemListCallback","C:\0-NewDmo\unpacked_exe_all\functions\0164db10_FUN_0164db10.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ParseUnionCombineItemListCallback.0164db10.original.c","XML parser callback for ItemList."
"0164db30","ParseUnionCombineRankListCallback","C:\0-NewDmo\unpacked_exe_all\functions\0164db30_FUN_0164db30.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ParseUnionCombineRankListCallback.0164db30.original.c","XML parser callback for RankList."
"0164db70","ParseUnionCombineItemGroupCallback","C:\0-NewDmo\unpacked_exe_all\functions\0164db70_FUN_0164db70.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ParseUnionCombineItemGroupCallback.0164db70.original.c","XML parser callback for ItemGroup."
"0164db50","ParseUnionCombineCeilGroupCallback","C:\0-NewDmo\unpacked_exe_all\functions\0164db50_FUN_0164db50.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ParseUnionCombineCeilGroupCallback.0164db50.original.c","XML parser callback for CeilGroup."
"0164c930","RegisterUnionCombineBinParser","C:\0-NewDmo\unpacked_exe_all\functions\0164c930_FUN_0164c930.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\RegisterUnionCombineBinParser.0164c930.original.c","Registers binary parser/readers for UnionCombine."
"0164d0b0","ReadUnionCombineItemList","C:\0-NewDmo\unpacked_exe_all\functions\0164d0b0_FUN_0164d0b0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ReadUnionCombineItemList.0164d0b0.original.c","Reads DM_UnionCombine-ItemList.bin records."
"0164cc40","ReadUnionCombineRankList","C:\0-NewDmo\unpacked_exe_all\functions\0164cc40_FUN_0164cc40.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ReadUnionCombineRankList.0164cc40.original.c","Reads DM_UnionCombine-RankList.bin records."
"0164ce60","ReadUnionCombineRewardGroups","C:\0-NewDmo\unpacked_exe_all\functions\0164ce60_FUN_0164ce60.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ReadUnionCombineRewardGroups.0164ce60.original.c","Reads ItemGroup reward table records."
"0164d340","ReadUnionCombineRewardEntries","C:\0-NewDmo\unpacked_exe_all\functions\0164d340_FUN_0164d340.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineTables\ReadUnionCombineRewardEntries.0164d340.original.c","Reads CeilGroup/reward entry table records."
"010a78d0","EnterUnionCombineSceneAndPlayBgm","C:\0-NewDmo\unpacked_exe_all\functions\010a78d0_FUN_010a78d0.c","C:\0-NewDmo\UnionCombineFusionSelectFeature\decompiled\UnionCombineUI\EnterUnionCombineSceneAndPlayBgm.010a78d0.original.c","Adjacent UnionCombine scene entry/update path that directly starts UnionCombine.mp3."
