"Family","Record","RankKey","FieldA","FieldB","FieldC","Source"
"DM_UnionCombine","_0","1","1","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_1","2","2","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_2","3","3","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_3","4","4","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_4","5","5","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_5","6","6","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_UnionCombine","_6","7","7","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_UnionCombine-RankList.xml"
"DM_DigiCombine","_0","1","1","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_1","2","2","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_2","3","3","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_3","4","4","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_4","5","5","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_5","6","6","0","0","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_6","7","7","5","101","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
"DM_DigiCombine","_7","8","8","10","102","C:\0-NewDmo\Dcommerce\xml\AllBins\Data\DM_DigiCombine-RankList.xml"
